Albany,97,Louisville,399
time,team_id,description,h_score,a_score
19:40,399,Travis Charles made Jumper. Assisted by Devonte Campbell.,2,0
19:09,399,Foul on Devonte Campbell.,2,0
19:09,97,Deng Adel made Free Throw.,2,1
19:09,97,Deng Adel made Free Throw.,2,2
18:39,399,Travis Charles missed Jumper.,2,2
18:39,399,Greig Stire Offensive Rebound.,2,2
18:32,399,Travis Charles missed Jumper.,2,2
18:32,97,V.J. King Defensive Rebound.,2,2
18:22,399,Foul on Greig Stire.,2,2
18:19,97,Deng Adel made Jumper.,2,4
18:00,399,Travis Charles missed Jumper.,2,4
18:00,97,Ray Spalding Block.,2,4
17:58,97,Louisville Defensive Rebound.,2,4
17:43,97,Anas Mahmoud made Layup. Assisted by Quentin Snider.,2,6
17:21,399,David Nichols made Jumper.,4,6
17:06,97,Anas Mahmoud missed Jumper.,4,6
17:06,399,Greig Stire Defensive Rebound.,4,6
16:37,399,Joe Cremo missed Layup.,4,6
16:37,97,Anas Mahmoud Block.,4,6
16:36,97,V.J. King Defensive Rebound.,4,6
16:30,97,Ray Spalding made Dunk. Assisted by V.J. King.,4,8
16:11,399,David Nichols missed Three Point Jumper.,4,8
16:11,97,V.J. King Defensive Rebound.,4,8
16:03,97,Anas Mahmoud missed Jumper.,4,8
16:03,97,Ray Spalding Offensive Rebound.,4,8
15:53,97,V.J. King missed Jumper.,4,8
15:53,97,Anas Mahmoud Offensive Rebound.,4,8
15:46,97,V.J. King missed Three Point Jumper.,4,8
15:46,399,Greig Stire Defensive Rebound.,4,8
15:23,399,Ahmad Clark missed Three Point Jumper.,4,8
15:23,399,Greig Stire Offensive Rebound.,4,8
15:20,97,Official TV Timeout,4,8
15:09,399,Travis Charles missed Jumper.,4,8
15:09,399,Greig Stire Offensive Rebound.,4,8
15:06,399,Greig Stire missed Layup.,4,8
15:06,97,Anas Mahmoud Block.,4,8
15:05,399,Travis Charles Offensive Rebound.,4,8
15:04,399,Travis Charles made Jumper.,6,8
15:04,97,Foul on Ray Spalding.,6,8
15:04,399,Travis Charles missed Free Throw.,6,8
15:04,97,V.J. King Defensive Rebound.,6,8
14:55,399,Foul on Travis Charles.,6,8
14:55,97,Ray Spalding missed Free Throw.,6,8
14:55,97,Louisville Deadball Team Rebound.,6,8
14:55,97,Ray Spalding made Free Throw.,6,9
14:41,399,Foul on Travis Charles.,6,9
14:41,399,Travis Charles Turnover.,6,9
14:24,97,Anas Mahmoud missed Jumper.,6,9
14:24,399,David Nichols Defensive Rebound.,6,9
14:02,399,Joe Cremo missed Layup.,6,9
14:02,97,Malik Williams Defensive Rebound.,6,9
13:56,97,Malik Williams Turnover.,6,9
13:56,399,Ahmad Clark Steal.,6,9
13:56,399,Ahmad Clark Turnover.,6,9
13:44,97,Deng Adel missed Three Point Jumper.,6,9
13:44,399,Alex Foster Defensive Rebound.,6,9
13:31,97,Foul on Deng Adel.,6,9
13:16,399,David Nichols missed Jumper.,6,9
13:16,399,Alex Foster Offensive Rebound.,6,9
13:12,399,Alex Foster missed Two Point Tip Shot.,6,9
13:12,97,Malik Williams Defensive Rebound.,6,9
13:12,399,Foul on Greig Stire.,6,9
13:05,97,Anas Mahmoud made Layup. Assisted by Ryan McMahon.,6,11
12:51,97,Foul on Ryan McMahon.,6,11
12:30,399,Joe Cremo Turnover.,6,11
12:22,97,Ryan McMahon missed Jumper.,6,11
12:22,399,Alex Foster Defensive Rebound.,6,11
12:11,399,Alex Foster made Layup.,8,11
12:11,97,Foul on Jordan Nwora.,8,11
12:11,399,Alex Foster missed Free Throw.,8,11
12:11,97,Jordan Nwora Defensive Rebound.,8,11
11:53,97,Malik Williams missed Jumper.,8,11
11:53,399,Greig Stire Defensive Rebound.,8,11
11:30,399,Devonte Campbell missed Three Point Jumper.,8,11
11:30,97,Ryan McMahon Defensive Rebound.,8,11
11:09,97,Darius Perry missed Jumper.,8,11
11:09,399,Alex Foster Defensive Rebound.,8,11
10:47,399,Joe Cremo made Three Point Jumper. Assisted by Devonte Campbell.,11,11
10:44,97,Louisville  Timeout,11,11
10:36,97,Ryan McMahon made Three Point Jumper. Assisted by Darius Perry.,11,14
10:17,399,Devonte Campbell missed Jumper.,11,14
10:17,97,Anas Mahmoud Block.,11,14
10:17,399,Albany Offensive Rebound.,11,14
10:03,399,Joe Cremo missed Jumper.,11,14
10:03,97,Ray Spalding Defensive Rebound.,11,14
9:57,97,Ryan McMahon made Three Point Jumper. Assisted by Jordan Nwora.,11,17
9:45,399,David Nichols missed Jumper.,11,17
9:45,399,David Nichols Offensive Rebound.,11,17
9:25,399,Greig Stire missed Jumper.,11,17
9:23,97,Malik Williams Defensive Rebound.,11,17
9:01,97,Quentin Snider missed Three Point Jumper.,11,17
9:01,399,Alex Foster Defensive Rebound.,11,17
8:47,399,David Nichols missed Three Point Jumper.,11,17
8:47,97,Malik Williams Defensive Rebound.,11,17
8:32,97,Foul on Ray Spalding.,11,17
8:32,97,Ray Spalding Turnover.,11,17
8:20,399,Costa Anderson missed Three Point Jumper.,11,17
8:20,97,Dwayne Sutton Defensive Rebound.,11,17
8:00,97,Anas Mahmoud made Layup.,11,19
7:45,399,Greig Stire made Layup. Assisted by Ahmad Clark.,13,19
7:34,97,Ryan McMahon Turnover.,13,19
7:34,97,Official TV Timeout,13,19
7:27,399,Alex Foster missed Layup.,13,19
7:27,97,Dwayne Sutton Defensive Rebound.,13,19
7:10,97,Dwayne Sutton missed Layup.,13,19
7:10,399,Alex Foster Defensive Rebound.,13,19
7:03,97,Foul on Quentin Snider.,13,19
6:51,399,Joe Cremo missed Jumper.,13,19
6:51,97,Dwayne Sutton Defensive Rebound.,13,19
6:41,97,Anas Mahmoud missed Jumper.,13,19
6:41,399,Greig Stire Defensive Rebound.,13,19
6:17,399,Greig Stire missed Jumper.,13,19
6:17,97,Deng Adel Defensive Rebound.,13,19
6:10,97,Dwayne Sutton missed Three Point Jumper.,13,19
6:10,399,Joe Cremo Defensive Rebound.,13,19
5:58,399,Ahmad Clark made Three Point Jumper.,16,19
5:40,97,V.J. King made Layup.,16,21
5:21,399,Joe Cremo made Three Point Jumper. Assisted by Costa Anderson.,19,21
5:06,97,Quentin Snider made Three Point Jumper. Assisted by Deng Adel.,19,24
4:46,399,Ahmad Clark missed Jumper.,19,24
4:46,97,Anas Mahmoud Block.,19,24
4:45,399,Albany Offensive Rebound.,19,24
4:42,399,Devonte Campbell Turnover.,19,24
4:41,97,Anas Mahmoud Steal.,19,24
4:38,97,Dwayne Sutton missed Layup.,19,24
4:38,399,Greig Stire Defensive Rebound.,19,24
4:32,399,David Nichols missed Jumper.,19,24
4:32,97,Dwayne Sutton Defensive Rebound.,19,24
4:21,97,Deng Adel made Jumper.,19,26
3:42,399,Joe Cremo made Layup.,21,26
3:32,399,Foul on Alex Foster.,21,26
3:32,97,Official TV Timeout,21,26
3:32,97,Quentin Snider made Free Throw.,21,27
3:32,97,Quentin Snider missed Free Throw.,21,27
3:32,399,Alex Foster Defensive Rebound.,21,27
3:20,399,David Nichols Turnover.,21,27
3:15,97,Quentin Snider made Layup.,21,29
2:49,399,Alex Foster made Layup.,23,29
2:38,97,Quentin Snider made Three Point Jumper.,23,32
2:24,399,Alex Foster missed Jumper.,23,32
2:24,97,Deng Adel Defensive Rebound.,23,32
2:17,97,Deng Adel made Jumper.,23,34
2:11,97,Foul on V.J. King.,23,34
2:11,399,Joe Cremo made Free Throw.,24,34
2:11,399,Joe Cremo missed Free Throw.,24,34
2:11,97,Dwayne Sutton Defensive Rebound.,24,34
2:02,399,Foul on Joe Cremo.,24,34
2:02,97,V.J. King made Free Throw.,24,35
2:02,97,V.J. King made Free Throw.,24,36
1:39,399,Joe Cremo missed Jumper.,24,36
1:39,399,Greig Stire Offensive Rebound.,24,36
1:34,399,Greig Stire made Layup.,26,36
1:26,97,Darius Perry missed Three Point Jumper.,26,36
1:26,399,Alex Foster Defensive Rebound.,26,36
1:02,399,David Nichols made Three Point Jumper.,29,36
0:46,97,V.J. King made Jumper.,29,38
0:31,399,Albany  Timeout,29,38
0:20,399,Alex Foster made Dunk. Assisted by Joe Cremo.,31,38
0:00,97,Deng Adel missed Jumper.,31,38
0:00,399,Joe Cremo Defensive Rebound.,31,38
0:00,97,End of 1st half,31,38
19:50,97,Foul on V.J. King.,31,38
19:36,399,Travis Charles made Jumper.,33,38
19:10,97,Deng Adel made Jumper.,33,40
18:44,399,David Nichols missed Three Point Jumper.,33,40
18:44,399,Greig Stire Offensive Rebound.,33,40
18:41,399,Greig Stire missed Layup.,33,40
18:41,97,Anas Mahmoud Block.,33,40
18:40,97,Anas Mahmoud Defensive Rebound.,33,40
18:26,97,Ray Spalding Turnover.,33,40
18:01,399,Travis Charles made Jumper. Assisted by Joe Cremo.,35,40
17:52,97,Deng Adel made Three Point Jumper. Assisted by Quentin Snider.,35,43
17:31,97,Foul on Ray Spalding.,35,43
17:19,97,Foul on Dwayne Sutton.,35,43
17:12,399,Joe Cremo missed Jumper.,35,43
17:12,97,Dwayne Sutton Defensive Rebound.,35,43
17:00,97,Deng Adel missed Three Point Jumper.,35,43
17:00,97,Anas Mahmoud Offensive Rebound.,35,43
16:58,399,Foul on Greig Stire.,35,43
16:52,399,Foul on Travis Charles.,35,43
16:47,97,V.J. King missed Three Point Jumper.,35,43
16:47,399,David Nichols Defensive Rebound.,35,43
16:31,399,Devonte Campbell missed Layup.,35,43
16:31,97,Deng Adel Defensive Rebound.,35,43
16:25,97,V.J. King missed Layup.,35,43
16:25,399,Travis Charles Defensive Rebound.,35,43
15:54,399,Travis Charles missed Jumper.,35,43
15:54,97,Anas Mahmoud Block.,35,43
15:53,399,Alex Foster Offensive Rebound.,35,43
15:52,399,Alex Foster Turnover.,35,43
15:52,97,Official TV Timeout,35,43
15:35,97,Anas Mahmoud missed Jumper.,35,43
15:35,399,Devonte Campbell Defensive Rebound.,35,43
15:11,399,Travis Charles missed Jumper.,35,43
15:11,97,Dwayne Sutton Defensive Rebound.,35,43
14:58,97,V.J. King missed Jumper.,35,43
14:58,399,Travis Charles Defensive Rebound.,35,43
14:43,399,Joe Cremo missed Three Point Jumper.,35,43
14:43,399,Devonte Campbell Offensive Rebound.,35,43
14:37,399,Alex Foster made Layup. Assisted by Devonte Campbell.,37,43
14:25,97,Deng Adel Turnover.,37,43
14:24,399,Joe Cremo Steal.,37,43
14:22,399,David Nichols made Layup.,39,43
14:21,97,Louisville  Timeout,39,43
14:07,97,Ryan McMahon made Three Point Jumper.,39,46
13:52,399,Devonte Campbell Turnover.,39,46
