Jackson State,2649,Toledo,2296
time,team_id,description,h_score,a_score
19:48,2296,Maurice Rivers made Jumper.,2,0
19:28,2649,Jaelan Sanford made Three Point Jumper. Assisted by Marreon Jackson.,2,3
19:09,2296,Darius Austin missed Jumper.,2,3
19:09,2649,Tre'Shaun Fletcher Defensive Rebound.,2,3
19:06,2296,Foul on Maurice Rivers.,2,3
18:49,2649,Nate Navigato made Three Point Jumper. Assisted by Tre'Shaun Fletcher.,2,6
18:28,2296,Maurice Rivers missed Jumper.,2,6
18:28,2649,Jaelan Sanford Defensive Rebound.,2,6
18:14,2296,Foul on Jeremiah Jefferson.,2,6
18:07,2649,Jaelan Sanford made Three Point Jumper. Assisted by Tre'Shaun Fletcher.,2,9
17:44,2296,Paris Collins missed Three Point Jumper.,2,9
17:44,2296,Jeremiah Bozeman Offensive Rebound.,2,9
17:25,2296,Maurice Rivers made Jumper. Assisted by Jesse Love.,4,9
17:03,2649,Jaelan Sanford made Layup. Assisted by Tre'Shaun Fletcher.,4,11
16:45,2296,Treshawn Bolden missed Jumper.,4,11
16:45,2649,Tre'Shaun Fletcher Defensive Rebound.,4,11
16:34,2649,Tre'Shaun Fletcher missed Three Point Jumper.,4,11
16:34,2649,Taylor Adway Offensive Rebound.,4,11
16:29,2649,Taylor Adway missed Layup.,4,11
16:29,2296,Darius Austin Block.,4,11
16:27,2296,Paris Collins Defensive Rebound.,4,11
16:23,2296,Foul on Paris Collins.,4,11
16:23,2296,Paris Collins Turnover.,4,11
16:12,2649,Marreon Jackson missed Three Point Jumper.,4,11
16:12,2296,Treshawn Bolden Block.,4,11
16:09,2296,Darius Austin Defensive Rebound.,4,11
15:58,2296,Treshawn Bolden missed Jumper.,4,11
15:58,2649,Nate Navigato Defensive Rebound.,4,11
15:47,2649,Jaelan Sanford made Three Point Jumper.,4,14
15:24,2296,Darius Austin missed Jumper.,4,14
15:24,2296,Treshawn Bolden Offensive Rebound.,4,14
15:21,2649,Foul on Taylor Adway.,4,14
15:20,2296,Paris Collins made Jumper. Assisted by Jesse Love.,6,14
15:03,2296,Foul on Treshawn Bolden.,6,14
15:03,2649,Luke Knapke made Free Throw.,6,15
15:03,2649,Luke Knapke missed Free Throw.,6,15
15:03,2296,Treshawn Bolden Defensive Rebound.,6,15
14:51,2296,Maurice Rivers made Jumper. Assisted by Treshawn Bolden.,8,15
14:35,2296,Foul on Maurice Rivers.,8,15
14:35,2649,Willie Jackson missed Free Throw.,8,15
14:35,2649,Toledo Deadball Team Rebound.,8,15
14:35,2649,Willie Jackson missed Free Throw.,8,15
14:35,2296,Treshawn Bolden Defensive Rebound.,8,15
14:23,2296,Paris Collins missed Jumper.,8,15
14:23,2649,Tre'Shaun Fletcher Defensive Rebound.,8,15
14:12,2649,Tre'Shaun Fletcher Turnover.,8,15
14:10,2296,Julian Daughtry Steal.,8,15
14:06,2649,Foul on Marreon Jackson.,8,15
14:05,2296,Julian Daughtry made Free Throw.,9,15
14:05,2296,Julian Daughtry made Free Throw.,10,15
14:05,2649,Marreon Jackson missed Three Point Jumper.,10,15
14:05,2649,Willie Jackson Offensive Rebound.,10,15
13:43,2296,Foul on Treshawn Bolden.,10,15
13:40,2649,Luke Knapke missed Jumper.,10,15
13:40,2296,Jeremiah Jefferson Block.,10,15
13:38,2649,Marreon Jackson Offensive Rebound.,10,15
13:36,2649,Marreon Jackson made Layup.,10,17
13:12,2296,Julian Daughtry missed Jumper.,10,17
13:12,2649,Marreon Jackson Defensive Rebound.,10,17
12:58,2649,Tre'Shaun Fletcher missed Layup.,10,17
12:58,2649,Willie Jackson Offensive Rebound.,10,17
12:53,2649,Willie Jackson made Layup.,10,19
12:43,2296,Jeremiah Jefferson made Three Point Jumper. Assisted by Darius Austin.,13,19
12:11,2649,Willie Jackson Turnover.,13,19
12:10,2296,Julian Daughtry Steal.,13,19
12:03,2296,Julian Daughtry made Three Point Jumper. Assisted by Darius Austin.,16,19
11:34,2649,Willie Jackson missed Three Point Jumper.,16,19
11:26,2649,Luke Knapke Offensive Rebound.,16,19
11:23,2649,Luke Knapke made Dunk.,16,21
11:19,2296,Jeremiah Bozeman missed Jumper.,16,21
11:19,2296,Payton Wilson Offensive Rebound.,16,21
11:15,2296,Payton Wilson made Two Point Tip Shot.,18,21
11:00,2649,Dylan Alderson made Layup.,18,23
11:00,2296,Foul on Payton Wilson.,18,23
11:00,2649,Official TV Timeout,18,23
11:00,2649,Dylan Alderson made Free Throw.,18,24
10:57,2296,Charles Taylor Jr. missed Jumper.,18,24
10:57,2649,Nate Navigato Block.,18,24
10:53,2649,Nate Navigato Defensive Rebound.,18,24
10:33,2649,Justin Roberts missed Jumper.,18,24
10:33,2296,Jeremiah Jefferson Block.,18,24
10:30,2649,Nate Navigato Offensive Rebound.,18,24
10:14,2649,Jaelan Sanford missed Three Point Jumper.,18,24
10:14,2296,Darius Austin Defensive Rebound.,18,24
9:59,2296,Darius Austin made Three Point Jumper. Assisted by Julian Daughtry.,21,24
9:37,2296,Foul on Darius Austin.,21,24
9:37,2649,Luke Knapke made Free Throw.,21,25
9:37,2649,Luke Knapke made Free Throw.,21,26
9:18,2296,Jeremiah Jefferson made Three Point Jumper. Assisted by Paris Collins.,24,26
9:00,2649,Justin Roberts made Three Point Jumper. Assisted by Luke Knapke.,24,29
8:36,2296,Darius Austin missed Jumper.,24,29
8:36,2296,Paris Collins Offensive Rebound.,24,29
8:32,2649,Foul on Dylan Alderson.,24,29
8:32,2296,Paris Collins made Free Throw.,25,29
8:32,2296,Paris Collins missed Free Throw.,25,29
8:32,2649,Luke Knapke Defensive Rebound.,25,29
8:12,2649,Dylan Alderson made Three Point Jumper. Assisted by Justin Roberts.,25,32
7:59,2296,Charles Taylor Jr. made Layup.,27,32
7:39,2649,Jaelan Sanford Turnover.,27,32
7:38,2296,Jeremiah Bozeman Steal.,27,32
7:34,2296,Foul on Jeremiah Bozeman.,27,32
7:34,2296,Jeremiah Bozeman Turnover.,27,32
7:33,2649,Official TV Timeout,27,32
7:26,2649,Willie Jackson missed Jumper.,27,32
7:26,2296,Paris Collins Defensive Rebound.,27,32
7:06,2649,Foul on Tre'Shaun Fletcher.,27,32
7:04,2296,Jeremiah Jefferson missed Jumper.,27,32
7:04,2649,Tre'Shaun Fletcher Defensive Rebound.,27,32
6:52,2649,Tre'Shaun Fletcher missed Three Point Jumper.,27,32
6:52,2296,Jeremiah Jefferson Defensive Rebound.,27,32
6:42,2296,Jeremiah Jefferson missed Three Point Jumper.,27,32
6:42,2649,Tre'Shaun Fletcher Defensive Rebound.,27,32
6:32,2296,Foul on Treshawn Bolden.,27,32
6:31,2649,Tre'Shaun Fletcher missed Free Throw.,27,32
6:31,2649,Toledo Deadball Team Rebound.,27,32
6:31,2649,Tre'Shaun Fletcher made Free Throw.,27,33
5:54,2296,Paris Collins Turnover.,27,33
5:34,2649,Foul on Taylor Adway.,27,33
5:34,2649,Taylor Adway Turnover.,27,33
5:08,2296,Julian Daughtry missed Jumper.,27,33
5:08,2296,Jeremiah Bozeman Offensive Rebound.,27,33
5:05,2649,Foul on Marreon Jackson.,27,33
5:05,2296,Julian Daughtry missed Layup.,27,33
5:05,2296,Jackson State Offensive Rebound.,27,33
4:41,2296,Jeremiah Jefferson missed Jumper.,27,33
4:41,2649,Jaelan Sanford Defensive Rebound.,27,33
4:24,2649,Luke Knapke missed Three Point Jumper.,27,33
4:24,2296,Jackson State Defensive Rebound.,27,33
4:04,2296,Paris Collins missed Layup.,27,33
4:04,2649,Tre'Shaun Fletcher Defensive Rebound.,27,33
3:49,2649,Tre'Shaun Fletcher Turnover.,27,33
3:47,2296,Julian Daughtry Steal.,27,33
3:46,2296,Julian Daughtry Turnover.,27,33
3:44,2649,Nate Navigato Steal.,27,33
3:41,2296,Foul on Jeremiah Bozeman.,27,33
3:41,2649,Official TV Timeout,27,33
3:41,2649,Tre'Shaun Fletcher made Free Throw.,27,34
3:41,2649,Tre'Shaun Fletcher made Free Throw.,27,35
3:25,2296,Jordan Berry missed Jumper.,27,35
3:25,2649,Justin Roberts Defensive Rebound.,27,35
3:21,2296,Foul on Julian Daughtry.,27,35
3:21,2649,Justin Roberts made Free Throw.,27,36
3:21,2649,Justin Roberts made Free Throw.,27,37
3:00,2296,Treshawn Bolden Turnover.,27,37
2:41,2649,Luke Knapke made Layup. Assisted by Dylan Alderson.,27,39
2:25,2296,Jeremiah Jefferson missed Three Point Jumper.,27,39
2:25,2649,Luke Knapke Defensive Rebound.,27,39
2:15,2649,Jaelan Sanford missed Jumper.,27,39
2:15,2296,Treshawn Bolden Defensive Rebound.,27,39
1:58,2296,Treshawn Bolden missed Three Point Jumper.,27,39
1:58,2649,Dylan Alderson Defensive Rebound.,27,39
1:42,2649,Dylan Alderson Turnover.,27,39
1:40,2296,Treshawn Bolden Steal.,27,39
1:25,2296,Jeremiah Jefferson Turnover.,27,39
1:23,2649,Jaelan Sanford Steal.,27,39
1:07,2296,Foul on Darius Austin.,27,39
1:07,2649,Nate Navigato made Free Throw.,27,40
1:06,2649,Nate Navigato made Free Throw.,27,41
0:39,2296,Treshawn Bolden missed Jumper.,27,41
0:39,2649,Jaelan Sanford Defensive Rebound.,27,41
0:07,2649,Jaelan Sanford made Jumper. Assisted by Luke Knapke.,27,43
0:00,2296,Jeremiah Jefferson missed Three Point Jumper.,27,43
0:00,2649,Dylan Alderson Defensive Rebound.,27,43
0:00,2649,End of 1st half,27,43
19:50,2296,Maurice Rivers missed Jumper.,27,43
19:50,2296,Jackson State Offensive Rebound.,27,43
19:24,2649,Foul on Taylor Adway.,27,43
19:11,2296,Jeremiah Jefferson made Three Point Jumper. Assisted by Darius Austin.,30,43
18:59,2296,Foul on Jeremiah Bozeman.,30,43
18:47,2296,Foul on Darius Austin.,30,43
18:47,2649,Taylor Adway made Free Throw.,30,44
18:47,2649,Taylor Adway made Free Throw.,30,45
18:28,2296,Maurice Rivers missed Jumper.,30,45
18:28,2649,Taylor Adway Defensive Rebound.,30,45
18:24,2296,Foul on Maurice Rivers.,30,45
18:10,2649,Marreon Jackson missed Three Point Jumper.,30,45
18:10,2649,Jaelan Sanford Offensive Rebound.,30,45
18:04,2296,Foul on Paris Collins.,30,45
17:58,2296,Foul on Maurice Rivers.,30,45
17:58,2649,Tre'Shaun Fletcher made Free Throw.,30,46
17:58,2649,Tre'Shaun Fletcher made Free Throw.,30,47
17:38,2296,Jeremiah Jefferson made Jumper.,32,47
17:08,2649,Nate Navigato made Three Point Jumper. Assisted by Jaelan Sanford.,32,50
17:00,2296,Jeremiah Jefferson missed Three Point Jumper.,32,50
17:00,2649,Tre'Shaun Fletcher Defensive Rebound.,32,50
16:48,2649,Jaelan Sanford missed Three Point Jumper.,32,50
16:48,2649,Taylor Adway Offensive Rebound.,32,50
16:40,2649,Taylor Adway missed Layup.,32,50
16:40,2649,Jaelan Sanford Offensive Rebound.,32,50
16:36,2649,Marreon Jackson missed Three Point Jumper.,32,50
16:36,2296,Treshawn Bolden Defensive Rebound.,32,50
16:36,2649,Foul on Taylor Adway.,32,50
16:35,2296,Paris Collins missed Three Point Jumper.,32,50
16:35,2649,Nate Navigato Defensive Rebound.,32,50
16:30,2649,Tre'Shaun Fletcher made Layup. Assisted by Nate Navigato.,32,52
16:19,2296,Jeremiah Bozeman Turnover.,32,52
16:18,2649,Marreon Jackson Steal.,32,52
16:17,2649,Tre'Shaun Fletcher missed Three Point Jumper.,32,52
16:17,2296,Paris Collins Block.,32,52
16:17,2649,Tre'Shaun Fletcher Offensive Rebound.,32,52
16:12,2649,Nate Navigato made Three Point Jumper. Assisted by Tre'Shaun Fletcher.,32,55
15:41,2296,Jackson State  Timeout,32,55
15:19,2296,Treshawn Bolden missed Jumper.,32,55
15:19,2296,Darius Austin Offensive Rebound.,32,55
15:15,2296,Darius Austin missed Layup.,32,55
15:15,2649,Jaelan Sanford Block.,32,55
15:13,2296,Jackson State Offensive Rebound.,32,55
15:13,2649,Official TV Timeout,32,55
15:05,2296,Jeremiah Jefferson Turnover.,32,55
15:04,2649,Nate Navigato Steal.,32,55
14:55,2649,Jaelan Sanford missed Layup.,32,55
14:55,2296,Jeremiah Bozeman Defensive Rebound.,32,55
14:51,2649,Foul on Jaelan Sanford.,32,55
14:34,2649,Foul on Jaelan Sanford.,32,55
14:20,2296,Treshawn Bolden made Jumper. Assisted by Paris Collins.,34,55
13:52,2649,Foul on Nate Navigato.,34,55
13:52,2649,Nate Navigato Turnover.,34,55
13:22,2296,Jeremiah Jefferson made Three Point Jumper. Assisted by Treshawn Bolden.,37,55
12:55,2296,Foul on Charles Taylor Jr..,37,55
12:41,2649,Luke Knapke made Layup. Assisted by Marreon Jackson.,37,57
12:25,2296,Jeremiah Jefferson missed Three Point Jumper.,37,57
12:25,2649,Nate Navigato Defensive Rebound.,37,57
11:55,2649,Marreon Jackson missed Jumper.,37,57
11:55,2296,Paris Collins Defensive Rebound.,37,57
11:45,2296,Jeremiah Jefferson Turnover.,37,57
11:45,2649,Official TV Timeout,37,57
11:17,2649,Luke Knapke made Layup. Assisted by Tre'Shaun Fletcher.,37,59
10:42,2296,Paris Collins made Layup. Assisted by Julian Daughtry.,39,59
10:17,2296,Charles Taylor Jr. Steal.,39,59
10:12,2296,Charles Taylor Jr. Turnover.,39,59
9:58,2296,Foul on Julian Daughtry.,39,59
9:58,2649,Willie Jackson made Free Throw.,39,60
9:58,2649,Willie Jackson made Free Throw.,39,61
9:52,2296,Maurice Rivers missed Three Point Jumper.,39,61
9:52,2296,Payton Wilson Offensive Rebound.,39,61
9:48,2296,Payton Wilson missed Layup.,39,61
9:48,2649,Willie Jackson Defensive Rebound.,39,61
9:41,2649,Willie Jackson Turnover.,39,61
9:29,2296,Paris Collins Steal.,39,61
9:28,2296,Paris Collins made Layup.,41,61
9:25,2296,Foul on Payton Wilson.,41,61
9:25,2649,Willie Jackson missed Free Throw.,41,61
9:25,2296,Jesse Love Defensive Rebound.,41,61
9:18,2296,Paris Collins missed Jumper.,41,61
9:18,2649,Willie Jackson Defensive Rebound.,41,61
9:09,2649,Luke Knapke made Three Point Jumper. Assisted by Dylan Alderson.,41,64
8:46,2296,Julian Daughtry missed Three Point Jumper.,41,64
8:46,2649,Willie Jackson Block.,41,64
8:44,2296,Julian Daughtry Offensive Rebound.,41,64
8:41,2649,Foul on Luke Knapke.,41,64
8:41,2296,Maurice Rivers made Free Throw.,42,64
8:41,2296,Maurice Rivers made Free Throw.,43,64
8:16,2296,Foul on Julian Daughtry.,43,64
8:16,2649,Luke Knapke made Free Throw.,43,65
8:16,2649,Luke Knapke made Free Throw.,43,66
8:09,2296,Maurice Rivers missed Three Point Jumper.,43,66
8:09,2296,Jordan Berry Offensive Rebound.,43,66
7:57,2649,Official TV Timeout,43,66
7:57,2649,Foul on Luke Knapke.,43,66
7:57,2649,Official TV Timeout,43,66
7:57,2296,Maurice Rivers made Free Throw.,44,66
7:57,2296,Maurice Rivers made Free Throw.,45,66
7:47,2649,Taylor Adway made Dunk. Assisted by Tre'Shaun Fletcher.,45,68
7:41,2296,Payton Wilson Turnover.,45,68
7:15,2296,Foul on Jordan Berry.,45,68
7:15,2649,Jaelan Sanford made Free Throw.,45,69
7:15,2649,Jaelan Sanford made Free Throw.,45,70
7:02,2649,Foul on Taylor Adway.,45,70
7:02,2296,Maurice Rivers missed Free Throw.,45,70
7:02,2296,Jackson State Deadball Team Rebound.,45,70
7:02,2296,Maurice Rivers made Free Throw.,46,70
6:45,2296,Foul on Payton Wilson.,46,70
6:45,2649,Willie Jackson missed Free Throw.,46,70
6:45,2649,Toledo Deadball Team Rebound.,46,70
