Lafayette,172,Cornell,322
time,team_id,description,h_score,a_score
19:35,172,Stone Gettings made Jumper.,0,2
19:25,322,Kyle Stout made Layup. Assisted by Matt Klinewski.,2,2
19:08,172,Stone Gettings missed Three Point Jumper.,2,2
19:08,322,Kyle Stout Defensive Rebound.,2,2
18:45,172,Foul on Jack Gordon.,2,2
18:43,322,Kyle Stout missed Three Point Jumper.,2,2
18:43,172,Terrance McBride Defensive Rebound.,2,2
18:30,172,Matt Morgan missed Three Point Jumper.,2,2
18:30,322,Eric Stafford Defensive Rebound.,2,2
18:16,322,Eric Stafford Turnover.,2,2
18:01,172,Stone Gettings missed Three Point Jumper.,2,2
18:01,322,Paulius Zalys Defensive Rebound.,2,2
17:42,322,Paulius Zalys made Jumper.,4,2
17:27,172,Terrance McBride Turnover.,4,2
17:16,322,Matt Klinewski made Three Point Jumper. Assisted by Kyle Stout.,7,2
17:07,172,Matt Morgan made Layup.,7,4
17:07,322,Foul on Eric Stafford.,7,4
17:07,172,Matt Morgan made Free Throw.,7,5
16:55,322,Paulius Zalys Turnover.,7,5
16:55,172,Jack Gordon Steal.,7,5
16:50,172,Matt Morgan made Layup. Assisted by Jack Gordon.,7,7
16:41,322,Matt Klinewski made Three Point Jumper. Assisted by Eric Stafford.,10,7
16:28,172,Stone Gettings Turnover.,10,7
16:21,172,Foul on Stone Gettings.,10,7
16:21,322,Matt Klinewski missed Free Throw.,10,7
16:21,322,Lafayette Deadball Team Rebound.,10,7
16:21,322,Matt Klinewski missed Free Throw.,10,7
16:21,172,Steven Julian Defensive Rebound.,10,7
16:08,172,Stone Gettings missed Three Point Jumper.,10,7
16:08,172,Steven Julian Offensive Rebound.,10,7
16:04,172,Matt Morgan missed Three Point Jumper.,10,7
16:04,322,Eric Stafford Defensive Rebound.,10,7
15:40,322,Paulius Zalys Turnover.,10,7
15:40,322,Foul on Paulius Zalys.,10,7
15:40,172,Official TV Timeout,10,7
15:24,172,Steven Julian missed Three Point Jumper.,10,7
15:24,322,Dylan Hastings Defensive Rebound.,10,7
15:07,322,Justin Jaworski missed Jumper.,10,7
15:07,172,Stone Gettings Defensive Rebound.,10,7
15:03,172,Jack Gordon made Three Point Jumper. Assisted by Terrance McBride.,10,10
14:37,322,Justin Jaworski missed Three Point Jumper.,10,10
14:37,322,Lukas Jarrett Offensive Rebound.,10,10
14:32,172,Foul on Terrance McBride.,10,10
14:15,322,Matt Klinewski missed Jumper.,10,10
14:15,172,Stone Gettings Defensive Rebound.,10,10
14:06,172,Matt Morgan made Layup.,10,12
13:43,322,Alex Petrie missed Layup.,10,12
13:43,322,Paulius Zalys Offensive Rebound.,10,12
13:38,322,Matt Klinewski made Three Point Jumper. Assisted by Paulius Zalys.,13,12
13:20,172,Stone Gettings missed Jumper.,13,12
13:20,322,Alex Petrie Defensive Rebound.,13,12
13:11,172,Foul on Steven Julian.,13,12
13:04,322,Paulius Zalys missed Jumper.,13,12
13:04,172,Matt Morgan Defensive Rebound.,13,12
12:59,172,Matt Morgan missed Three Point Jumper.,13,12
12:59,322,E.J. Stephens Defensive Rebound.,13,12
12:43,322,Justin Jaworski missed Three Point Jumper.,13,12
12:43,172,Steven Julian Defensive Rebound.,13,12
12:33,172,Bryan Knapp missed Jumper.,13,12
12:33,322,Paulius Zalys Defensive Rebound.,13,12
12:13,322,Paulius Zalys Turnover.,13,12
11:57,172,Jack Gordon made Jumper.,13,14
11:57,322,Foul on Eric Stafford.,13,14
11:57,172,Official TV Timeout,13,14
11:57,172,Jack Gordon made Free Throw.,13,15
11:43,322,Matt Klinewski Turnover.,13,15
11:43,322,Foul on Matt Klinewski.,13,15
11:33,172,Jimmy Boeheim Turnover.,13,15
11:33,172,Foul on Jimmy Boeheim.,13,15
11:11,322,Justin Jaworski Turnover.,13,15
11:10,172,Bryan Knapp Steal.,13,15
11:03,172,Josh Warren made Layup. Assisted by Joel Davis.,13,17
10:58,322,Alex Petrie missed Three Point Jumper.,13,17
10:58,172,Bryan Knapp Defensive Rebound.,13,17
10:48,172,Bryan Knapp made Jumper.,13,19
10:36,322,Paulius Zalys made Jumper.,15,19
10:28,172,Joel Davis made Layup.,15,21
10:09,322,E.J. Stephens missed Jumper.,15,21
10:09,172,Josh Warren Defensive Rebound.,15,21
9:50,172,Josh Warren missed Layup.,15,21
9:50,322,E.J. Stephens Block.,15,21
9:48,322,Alex Petrie Defensive Rebound.,15,21
9:39,322,Matt Klinewski made Three Point Jumper. Assisted by Justin Jaworski.,18,21
9:23,172,Joel Davis missed Three Point Jumper.,18,21
9:23,322,Matt Klinewski Defensive Rebound.,18,21
9:14,322,Matt Klinewski missed Three Point Jumper.,18,21
9:14,172,Jimmy Boeheim Defensive Rebound.,18,21
8:53,172,Jack Gordon made Layup. Assisted by Josh Warren.,18,23
8:42,322,Lafayette  Timeout,18,23
8:17,322,Justin Jaworski missed Jumper.,18,23
8:17,322,Alex Petrie Offensive Rebound.,18,23
8:12,322,Justin Jaworski missed Jumper.,18,23
8:12,172,Stone Gettings Defensive Rebound.,18,23
8:05,172,Terrance McBride missed Jumper.,18,23
8:05,172,Joel Davis Offensive Rebound.,18,23
7:46,172,Matt Morgan made Layup.,18,25
7:31,322,Paulius Zalys missed Jumper.,18,25
7:31,172,Stone Gettings Defensive Rebound.,18,25
7:26,172,Official TV Timeout,18,25
7:20,322,Foul on Kyle Stout.,18,25
7:20,172,Official TV Timeout,18,25
7:20,172,Joel Davis made Free Throw.,18,26
7:20,172,Joel Davis made Free Throw.,18,27
7:04,322,Justin Jaworski missed Three Point Jumper.,18,27
6:58,172,Jimmy Boeheim Defensive Rebound.,18,27
6:53,172,Stone Gettings made Jumper.,18,29
6:36,322,Lukas Jarrett made Jumper. Assisted by Justin Jaworski.,20,29
6:17,172,Stone Gettings missed Layup.,20,29
6:17,172,Stone Gettings Offensive Rebound.,20,29
6:14,172,Stone Gettings missed Layup.,20,29
6:14,322,Matt Klinewski Defensive Rebound.,20,29
6:04,322,Kyle Stout made Three Point Jumper. Assisted by Matt Klinewski.,23,29
5:36,172,Jimmy Boeheim missed Jumper.,23,29
5:36,322,Lukas Jarrett Defensive Rebound.,23,29
5:34,172,Foul on Steven Julian.,23,29
5:21,322,Matt Klinewski Turnover.,23,29
4:51,172,Terrance McBride made Layup. Assisted by Jack Gordon.,23,31
4:32,172,Foul on Josh Warren.,23,31
4:32,322,Justin Jaworski made Free Throw.,24,31
4:32,322,Justin Jaworski made Free Throw.,25,31
4:23,322,Foul on Dylan Hastings.,25,31
4:23,172,Terrance McBride made Free Throw.,25,32
4:23,172,Terrance McBride made Free Throw.,25,33
3:57,322,Matt Klinewski Turnover.,25,33
3:55,172,Josh Warren Steal.,25,33
3:51,172,Terrance McBride made Three Point Jumper. Assisted by Matt Morgan.,25,36
3:27,322,Matt Klinewski made Jumper.,27,36
3:11,172,Josh Warren missed Jumper.,27,36
3:11,322,Dylan Hastings Defensive Rebound.,27,36
2:59,322,Kyle Stout made Three Point Jumper. Assisted by Matt Klinewski.,30,36
2:43,172,Matt Morgan made Three Point Jumper. Assisted by Josh Warren.,30,39
2:24,322,Matt Klinewski made Layup. Assisted by Eric Stafford.,32,39
2:08,172,Bryan Knapp made Three Point Jumper. Assisted by Jack Gordon.,32,42
1:39,322,E.J. Stephens missed Jumper.,32,42
1:39,172,Josh Warren Defensive Rebound.,32,42
1:20,172,Josh Warren missed Jumper.,32,42
1:20,322,Dylan Hastings Block.,32,42
1:17,322,Kyle Stout Defensive Rebound.,32,42
1:03,322,Kyle Stout made Three Point Jumper. Assisted by Matt Klinewski.,35,42
0:51,172,Cornell  Timeout,35,42
0:38,172,Matt Morgan made Three Point Jumper. Assisted by Stone Gettings.,35,45
0:05,322,Justin Jaworski missed Three Point Jumper.,35,45
0:05,172,Stone Gettings Defensive Rebound.,35,45
0:02,322,Foul on Dylan Hastings.,35,45
0:02,172,Stone Gettings missed Free Throw.,35,45
0:02,172,Jack Gordon Offensive Rebound.,35,45
0:00,172,Jack Gordon missed Jumper.,35,45
0:00,172,Cornell Offensive Rebound.,35,45
0:00,172,End of 1st half,35,45
19:50,322,Kyle Stout missed Layup.,35,45
19:50,322,Kyle Stout Offensive Rebound.,35,45
19:46,322,Kyle Stout made Two Point Tip Shot.,37,45
19:24,172,Matt Morgan Turnover.,37,45
19:22,322,Paulius Zalys Steal.,37,45
19:11,322,Matt Klinewski made Jumper.,39,45
19:11,172,Foul on Steven Julian.,39,45
19:11,322,Matt Klinewski made Free Throw.,40,45
18:52,172,Stone Gettings missed Jumper.,40,45
18:52,322,Paulius Zalys Defensive Rebound.,40,45
18:37,322,Eric Stafford missed Three Point Jumper.,40,45
18:37,172,Stone Gettings Defensive Rebound.,40,45
18:23,172,Stone Gettings made Three Point Jumper. Assisted by Jack Gordon.,40,48
18:05,322,Justin Jaworski made Layup.,42,48
17:46,172,Jack Gordon made Three Point Jumper. Assisted by Matt Morgan.,42,51
17:36,322,Kyle Stout missed Three Point Jumper.,42,51
17:36,172,Terrance McBride Defensive Rebound.,42,51
17:26,322,Foul on Matt Klinewski.,42,51
17:26,172,Matt Morgan made Free Throw.,42,52
17:26,172,Matt Morgan missed Free Throw.,42,52
17:26,322,Kyle Stout Defensive Rebound.,42,52
17:00,322,Justin Jaworski missed Layup.,42,52
17:00,322,Justin Jaworski Offensive Rebound.,42,52
16:58,322,Justin Jaworski made Layup.,44,52
16:58,172,Foul on Jack Gordon.,44,52
16:58,322,Justin Jaworski made Free Throw.,45,52
