Toccoa Falls,Error,Gardner-Webb,2241
time,team_id,description,h_score,a_score
19:33,2241,Liam O'Reilly missed Three Point Jumper.,0,0
19:33,-1,Joe Dockery Defensive Rebound.,0,0
19:14,-1,Jordan Grayson made Jumper.,2,0
18:55,2241,DJ Laster made Jumper.,2,2
18:10,2241,Liam O'Reilly made Three Point Jumper. Assisted by Christian Turner.,2,5
18:03,-1,Jordan Grayson missed Jumper.,2,5
18:03,2241,David Efianayi Defensive Rebound.,2,5
17:52,2241,DJ Laster missed Jumper.,2,5
17:52,-1,Kevin Cave Defensive Rebound.,2,5
17:36,-1,Joe Dockery Turnover.,2,5
17:33,2241,Liam O'Reilly Steal.,2,5
17:31,2241,DJ Laster made Dunk. Assisted by Liam O'Reilly.,2,7
17:17,-1,Dylan Brandenburg missed Three Point Jumper.,2,7
17:17,2241,Christian Turner Defensive Rebound.,2,7
17:00,2241,Christian Turner missed Three Point Jumper.,2,7
17:00,2241,Patrick Zeck Offensive Rebound.,2,7
16:55,2241,Patrick Zeck made Two Point Tip Shot.,2,9
16:54,-1,Toccoa Falls  Timeout,2,9
16:54,-1,Shane Thompson missed Jumper.,2,9
16:54,2241,Christian Turner Defensive Rebound.,2,9
16:54,2241,Liam O'Reilly missed Three Point Jumper.,2,9
16:54,-1,Shane Thompson Defensive Rebound.,2,9
16:54,-1,Joe Dockery Turnover.,2,9
16:54,2241,DJ Laster Steal.,2,9
16:53,2241,DJ Laster made Layup.,2,11
15:43,-1,Kevin Cave missed Jumper.,2,11
15:43,2241,Christian Turner Defensive Rebound.,2,11
15:41,2241,Official TV Timeout,2,11
15:39,2241,Liam O'Reilly made Three Point Jumper. Assisted by Jaheam Cornwall.,2,14
15:22,-1,Kevin Cave made Three Point Jumper. Assisted by Jordan Grayson.,5,14
15:02,2241,Jaheam Cornwall missed Three Point Jumper.,5,14
15:02,-1,Kevin Cave Defensive Rebound.,5,14
14:39,-1,Dylan Brandenburg Turnover.,5,14
14:36,2241,Liam O'Reilly Steal.,5,14
14:33,2241,David Efianayi missed Layup.,5,14
14:33,-1,Dylan Brandenburg Defensive Rebound.,5,14
14:19,-1,Seth Stanley missed Jumper.,5,14
14:19,2241,David Efianayi Defensive Rebound.,5,14
13:58,2241,David Efianayi made Three Point Jumper. Assisted by Liam O'Reilly.,5,17
13:37,-1,Kevin Cave made Three Point Jumper. Assisted by Seth Stanley.,8,17
13:04,2241,David Efianayi missed Layup.,8,17
13:04,2241,David Efianayi Offensive Rebound.,8,17
12:48,-1,Foul on Shane Thompson.,8,17
12:37,2241,Jaheam Cornwall missed Three Point Jumper.,8,17
12:37,2241,L'Hassane Niangane Offensive Rebound.,8,17
12:28,2241,L'Hassane Niangane made Three Point Jumper. Assisted by Liam O'Reilly.,8,20
12:03,-1,Kevin Cave Turnover.,8,20
12:02,2241,Jaheam Cornwall Steal.,8,20
11:59,2241,Eric Jamison made Layup. Assisted by Liam O'Reilly.,8,22
11:56,2241,Official TV Timeout,8,22
11:51,-1,Jordan Grayson Turnover.,8,22
11:33,2241,Liam O'Reilly missed Three Point Jumper.,8,22
11:33,2241,L'Hassane Niangane Offensive Rebound.,8,22
11:28,2241,Jamaal Robateau made Three Point Jumper. Assisted by Jaheam Cornwall.,8,25
11:09,-1,Seth Stanley missed Three Point Jumper.,8,25
11:09,2241,L'Hassane Niangane Defensive Rebound.,8,25
10:50,2241,DJ Laster made Layup. Assisted by Jamaal Robateau.,8,27
10:37,2241,Foul on DJ Laster.,8,27
10:37,-1,Joe Dockery missed Free Throw.,8,27
10:37,-1,Toccoa Falls Deadball Team Rebound.,8,27
10:37,-1,Joe Dockery missed Free Throw.,8,27
10:37,2241,DJ Laster Defensive Rebound.,8,27
10:29,2241,David Efianayi made Three Point Jumper. Assisted by Jaheam Cornwall.,8,30
10:18,-1,Joe Dockery missed Jumper.,8,30
10:18,2241,Patrick Zeck Defensive Rebound.,8,30
10:06,2241,DJ Laster missed Jumper.,8,30
10:06,-1,Dylan Brandenburg Defensive Rebound.,8,30
9:29,-1,Dylan Brandenburg made Three Point Jumper. Assisted by Kevin Cave.,11,30
9:16,2241,Jamaal Robateau missed Three Point Jumper.,11,30
9:16,-1,Joe Dockery Defensive Rebound.,11,30
8:58,-1,Seth Stanley Turnover.,11,30
8:57,2241,Jamaal Robateau Steal.,11,30
8:55,2241,David Efianayi made Dunk. Assisted by Jamaal Robateau.,11,32
8:36,-1,Dylan Brandenburg missed Jumper.,11,32
8:36,2241,Patrick Zeck Block.,11,32
8:35,2241,Patrick Zeck Defensive Rebound.,11,32
8:32,2241,Jamaal Robateau made Three Point Jumper. Assisted by Jaheam Cornwall.,11,35
8:05,-1,Dylan Brandenburg missed Three Point Jumper.,11,35
8:05,2241,David Efianayi Defensive Rebound.,11,35
7:49,2241,Official TV Timeout,11,35
7:43,2241,David Efianayi Turnover.,11,35
7:42,-1,Seth Stanley Steal.,11,35
7:23,-1,Seth Stanley missed Jumper.,11,35
7:23,2241,Patrick Zeck Block.,11,35
7:23,2241,Patrick Zeck Defensive Rebound.,11,35
7:06,2241,David Efianayi missed Jumper.,11,35
7:06,2241,Patrick Zeck Offensive Rebound.,11,35
7:02,2241,Patrick Zeck made Two Point Tip Shot.,11,37
6:29,-1,Seth Stanley missed Jumper.,11,37
6:29,2241,David Efianayi Defensive Rebound.,11,37
6:19,2241,Jamaal Robateau missed Three Point Jumper.,11,37
6:19,2241,Patrick Zeck Offensive Rebound.,11,37
6:10,2241,DJ Laster made Three Point Jumper. Assisted by Christian Turner.,11,40
5:58,-1,Matthew Massengill missed Three Point Jumper.,11,40
5:58,2241,Jamaal Robateau Defensive Rebound.,11,40
5:35,-1,Foul on Shane Thompson.,11,40
5:35,2241,Jamaal Robateau made Free Throw.,11,41
5:35,2241,Jamaal Robateau missed Free Throw.,11,41
5:35,-1,Jordan Grayson Defensive Rebound.,11,41
5:10,-1,Shane Thompson made Three Point Jumper. Assisted by Seth Stanley.,14,41
4:46,2241,Jamaal Robateau missed Three Point Jumper.,14,41
4:46,-1,Dylan Brandenburg Defensive Rebound.,14,41
4:31,-1,Seth Stanley Turnover.,14,41
4:24,2241,David Efianayi made Three Point Jumper. Assisted by Liam O'Reilly.,14,44
4:07,-1,Seth Stanley Turnover.,14,44
4:05,2241,Liam O'Reilly Steal.,14,44
4:02,2241,David Efianayi made Dunk. Assisted by Liam O'Reilly.,14,46
3:54,2241,Official TV Timeout,14,46
3:45,-1,Jordan Grayson Turnover.,14,46
3:45,2241,Christian Turner Steal.,14,46
3:30,2241,L'Hassane Niangane made Layup. Assisted by Eric Jamison.,14,48
3:18,-1,Joe Dockery missed Layup.,14,48
3:18,2241,L'Hassane Niangane Block.,14,48
3:17,2241,Christian Turner Defensive Rebound.,14,48
3:05,2241,Liam O'Reilly Turnover.,14,48
3:00,-1,Kevin Cave missed Three Point Jumper.,14,48
3:00,2241,Eric Jamison Defensive Rebound.,14,48
2:55,2241,Justin Jenkins missed Three Point Jumper.,14,48
2:55,-1,Jordan Grayson Defensive Rebound.,14,48
2:28,-1,Dylan Brandenburg Turnover.,14,48
2:27,2241,Nate Johnson Steal.,14,48
2:13,-1,Foul on Kevin Cave.,14,48
2:11,2241,Eric Jamison made Free Throw.,14,49
2:11,2241,Eric Jamison made Free Throw.,14,50
2:01,-1,Kevin Cave Turnover.,14,50
1:59,2241,Justin Jenkins Steal.,14,50
1:56,2241,Justin Jenkins made Layup.,14,52
1:56,-1,Foul on Seth Stanley.,14,52
1:56,2241,Justin Jenkins made Free Throw.,14,53
1:55,2241,Foul on Liam O'Reilly.,14,53
1:43,-1,Joe Dockery made Free Throw.,15,53
1:43,-1,Joe Dockery missed Free Throw.,15,53
1:43,2241,Justin Jenkins Defensive Rebound.,15,53
1:33,2241,Nate Johnson missed Three Point Jumper.,15,53
1:33,2241,Justin Jenkins Offensive Rebound.,15,53
1:21,2241,Justin Jenkins missed Jumper.,15,53
1:21,2241,L'Hassane Niangane Offensive Rebound.,15,53
