South Carolina State,2116,UCF,2569
time,team_id,description,h_score,a_score
19:33,2116,Terrell Allen made Jumper.,0,2
19:15,2116,Foul on Djordjije Mumin.,0,2
19:00,2569,Donte Wright made Three Point Jumper. Assisted by Janai Raynor Powell.,3,2
18:52,2569,Foul on David Bottenberg.,3,2
18:43,2116,Djordjije Mumin missed Three Point Jumper.,3,2
18:43,2569,Janai Raynor Powell Defensive Rebound.,3,2
18:33,2569,Donte Wright missed Three Point Jumper.,3,2
18:33,2116,Tacko Fall Defensive Rebound.,3,2
18:16,2116,Djordjije Mumin missed Three Point Jumper.,3,2
18:16,2569,Donte Wright Defensive Rebound.,3,2
18:09,2569,Janai Raynor Powell made Layup.,5,2
17:55,2116,Djordjije Mumin Turnover.,5,2
17:54,2569,Ian Kinard Steal.,5,2
17:45,2569,Justin Jones Turnover.,5,2
17:25,2116,Dayon Griffin missed Three Point Jumper.,5,2
17:25,2569,Donte Wright Defensive Rebound.,5,2
17:00,2569,Justin Jones missed Three Point Jumper.,5,2
17:00,2569,Donte Wright Offensive Rebound.,5,2
16:41,2569,Janai Raynor Powell Turnover.,5,2
16:39,2116,Ceasar DeJesus Steal.,5,2
16:34,2116,A.J. Davis made Dunk. Assisted by Ceasar DeJesus.,5,4
16:15,2569,David Bottenberg missed Jumper.,5,4
16:15,2116,Dayon Griffin Defensive Rebound.,5,4
15:53,2116,A.J. Davis missed Layup.,5,4
15:53,2116,Tacko Fall Offensive Rebound.,5,4
15:52,2116,Tacko Fall Turnover.,5,4
15:52,2116,Official TV Timeout,5,4
15:46,2569,James Richardson made Three Point Jumper. Assisted by Janai Raynor Powell.,8,4
15:19,2569,Foul on Ozante Fields.,8,4
15:19,2116,Tacko Fall missed Free Throw.,8,4
15:19,2116,UCF Deadball Team Rebound.,8,4
15:19,2116,Tacko Fall made Free Throw.,8,5
15:14,2569,James Richardson made Jumper.,10,5
14:54,2116,Dayon Griffin missed Three Point Jumper.,10,5
14:54,2116,Chance McSpadden Offensive Rebound.,10,5
14:46,2116,Chance McSpadden missed Layup.,10,5
14:46,2116,Tacko Fall Offensive Rebound.,10,5
14:44,2116,Tacko Fall missed Layup.,10,5
14:44,2116,Tacko Fall Offensive Rebound.,10,5
14:39,2116,Tacko Fall made Layup.,10,7
