Xavier,2460,Northern Iowa,2752
time,team_id,description,h_score,a_score
20:00,2460,Jump Ball won by Northern Iowa,0,0
19:31,2460,Klint Carlson missed Jumper.,0,0
19:31,2752,Quentin Goodin Defensive Rebound.,0,0
19:12,2752,Trevon Bluiett Turnover.,0,0
19:12,2460,Bennett Koch Steal.,0,0
18:44,2752,Foul on Quentin Goodin.,0,0
18:44,2460,Bennett Koch made Free Throw.,0,1
18:44,2460,Bennett Koch made Free Throw.,0,2
18:26,2752,Trevon Bluiett Turnover.,0,2
18:09,2460,Bennett Koch made Dunk. Assisted by Tywhon Pickford.,0,4
17:51,2752,Kaiser Gates made Three Point Jumper. Assisted by Trevon Bluiett.,3,4
17:30,2460,Tywhon Pickford missed Three Point Jumper.,3,4
17:30,2752,Quentin Goodin Defensive Rebound.,3,4
17:20,2752,Quentin Goodin missed Three Point Jumper.,3,4
17:20,2460,Juwan McCloud Defensive Rebound.,3,4
17:03,2460,Klint Carlson made Three Point Jumper. Assisted by Tywhon Pickford.,3,7
16:47,2752,Tyrique Jones missed Layup.,3,7
16:47,2460,Isaiah Brown Defensive Rebound.,3,7
16:23,2752,Jump Ball won by Xavier,3,7
16:23,2460,Bennett Koch Turnover.,3,7
16:23,2752,J.P. Macura Steal.,3,7
16:09,2752,J.P. Macura Turnover.,3,7
15:54,2460,Isaiah Brown missed Jumper.,3,7
15:54,2460,Tywhon Pickford Offensive Rebound.,3,7
15:44,2460,Isaiah Brown Turnover.,3,7
15:44,2752,Sean O'Mara Steal.,3,7
15:35,2752,J.P. Macura made Layup.,5,7
15:18,2460,Tywhon Pickford missed Layup.,5,7
15:18,2752,Trevon Bluiett Defensive Rebound.,5,7
15:18,2752,Foul on Trevon Bluiett.,5,7
15:07,2752,Trevon Bluiett Turnover.,5,7
15:07,2460,Official TV Timeout,5,7
14:57,2460,Wyatt Lohaus missed Layup.,5,7
14:57,2752,Naji Marshall Block.,5,7
14:57,2752,Kaiser Gates Defensive Rebound.,5,7
14:37,2752,J.P. Macura made Three Point Jumper. Assisted by Naji Marshall.,8,7
14:11,2460,Klint Carlson Turnover.,8,7
13:58,2752,Foul on J.P. Macura.,8,7
13:58,2752,J.P. Macura Turnover.,8,7
13:42,2460,Hunter Rhodes missed Three Point Jumper.,8,7
13:42,2752,Sean O'Mara Defensive Rebound.,8,7
13:32,2752,Foul on Paul Scruggs.,8,7
13:32,2752,Paul Scruggs Turnover.,8,7
13:08,2460,Wyatt Lohaus missed Jumper.,8,7
13:08,2460,Ted Friedman Offensive Rebound.,8,7
13:08,2752,Foul on Paul Scruggs.,8,7
12:49,2460,Spencer Haldeman made Three Point Jumper. Assisted by Hunter Rhodes.,8,10
12:32,2752,J.P. Macura missed Three Point Jumper.,8,10
12:32,2460,Wyatt Lohaus Defensive Rebound.,8,10
12:26,2460,Wyatt Lohaus made Layup.,8,12
12:12,2752,Naji Marshall Turnover.,8,12
11:48,2460,Bennett Koch made Jumper.,8,14
11:32,2752,Paul Scruggs missed Three Point Jumper.,8,14
11:32,2752,Xavier Offensive Rebound.,8,14
11:32,2460,Foul on Wyatt Lohaus.,8,14
11:32,2460,Official TV Timeout,8,14
11:31,2752,Kerem Kanter made Layup. Assisted by Quentin Goodin.,10,14
11:06,2460,Bennett Koch made Layup. Assisted by Tywhon Pickford.,10,16
10:52,2752,Tyrique Jones made Jumper.,12,16
10:25,2460,Juwan McCloud made Three Point Jumper. Assisted by Isaiah Brown.,12,19
10:06,2752,Tyrique Jones Turnover.,12,19
10:06,2460,Juwan McCloud Steal.,12,19
9:48,2460,Klint Carlson made Three Point Jumper. Assisted by Juwan McCloud.,12,22
9:35,2752,Trevon Bluiett made Three Point Jumper.,15,22
9:13,2460,Juwan McCloud missed Three Point Jumper.,15,22
9:13,2752,Kerem Kanter Defensive Rebound.,15,22
8:53,2752,Kerem Kanter missed Jumper.,15,22
8:53,2460,Tywhon Pickford Defensive Rebound.,15,22
8:27,2460,Klint Carlson missed Three Point Jumper.,15,22
8:27,2752,J.P. Macura Defensive Rebound.,15,22
