Elon,282,Indiana State,2210
time,team_id,description,h_score,a_score
19:50,282,Brenton Scott made Jumper.,0,2
19:33,2210,Dainan Swoope made Layup. Assisted by Steven Santa Ana.,2,2
19:10,282,Bronson Kessinger made Layup. Assisted by Brandon Murphy.,2,4
18:46,2210,Brian Dawkins made Three Point Jumper. Assisted by Steven Santa Ana.,5,4
18:32,282,Brenton Scott missed Three Point Jumper.,5,4
18:32,2210,Elon Deadball Team Rebound.,5,4
18:17,2210,Steven Santa Ana made Three Point Jumper. Assisted by Tyler Seibring.,8,4
17:56,282,Jordan Barnes made Three Point Jumper. Assisted by Qiydar Davis.,8,7
17:43,2210,Brian Dawkins missed Three Point Jumper.,8,7
17:43,282,Jordan Barnes Defensive Rebound.,8,7
17:37,282,Jordan Barnes missed Three Point Jumper.,8,7
17:37,2210,Dmitri Thompson Defensive Rebound.,8,7
17:18,282,Foul on Qiydar Davis.,8,7
16:56,2210,Elon  Turnover.,8,7
16:46,282,Brenton Scott missed Jumper.,8,7
16:46,282,Brandon Murphy Offensive Rebound.,8,7
16:42,282,Brandon Murphy missed Layup.,8,7
16:42,2210,Brian Dawkins Defensive Rebound.,8,7
16:15,2210,Dainan Swoope missed Three Point Jumper.,8,7
16:15,282,Brenton Scott Defensive Rebound.,8,7
16:08,282,Qiydar Davis missed Three Point Jumper.,8,7
16:08,2210,Elon Defensive Rebound.,8,7
15:51,2210,Tyler Seibring made Three Point Jumper. Assisted by Dmitri Thompson.,11,7
15:29,282,Devin Thomas missed Layup.,11,7
15:29,2210,Steven Santa Ana Defensive Rebound.,11,7
15:12,2210,Dainan Swoope made Three Point Jumper. Assisted by Tyler Seibring.,14,7
14:52,282,Emondre Rickman Turnover.,14,7
14:50,2210,Dainan Swoope Steal.,14,7
14:43,2210,Tyler Seibring missed Three Point Jumper.,14,7
14:43,2210,Steven Santa Ana Offensive Rebound.,14,7
14:40,2210,Dainan Swoope made Three Point Jumper. Assisted by Steven Santa Ana.,17,7
14:36,282,Indiana State  Timeout,17,7
14:36,282,Official TV Timeout,17,7
14:24,282,Jordan Barnes missed Jumper.,17,7
14:24,2210,Tyler Seibring Defensive Rebound.,17,7
14:03,2210,Tyler Seibring Turnover.,17,7
14:02,282,Tyreke Key Steal.,17,7
14:00,282,Tyreke Key Turnover.,17,7
13:53,2210,Dmitri Thompson missed Layup.,17,7
13:53,282,Brenton Scott Block.,17,7
13:52,282,Tyreke Key Defensive Rebound.,17,7
13:38,282,Jordan Barnes missed Three Point Jumper.,17,7
13:38,2210,Tyler Seibring Defensive Rebound.,17,7
13:23,2210,Steven Santa Ana missed Three Point Jumper.,17,7
13:23,2210,Karolis Kundrotas Offensive Rebound.,17,7
13:18,2210,Dmitri Thompson missed Three Point Jumper.,17,7
13:18,282,Jordan Barnes Defensive Rebound.,17,7
13:05,2210,Foul on Brian Dawkins.,17,7
13:05,282,Qiydar Davis made Free Throw.,17,8
13:05,282,Qiydar Davis made Free Throw.,17,9
