Western Michigan,270,Milwaukee,2711
time,team_id,description,h_score,a_score
19:39,2711,Drake LaMont missed Layup.,0,0
19:39,2711,Josh Davis Offensive Rebound.,0,0
19:36,2711,Josh Davis made Layup.,2,0
19:24,270,Jeremiah Bell missed Three Point Jumper.,2,0
19:24,2711,Brandon Johnson Defensive Rebound.,2,0
19:13,2711,Thomas Wilder made Jumper.,4,0
18:54,270,Brock Stull missed Jumper.,4,0
18:54,2711,Josh Davis Defensive Rebound.,4,0
18:45,2711,Josh Davis missed Three Point Jumper.,4,0
18:45,270,Jeremiah Bell Defensive Rebound.,4,0
18:17,270,Bryce Barnes missed Three Point Jumper.,4,0
18:17,2711,Brandon Johnson Defensive Rebound.,4,0
17:56,2711,Brandon Johnson made Jumper.,6,0
17:27,270,Jeremiah Bell missed Three Point Jumper.,6,0
17:27,2711,Josh Davis Defensive Rebound.,6,0
17:12,2711,Drake LaMont missed Jumper.,6,0
17:12,270,Bryce Nze Defensive Rebound.,6,0
16:55,270,Brock Stull made Three Point Jumper.,6,3
16:36,2711,Josh Davis missed Three Point Jumper.,6,3
16:36,270,Bryce Nze Defensive Rebound.,6,3
16:19,270,Brock Stull missed Three Point Jumper.,6,3
16:19,2711,Josh Davis Defensive Rebound.,6,3
15:56,2711,Josh Davis missed Jumper.,6,3
15:56,270,Brett Prahl Defensive Rebound.,6,3
15:49,270,Bryce Barnes missed Layup.,6,3
15:49,2711,Josh Davis Block.,6,3
15:47,2711,Thomas Wilder Defensive Rebound.,6,3
15:39,2711,Josh Davis made Layup. Assisted by Thomas Wilder.,8,3
15:21,270,Bryce Barnes made Jumper.,8,5
14:53,2711,Drake LaMont missed Jumper.,8,5
14:53,270,Bryce Nze Defensive Rebound.,8,5
14:40,270,Brett Prahl Turnover.,8,5
14:39,2711,Thomas Wilder Steal.,8,5
14:33,270,Official TV Timeout,8,5
14:22,2711,Brandon Johnson made Jumper. Assisted by Thomas Wilder.,10,5
14:07,270,Brock Stull missed Three Point Jumper.,10,5
14:07,2711,Reggie Jones Defensive Rebound.,10,5
13:40,2711,Thomas Wilder made Jumper.,12,5
13:09,270,Jeremy Johnson missed Layup.,12,5
13:09,270,Bryce Nze Offensive Rebound.,12,5
13:06,270,Bryce Nze missed Layup.,12,5
13:06,2711,Drake LaMont Defensive Rebound.,12,5
12:56,2711,Brandon Johnson missed Jumper.,12,5
12:56,270,Jeremy Johnson Defensive Rebound.,12,5
12:36,2711,Foul on Jared Printy.,12,5
12:22,270,Jeremy Johnson missed Three Point Jumper.,12,5
12:22,2711,Josh Davis Defensive Rebound.,12,5
11:54,2711,Jared Printy made Three Point Jumper. Assisted by Josh Davis.,15,5
11:36,270,Jeremy Johnson made Three Point Jumper. Assisted by Brock Stull.,15,8
11:12,2711,Josh Davis missed Three Point Jumper.,15,8
11:12,270,Brock Stull Defensive Rebound.,15,8
11:03,270,Brock Stull missed Three Point Jumper.,15,8
11:03,2711,Jared Printy Defensive Rebound.,15,8
10:41,2711,Reggie Jones Turnover.,15,8
10:41,270,Official TV Timeout,15,8
10:28,270,Jeremiah Bell missed Three Point Jumper.,15,8
10:28,2711,Reggie Jones Defensive Rebound.,15,8
10:08,2711,Reggie Jones Turnover.,15,8
10:07,270,Bryce Barnes Steal.,15,8
10:05,270,Bryce Barnes made Layup.,15,10
9:50,2711,Jared Printy Turnover.,15,10
9:34,2711,Foul on Reggie Jones.,15,10
9:26,270,Jeremy Johnson made Jumper.,15,12
8:55,2711,Thomas Wilder missed Layup.,15,12
8:55,2711,Brandon Johnson Offensive Rebound.,15,12
8:53,270,Foul on Jeremy Johnson.,15,12
8:44,2711,Drake LaMont made Layup. Assisted by Reggie Jones.,17,12
8:19,270,Vance Johnson Turnover.,17,12
8:05,2711,Thomas Wilder Turnover.,17,12
7:39,270,Jeremiah Bell made Jumper.,17,14
7:18,2711,Drake LaMont missed Layup.,17,14
7:18,270,Brett Prahl Defensive Rebound.,17,14
7:09,270,Bryce Barnes missed Jumper.,17,14
7:09,2711,Reggie Jones Defensive Rebound.,17,14
7:02,270,Official TV Timeout,17,14
7:00,270,Foul on Bryce Nze.,17,14
7:00,2711,Brandon Johnson made Free Throw.,18,14
7:00,2711,Brandon Johnson made Free Throw.,19,14
6:35,270,Brock Stull missed Jumper.,19,14
6:35,2711,Drake LaMont Block.,19,14
6:32,270,Brock Stull Offensive Rebound.,19,14
6:29,270,Milwaukee  Turnover.,19,14
6:05,270,Foul on Bryce Barnes.,19,14
5:54,2711,Bryce Moore made Three Point Jumper. Assisted by Drake LaMont.,22,14
5:30,270,Bryce Barnes missed Layup.,22,14
5:30,2711,Drake LaMont Block.,22,14
5:30,270,Milwaukee Offensive Rebound.,22,14
5:29,270,Brock Stull made Jumper. Assisted by Bryce Barnes.,22,16
5:10,2711,Josh Davis missed Layup.,22,16
5:10,270,Milwaukee Defensive Rebound.,22,16
4:57,270,Brock Stull made Three Point Jumper.,22,19
4:22,2711,Thomas Wilder made Three Point Jumper.,25,19
4:03,270,Jeremiah Bell missed Three Point Jumper.,25,19
4:03,2711,Thomas Wilder Defensive Rebound.,25,19
3:56,2711,Brandon Johnson missed Jumper.,25,19
3:56,270,Brett Prahl Defensive Rebound.,25,19
3:24,270,Brock Stull Turnover.,25,19
3:23,2711,Thomas Wilder Steal.,25,19
3:23,270,Foul on Brett Prahl.,25,19
3:23,270,Official TV Timeout,25,19
3:01,2711,Reggie Jones missed Three Point Jumper.,25,19
3:01,270,Jeremiah Bell Defensive Rebound.,25,19
2:41,270,Foul on Bryce Nze.,25,19
2:41,270,Bryce Nze Turnover.,25,19
2:28,2711,Josh Davis missed Jumper.,25,19
2:28,2711,Drake LaMont Offensive Rebound.,25,19
2:21,2711,Drake LaMont made Jumper.,27,19
1:57,270,Vance Johnson missed Layup.,27,19
1:57,270,Vance Johnson Offensive Rebound.,27,19
1:54,2711,Foul on Drake LaMont.,27,19
1:54,270,Vance Johnson missed Free Throw.,27,19
