Eastern Kentucky,276,Marshall,2198
time,team_id,description,h_score,a_score
19:43,276,Ajdin Penava missed Layup.,0,0
19:43,2198,Nick Mayo Defensive Rebound.,0,0
19:27,2198,Nick Mayo Turnover.,0,0
19:15,276,C.J. Burks made Jumper. Assisted by Ajdin Penava.,0,2
18:55,2198,Nick Mayo missed Jumper.,0,2
18:55,276,Ajdin Penava Defensive Rebound.,0,2
18:45,276,Jarrod West missed Three Point Jumper.,0,2
18:45,2198,Jackson Davis Defensive Rebound.,0,2
18:32,2198,JacQuess Hobbs missed Layup.,0,2
18:32,276,Milan Mijovic Defensive Rebound.,0,2
18:22,276,Jon Elmore missed Layup.,0,2
18:22,2198,Zach Charles Defensive Rebound.,0,2
18:00,2198,Jackson Davis missed Three Point Jumper.,0,2
18:00,276,Jon Elmore Defensive Rebound.,0,2
17:45,276,Ajdin Penava made Three Point Jumper. Assisted by Jarrod West.,0,5
17:28,2198,Jackson Davis missed Layup.,0,5
17:28,276,Ajdin Penava Block.,0,5
17:28,276,Milan Mijovic Defensive Rebound.,0,5
17:21,276,Jon Elmore made Three Point Jumper. Assisted by Ajdin Penava.,0,8
17:06,2198,Dujuanta Weaver Turnover.,0,8
17:05,276,Jarrod West Steal.,0,8
17:04,2198,Foul on Dujuanta Weaver.,0,8
17:03,276,Jarrod West missed Three Point Jumper.,0,8
17:03,2198,JacQuess Hobbs Defensive Rebound.,0,8
16:44,2198,Jackson Davis made Jumper. Assisted by JacQuess Hobbs.,2,8
16:30,276,Jarrod West Turnover.,2,8
16:29,2198,Jackson Davis Steal.,2,8
16:22,276,Foul on Ajdin Penava.,2,8
16:17,2198,Dujuanta Weaver missed Three Point Jumper.,2,8
16:17,2198,Jackson Davis Offensive Rebound.,2,8
16:11,2198,Jackson Davis made Layup. Assisted by Dujuanta Weaver.,4,8
15:56,276,C.J. Burks made Layup. Assisted by Ajdin Penava.,4,10
15:38,276,Foul on Milan Mijovic.,4,10
15:38,276,Official TV Timeout,4,10
15:28,2198,Dujuanta Weaver missed Three Point Jumper.,4,10
15:28,276,Ajdin Penava Defensive Rebound.,4,10
15:21,276,Ajdin Penava Turnover.,4,10
15:21,2198,JacQuess Hobbs Steal.,4,10
15:02,2198,Jackson Davis missed Jumper.,4,10
15:02,276,Jon Elmore Defensive Rebound.,4,10
14:47,276,Jon Elmore Turnover.,4,10
14:46,2198,JacQuess Hobbs Steal.,4,10
14:41,2198,JacQuess Hobbs missed Jumper.,4,10
14:41,276,Rondale Watson Block.,4,10
14:39,276,Jarrod West Defensive Rebound.,4,10
14:33,276,C.J. Burks made Layup.,4,12
14:05,2198,Jackson Davis missed Jumper.,4,12
14:05,2198,Dujuanta Weaver Offensive Rebound.,4,12
14:00,2198,Dujuanta Weaver made Jumper.,6,12
13:48,276,C.J. Burks made Dunk. Assisted by Ajdin Penava.,6,14
13:32,2198,JacQuess Hobbs Turnover.,6,14
13:26,276,Rondale Watson made Dunk. Assisted by C.J. Burks.,6,16
13:11,2198,Nick Mayo missed Layup.,6,16
13:11,276,Ajdin Penava Block.,6,16
13:11,2198,DeAndre Dishman Offensive Rebound.,6,16
13:07,2198,DeAndre Dishman made Layup.,8,16
13:01,276,Jon Elmore made Three Point Jumper. Assisted by C.J. Burks.,8,19
12:49,2198,JacQuess Hobbs missed Layup.,8,19
12:49,276,Ajdin Penava Block.,8,19
12:45,276,Ajdin Penava Defensive Rebound.,8,19
12:43,276,Jon Elmore missed Three Point Jumper.,8,19
12:43,2198,Nick Mayo Defensive Rebound.,8,19
12:28,2198,Nick Mayo made Jumper. Assisted by Zach Charles.,10,19
12:17,276,C.J. Burks made Three Point Jumper. Assisted by Jon Elmore.,10,22
11:50,2198,DeAndre Dishman missed Layup.,10,22
11:50,2198,Nick Mayo Offensive Rebound.,10,22
11:45,2198,Zach Charles missed Layup.,10,22
11:45,276,Ajdin Penava Block.,10,22
11:44,276,Ajdin Penava Defensive Rebound.,10,22
11:38,276,C.J. Burks Turnover.,10,22
11:38,2198,JacQuess Hobbs Steal.,10,22
11:25,276,Foul on C.J. Burks.,10,22
11:25,276,Official TV Timeout,10,22
11:17,2198,Nick Mayo made Jumper. Assisted by JacQuess Hobbs.,12,22
10:54,276,Jannson Williams missed Three Point Jumper.,12,22
10:54,2198,DeAndre Dishman Defensive Rebound.,12,22
10:43,2198,DeAndre Dishman made Dunk.,14,22
10:31,2198,Foul on Peyton Broughton.,14,22
10:17,276,Jannson Williams missed Layup.,14,22
10:17,276,Milan Mijovic Offensive Rebound.,14,22
10:15,276,Milan Mijovic made Layup.,14,24
9:48,2198,DeAndre Dishman missed Jumper.,14,24
9:48,276,Rondale Watson Defensive Rebound.,14,24
9:37,276,Jon Elmore missed Three Point Jumper.,14,24
9:37,2198,DeAndre Dishman Defensive Rebound.,14,24
9:29,2198,JacQuess Hobbs missed Jumper.,14,24
9:29,276,Rondale Watson Defensive Rebound.,14,24
9:21,276,C.J. Burks made Layup.,14,26
8:59,2198,Dujuanta Weaver missed Three Point Jumper.,14,26
8:59,276,Jon Elmore Defensive Rebound.,14,26
8:47,276,Jon Elmore missed Jumper.,14,26
8:47,276,Jon Elmore Offensive Rebound.,14,26
8:24,276,Milan Mijovic made Layup. Assisted by C.J. Burks.,14,28
8:00,2198,Dujuanta Weaver missed Three Point Jumper.,14,28
8:00,2198,Jackson Davis Offensive Rebound.,14,28
7:58,2198,Jackson Davis made Dunk.,16,28
7:58,276,Official TV Timeout,16,28
7:58,2198,Jackson Davis made Free Throw.,17,28
7:58,276,Foul on Milan Mijovic.,16,28
7:57,276,Official TV Timeout,16,28
7:53,276,Milan Mijovic Turnover.,17,28
7:46,2198,DeAndre Dishman missed Jumper.,17,28
7:46,276,Jannson Williams Block.,17,28
7:44,276,Jannson Williams Defensive Rebound.,17,28
7:40,276,Rondale Watson made Dunk. Assisted by Jon Elmore.,17,30
7:23,2198,Peyton Broughton missed Layup.,17,30
7:23,2198,DeAndre Dishman Offensive Rebound.,17,30
7:19,2198,DeAndre Dishman made Dunk.,19,30
7:00,276,Rondale Watson made Three Point Jumper. Assisted by Jon Elmore.,19,33
