Wagner,2168,Dayton,2681
time,team_id,description,h_score,a_score
19:35,2168,Josh Cunningham missed Jumper.,0,0
19:35,2681,AJ Sumbry Block.,0,0
19:32,2681,Blake Francis Defensive Rebound.,0,0
19:19,2681,Blake Francis missed Jumper.,0,0
19:19,2681,AJ Sumbry Offensive Rebound.,0,0
19:17,2681,AJ Sumbry Turnover.,0,0
18:57,2168,Trey Landers Turnover.,0,0
18:45,2681,Devin Liggeons missed Three Point Jumper.,0,0
18:45,2168,Josh Cunningham Defensive Rebound.,0,0
18:36,2168,Darrell Davis made Three Point Jumper.,0,3
18:34,2681,Foul on Devin Liggeons.,0,3
18:33,2168,Darrell Davis made Free Throw.,0,4
18:20,2681,Foul on AJ Sumbry.,0,4
18:20,2681,AJ Sumbry Turnover.,0,4
18:07,2168,Trey Landers Turnover.,0,4
18:05,2681,JoJo Cooper Steal.,0,4
18:02,2681,Devin Liggeons made Jumper.,2,4
17:40,2168,Jordan Davis missed Jumper.,2,4
17:40,2681,Nigel Jackson Block.,2,4
17:38,2681,JoJo Cooper Defensive Rebound.,2,4
17:29,2681,Nigel Jackson missed Three Point Jumper.,2,4
17:29,2168,Darrell Davis Defensive Rebound.,2,4
17:18,2168,Jordan Davis missed Three Point Jumper.,2,4
17:18,2681,JoJo Cooper Defensive Rebound.,2,4
17:07,2681,JoJo Cooper made Three Point Jumper. Assisted by Blake Francis.,5,4
16:55,2168,Josh Cunningham missed Three Point Jumper.,5,4
16:55,2681,JoJo Cooper Defensive Rebound.,5,4
16:49,2681,Blake Francis missed Jumper.,5,4
16:49,2168,Jordan Davis Defensive Rebound.,5,4
16:38,2168,Darrell Davis made Three Point Jumper.,5,7
16:21,2681,Foul on AJ Sumbry.,5,7
16:21,2681,AJ Sumbry Turnover.,5,7
16:10,2168,John Crosby missed Layup.,5,7
16:10,2168,Darrell Davis Offensive Rebound.,5,7
16:07,2168,Darrell Davis made Layup.,5,9
15:43,2681,Blake Francis missed Three Point Jumper.,5,9
15:43,2681,Elijah Davis Offensive Rebound.,5,9
15:39,2681,Elijah Davis Turnover.,5,9
15:38,2168,John Crosby Steal.,5,9
15:33,2168,John Crosby Turnover.,5,9
15:31,2681,Blake Francis Steal.,5,9
15:29,2681,JoJo Cooper missed Three Point Jumper.,5,9
15:29,2168,Darrell Davis Defensive Rebound.,5,9
15:19,2168,Josh Cunningham made Layup. Assisted by Darrell Davis.,5,11
14:59,2681,Romone Saunders missed Jumper.,5,11
14:59,2168,Josh Cunningham Defensive Rebound.,5,11
14:52,2168,Darrell Davis made Three Point Jumper. Assisted by Jordan Davis.,5,14
14:51,2681,Wagner  Timeout,5,14
14:27,2681,Foul on Blake Francis.,5,14
14:27,2681,Blake Francis Turnover.,5,14
14:06,2168,Josh Cunningham made Jumper.,5,16
13:53,2681,Romone Saunders missed Three Point Jumper.,5,16
13:53,2168,Darrell Davis Defensive Rebound.,5,16
13:39,2168,Darrell Davis made Jumper.,5,18
13:15,2681,Elijah Davis missed Three Point Jumper.,5,18
13:15,2168,Darrell Davis Defensive Rebound.,5,18
12:56,2168,Josh Cunningham made Jumper. Assisted by Trey Landers.,5,20
12:36,2681,Blake Francis missed Jumper.,5,20
12:36,2168,Josh Cunningham Block.,5,20
12:33,2168,Darrell Davis Defensive Rebound.,5,20
12:13,2168,John Crosby missed Three Point Jumper.,5,20
12:13,2168,Jordan Davis Offensive Rebound.,5,20
12:08,2168,Darrell Davis missed Three Point Jumper.,5,20
12:08,2168,John Crosby Offensive Rebound.,5,20
11:58,2168,Josh Cunningham Turnover.,5,20
11:58,2168,Official TV Timeout,5,20
11:38,2681,Elijah Davis made Jumper.,7,20
11:21,2168,Jordan Davis Turnover.,7,20
11:06,2168,Foul on Kostas Antetokounmpo.,7,20
11:06,2681,Romone Saunders made Free Throw.,8,20
11:06,2681,Romone Saunders made Free Throw.,9,20
11:00,2168,Trey Landers made Layup. Assisted by Kostas Antetokounmpo.,9,22
10:48,2681,Elijah Davis Turnover.,9,22
10:46,2168,Jalen Crutcher Steal.,9,22
10:42,2168,Jalen Crutcher made Layup.,9,24
10:16,2681,Elijah Davis made Jumper. Assisted by Romone Saunders.,11,24
10:02,2168,Foul on Darrell Davis.,11,24
10:02,2168,Darrell Davis Turnover.,11,24
9:50,2681,Romone Saunders Turnover.,11,24
9:48,2168,Trey Landers Steal.,11,24
9:45,2168,Jalen Crutcher missed Three Point Jumper.,11,24
9:45,2681,Shack Scott Defensive Rebound.,11,24
9:42,2168,Foul on Darrell Davis.,11,24
9:30,2681,Blake Francis missed Jumper.,11,24
9:30,2168,Xeyrius Williams Defensive Rebound.,11,24
9:21,2681,Foul on Romone Saunders.,11,24
9:09,2168,Xeyrius Williams missed Three Point Jumper.,11,24
9:09,2681,JoJo Cooper Defensive Rebound.,11,24
8:55,2168,Foul on Xeyrius Williams.,11,24
8:41,2681,Romone Saunders missed Three Point Jumper.,11,24
8:41,2168,Jalen Crutcher Defensive Rebound.,11,24
8:22,2168,Trey Landers made Jumper. Assisted by Xeyrius Williams.,11,26
7:53,2681,JoJo Cooper missed Jumper.,11,26
7:53,2681,JoJo Cooper Offensive Rebound.,11,26
7:47,2681,Romone Saunders Turnover.,11,26
7:47,2168,Official TV Timeout,11,26
7:33,2168,Xeyrius Williams Turnover.,11,26
7:32,2681,AJ Sumbry Steal.,11,26
7:27,2681,Tyler Plummer missed Jumper.,11,26
7:27,2681,AJ Sumbry Offensive Rebound.,11,26
7:24,2681,AJ Sumbry made Dunk.,13,26
7:20,2168,Josh Cunningham missed Jumper.,13,26
7:20,2681,Nigel Jackson Defensive Rebound.,13,26
7:08,2681,Chase Freeman missed Three Point Jumper.,13,26
7:08,2168,Jordan Davis Defensive Rebound.,13,26
6:45,2168,Xeyrius Williams made Three Point Jumper. Assisted by Jalen Crutcher.,13,29
6:18,2681,Nigel Jackson made Three Point Jumper. Assisted by Chase Freeman.,16,29
5:57,2168,Josh Cunningham missed Jumper.,16,29
5:57,2681,AJ Sumbry Block.,16,29
5:55,2168,Jalen Crutcher Offensive Rebound.,16,29
5:51,2168,Trey Landers missed Three Point Jumper.,16,29
5:51,2681,AJ Sumbry Defensive Rebound.,16,29
5:44,2681,Nigel Jackson Turnover.,16,29
5:19,2168,Josh Cunningham made Three Point Jumper.,16,32
4:51,2681,Tyler Plummer Turnover.,16,32
4:30,2168,Josh Cunningham Turnover.,16,32
4:08,2681,AJ Sumbry missed Jumper.,16,32
4:08,2168,Matej Svoboda Defensive Rebound.,16,32
3:58,2168,Jordan Davis made Three Point Jumper. Assisted by John Crosby.,16,35
3:34,2681,Foul on AJ Sumbry.,16,35
3:34,2681,AJ Sumbry Turnover.,16,35
3:34,2168,Official TV Timeout,16,35
3:13,2681,Foul on Romone Saunders.,16,35
3:13,2168,John Crosby made Free Throw.,16,36
3:13,2168,John Crosby made Free Throw.,16,37
2:50,2168,Foul on Matej Svoboda.,16,37
2:48,2681,Blake Francis made Three Point Jumper. Assisted by JoJo Cooper.,19,37
2:36,2168,John Crosby made Jumper.,19,39
2:36,2681,Foul on Shack Scott.,19,39
2:36,2168,John Crosby made Free Throw.,19,40
2:11,2681,JoJo Cooper Turnover.,19,40
1:44,2168,John Crosby missed Three Point Jumper.,19,40
1:44,2681,Wagner Defensive Rebound.,19,40
1:26,2681,Elijah Davis missed Jumper.,19,40
1:26,2168,Jalen Crutcher Defensive Rebound.,19,40
1:20,2168,Kostas Antetokounmpo made Dunk. Assisted by Jalen Crutcher.,19,42
0:52,2681,Blake Francis Turnover.,19,42
0:50,2681,Foul on Shack Scott.,19,42
0:50,2168,Trey Landers missed Free Throw.,19,42
0:50,2168,Dayton Deadball Team Rebound.,19,42
0:50,2168,Trey Landers made Free Throw.,19,43
0:34,2681,Elijah Davis Turnover.,19,43
0:09,2681,Foul on Shack Scott.,19,43
0:09,2168,Kostas Antetokounmpo missed Free Throw.,19,43
0:09,2168,Dayton Deadball Team Rebound.,19,43
0:09,2168,Kostas Antetokounmpo missed Free Throw.,19,43
0:09,2681,Elijah Davis Defensive Rebound.,19,43
0:08,2168,Foul on Matej Svoboda.,19,43
0:04,2681,JoJo Cooper missed Jumper.,19,43
0:04,2681,Elijah Davis Offensive Rebound.,19,43
0:04,2168,Foul on Xeyrius Williams.,19,43
0:04,2681,Elijah Davis made Free Throw.,20,43
0:04,2168,Dayton  Timeout,20,43
0:04,2681,Elijah Davis made Free Throw.,21,43
0:00,2168,End of 1st half,21,43
19:47,2681,Nigel Jackson missed Three Point Jumper.,21,43
19:47,2168,Darrell Davis Defensive Rebound.,21,43
19:21,2168,Foul on Darrell Davis.,21,43
19:21,2168,Darrell Davis Turnover.,21,43
18:56,2681,AJ Sumbry missed Jumper.,21,43
18:56,2168,Jordan Davis Defensive Rebound.,21,43
18:47,2168,Darrell Davis missed Three Point Jumper.,21,43
18:47,2681,Nigel Jackson Defensive Rebound.,21,43
18:40,2681,JoJo Cooper missed Jumper.,21,43
18:40,2681,AJ Sumbry Offensive Rebound.,21,43
18:33,2681,AJ Sumbry made Two Point Tip Shot.,23,43
18:28,2168,Jordan Davis missed Jumper.,23,43
18:28,2681,Wagner Defensive Rebound.,23,43
18:08,2681,Blake Francis made Layup.,25,43
17:55,2168,John Crosby Turnover.,25,43
17:54,2681,Blake Francis Steal.,25,43
17:52,2168,Foul on John Crosby.,25,43
17:52,2168,Dayton  Timeout,25,43
17:52,2681,AJ Sumbry missed Free Throw.,25,43
17:52,2681,Wagner Deadball Team Rebound.,25,43
17:52,2681,AJ Sumbry made Free Throw.,26,43
17:34,2168,Jordan Davis missed Three Point Jumper.,26,43
17:34,2681,Nigel Jackson Defensive Rebound.,26,43
17:13,2681,AJ Sumbry Turnover.,26,43
