Hartford,164,Rutgers,42
time,team_id,description,h_score,a_score
19:36,42,Hassan Attia missed Layup.,0,0
19:36,164,Deshawn Freeman Defensive Rebound.,0,0
19:18,164,Souf Mensah missed Jumper.,0,0
19:18,42,Hassan Attia Defensive Rebound.,0,0
19:08,42,J.R. Lynch missed Jumper.,0,0
19:08,164,Issa Thiam Defensive Rebound.,0,0
18:41,164,Deshawn Freeman made Jumper.,0,2
18:11,164,Foul on Mamadou Doucoure.,0,2
18:11,42,Hassan Attia made Free Throw.,1,2
18:11,42,Hassan Attia made Free Throw.,2,2
17:51,164,Deshawn Freeman missed Jumper.,2,2
17:51,42,Hassan Attia Defensive Rebound.,2,2
17:41,42,Jason Dunne missed Three Point Jumper.,2,2
17:41,164,Deshawn Freeman Defensive Rebound.,2,2
17:22,164,Souf Mensah Turnover.,2,2
17:22,42,John Carroll Steal.,2,2
17:17,42,Jason Dunne made Layup.,4,2
16:59,164,Deshawn Freeman made Layup.,4,4
16:42,42,J.R. Lynch Turnover.,4,4
16:41,164,Deshawn Freeman Steal.,4,4
16:39,164,Foul on Deshawn Freeman.,4,4
16:39,164,Deshawn Freeman Turnover.,4,4
16:15,42,John Carroll missed Layup.,4,4
16:15,42,Hassan Attia Offensive Rebound.,4,4
16:14,42,Hassan Attia made Two Point Tip Shot.,6,4
15:53,164,Mamadou Doucoure missed Layup.,6,4
15:53,42,Travis Weatherington Defensive Rebound.,6,4
15:24,42,Jason Dunne made Three Point Jumper.,9,4
15:08,164,Souf Mensah made Layup.,9,6
14:43,42,J.R. Lynch made Jumper.,11,6
14:25,164,Geo Baker missed Three Point Jumper.,11,6
14:25,164,Rutgers Offensive Rebound.,11,6
14:25,42,Foul on Travis Weatherington.,11,6
14:25,164,Official TV Timeout,11,6
14:18,164,Geo Baker made Jumper.,11,8
14:00,42,J.R. Lynch made Three Point Jumper. Assisted by John Carroll.,14,8
13:50,164,Geo Baker missed Jumper.,14,8
13:50,42,John Carroll Defensive Rebound.,14,8
13:40,42,John Carroll missed Three Point Jumper.,14,8
13:40,164,Eugene Omoruyi Defensive Rebound.,14,8
13:28,164,Mike Williams missed Three Point Jumper.,14,8
13:28,164,Eugene Omoruyi Offensive Rebound.,14,8
13:28,42,Foul on Hassan Attia.,14,8
13:28,164,Shaquille Doorson missed Free Throw.,14,8
13:28,164,Rutgers Deadball Team Rebound.,14,8
13:27,164,Shaquille Doorson missed Free Throw.,14,8
13:27,42,John Carroll Defensive Rebound.,14,8
13:00,42,Jason Dunne missed Layup.,14,8
13:00,164,Mike Williams Block.,14,8
13:00,164,Issa Thiam Defensive Rebound.,14,8
12:49,164,Issa Thiam missed Jumper.,14,8
12:49,42,Jason Dunne Block.,14,8
12:48,42,John Carroll Defensive Rebound.,14,8
