Tulane,218,Temple,2655
time,team_id,description,h_score,a_score
20:00,218,Jump Ball won by Temple,0,0
19:37,218,Josh Brown made Jumper.,0,2
19:07,2655,Melvin Frazier Turnover.,0,2
18:50,218,Ernest Aflakpui Turnover.,0,2
18:39,218,Foul on Ernest Aflakpui.,0,2
18:39,2655,Blake Paul made Free Throw.,1,2
18:39,2655,Blake Paul made Free Throw.,2,2
18:12,218,Josh Brown Turnover.,2,2
18:12,2655,Cameron Reynolds Steal.,2,2
18:07,2655,Cameron Reynolds missed Jumper.,2,2
18:07,218,Josh Brown Block.,2,2
18:07,2655,Tulane Offensive Rebound.,2,2
18:04,2655,Cameron Reynolds made Three Point Jumper. Assisted by Blake Paul.,5,2
17:49,218,Shizz Alston Jr. missed Three Point Jumper.,5,2
17:49,2655,Cameron Reynolds Defensive Rebound.,5,2
17:36,2655,Melvin Frazier missed Jumper.,5,2
17:36,2655,Tulane Offensive Rebound.,5,2
17:31,2655,Cameron Reynolds made Jumper. Assisted by Melvin Frazier.,7,2
17:17,218,Quinton Rose missed Jumper.,7,2
17:17,2655,Melvin Frazier Defensive Rebound.,7,2
17:02,2655,Cameron Reynolds missed Layup.,7,2
17:02,218,Obi Enechionyia Defensive Rebound.,7,2
16:50,218,Quinton Rose Turnover.,7,2
16:50,2655,Melvin Frazier Steal.,7,2
16:44,2655,Melvin Frazier made Layup.,9,2
16:28,218,Shizz Alston Jr. missed Jumper.,9,2
16:28,2655,Cameron Reynolds Defensive Rebound.,9,2
15:57,2655,Ray Ona Embo missed Jumper.,9,2
15:57,218,Quinton Rose Defensive Rebound.,9,2
15:44,218,Ernest Aflakpui made Layup. Assisted by Quinton Rose.,9,4
15:24,2655,Cameron Reynolds missed Three Point Jumper.,9,4
15:24,218,Obi Enechionyia Defensive Rebound.,9,4
15:04,218,Ernest Aflakpui missed Layup.,9,4
15:04,2655,Jordan Cornish Block.,9,4
15:04,218,Ernest Aflakpui Offensive Rebound.,9,4
14:55,218,Ernest Aflakpui made Layup.,9,6
14:38,2655,Blake Paul made Dunk. Assisted by Jordan Cornish.,11,6
14:25,2655,Foul on Jordan Cornish.,11,6
14:25,218,Official TV Timeout,11,6
14:25,218,Josh Brown made Free Throw.,11,7
14:25,218,Josh Brown made Free Throw.,11,8
14:13,2655,Melvin Frazier missed Three Point Jumper.,11,8
14:13,218,Ernest Aflakpui Defensive Rebound.,11,8
14:04,218,Obi Enechionyia missed Three Point Jumper.,11,8
14:04,2655,Ray Ona Embo Defensive Rebound.,11,8
13:53,2655,Ray Ona Embo made Layup.,13,8
13:37,218,Shizz Alston Jr. made Layup.,13,10
13:31,218,Foul on Obi Enechionyia.,13,10
13:28,2655,Cameron Reynolds made Jumper. Assisted by Melvin Frazier.,15,10
13:03,218,Quinton Rose missed Jumper.,15,10
13:03,218,Temple Offensive Rebound.,15,10
13:00,2655,Foul on Ray Ona Embo.,15,10
12:49,218,Josh Brown Turnover.,15,10
12:49,2655,Melvin Frazier Steal.,15,10
12:22,2655,Ray Ona Embo made Jumper.,17,10
12:03,218,Obi Enechionyia Turnover.,17,10
11:41,218,Foul on De'Vondre Perry.,17,10
11:41,218,Official TV Timeout,17,10
11:41,2655,Samir Sehic missed Free Throw.,17,10
11:41,2655,Tulane Deadball Team Rebound.,17,10
11:41,2655,Samir Sehic made Free Throw.,18,10
11:26,218,Quinton Rose made Three Point Jumper. Assisted by Shizz Alston Jr..,18,13
11:01,218,Foul on De'Vondre Perry.,18,13
10:56,2655,Jordan Cornish missed Three Point Jumper.,18,13
10:56,218,Damion Moore Defensive Rebound.,18,13
10:43,218,Quinton Rose missed Three Point Jumper.,18,13
10:43,2655,Tulane Defensive Rebound.,18,13
10:30,2655,Jordan Cornish made Jumper.,20,13
10:17,218,Shizz Alston Jr. missed Jumper.,20,13
10:17,218,Damion Moore Offensive Rebound.,20,13
10:08,2655,Foul on Caleb Daniels.,20,13
10:00,218,Josh Brown made Layup.,20,15
9:43,2655,Ray Ona Embo missed Jumper.,20,15
9:43,218,Obi Enechionyia Block.,20,15
9:43,2655,Tulane Offensive Rebound.,20,15
9:27,2655,Ray Ona Embo made Jumper.,22,15
8:59,218,Josh Brown missed Layup.,22,15
8:59,2655,Caleb Daniels Block.,22,15
8:59,218,Temple Offensive Rebound.,22,15
8:59,218,Foul on Quinton Rose.,22,15
8:59,218,Quinton Rose Turnover.,22,15
8:44,2655,Samir Sehic missed Three Point Jumper.,22,15
8:44,218,Nate Pierre-Louis Defensive Rebound.,22,15
8:32,218,Damion Moore Turnover.,22,15
8:32,2655,Ray Ona Embo Steal.,22,15
8:21,2655,Caleb Daniels made Layup. Assisted by Cameron Reynolds.,24,15
8:14,218,Quinton Rose missed Three Point Jumper.,24,15
8:14,2655,Cameron Reynolds Defensive Rebound.,24,15
7:55,2655,Cameron Reynolds made Jumper. Assisted by Ray Ona Embo.,26,15
7:52,218,Temple  Timeout,26,15
7:52,218,Official TV Timeout,26,15
7:35,218,Damion Moore missed Jumper.,26,15
7:35,2655,Samir Sehic Defensive Rebound.,26,15
7:14,2655,Caleb Daniels missed Three Point Jumper.,26,15
7:14,218,Nate Pierre-Louis Defensive Rebound.,26,15
7:08,218,Nate Pierre-Louis missed Jumper.,26,15
7:08,2655,Ray Ona Embo Defensive Rebound.,26,15
7:02,2655,Samir Sehic made Three Point Jumper. Assisted by Melvin Frazier.,29,15
6:48,218,Obi Enechionyia made Layup.,29,17
6:48,2655,Foul on Samir Sehic.,29,17
6:48,218,Obi Enechionyia made Free Throw.,29,18
6:25,2655,Samir Sehic missed Layup.,29,18
6:25,218,Ernest Aflakpui Defensive Rebound.,29,18
6:17,218,Nate Pierre-Louis missed Three Point Jumper.,29,18
6:17,2655,Caleb Daniels Defensive Rebound.,29,18
5:57,2655,Samir Sehic made Layup. Assisted by Caleb Daniels.,31,18
5:28,218,Obi Enechionyia missed Three Point Jumper.,31,18
5:28,2655,Caleb Daniels Defensive Rebound.,31,18
5:19,2655,Cameron Reynolds missed Jumper.,31,18
5:19,218,Obi Enechionyia Defensive Rebound.,31,18
5:11,218,Obi Enechionyia missed Three Point Jumper.,31,18
5:11,2655,Tulane Defensive Rebound.,31,18
5:00,2655,Samir Sehic missed Three Point Jumper.,31,18
5:00,218,Alani Moore II Defensive Rebound.,31,18
4:51,2655,Foul on Samir Sehic.,31,18
4:33,218,Shizz Alston Jr. made Layup.,31,20
4:11,2655,Blake Paul missed Layup.,31,20
4:11,218,Quinton Rose Block.,31,20
4:11,218,Quinton Rose Defensive Rebound.,31,20
4:03,2655,Foul on Cameron Reynolds.,31,20
3:55,218,Shizz Alston Jr. made Jumper.,31,22
3:20,2655,Jordan Cornish Turnover.,31,22
3:20,218,Nate Pierre-Louis Steal.,31,22
3:12,218,Nate Pierre-Louis made Layup. Assisted by Alani Moore II.,31,24
2:53,218,Official TV Timeout,31,24
2:47,2655,Jordan Cornish missed Three Point Jumper.,31,24
2:47,218,Nate Pierre-Louis Defensive Rebound.,31,24
2:27,2655,Foul on Blake Paul.,31,24
2:27,218,Ernest Aflakpui missed Free Throw.,31,24
2:27,218,Temple Deadball Team Rebound.,31,24
2:27,218,Ernest Aflakpui made Free Throw.,31,25
2:19,218,Foul on Shizz Alston Jr..,31,25
2:06,2655,Colin Slater missed Three Point Jumper.,31,25
2:06,2655,Caleb Daniels Offensive Rebound.,31,25
1:42,2655,Blake Paul missed Jumper.,31,25
1:42,218,Shizz Alston Jr. Defensive Rebound.,31,25
1:32,218,Shizz Alston Jr. missed Three Point Jumper.,31,25
1:32,2655,Jordan Cornish Defensive Rebound.,31,25
1:26,2655,Jordan Cornish Turnover.,31,25
1:26,218,Nate Pierre-Louis Steal.,31,25
1:21,218,Quinton Rose made Jumper. Assisted by Nate Pierre-Louis.,31,27
1:21,2655,Tulane  Timeout,31,27
1:11,2655,Blake Paul made Dunk. Assisted by Melvin Frazier.,33,27
1:00,218,Josh Brown Turnover.,33,27
1:00,2655,Melvin Frazier Steal.,33,27
0:51,2655,Melvin Frazier made Layup.,35,27
0:51,218,Foul on Josh Brown.,35,27
0:51,2655,Melvin Frazier made Free Throw.,36,27
0:43,218,Shizz Alston Jr. made Jumper.,36,29
0:21,2655,Melvin Frazier made Layup. Assisted by Caleb Daniels.,38,29
0:01,218,Josh Brown missed Three Point Jumper.,38,29
0:01,218,Temple Offensive Rebound.,38,29
0:00,218,End of 1st half,38,29
20:00,2655,Jump Ball won by Tulane,38,29
19:42,2655,Cameron Reynolds missed Jumper.,38,29
19:42,218,Obi Enechionyia Defensive Rebound.,38,29
19:32,218,Quinton Rose made Jumper. Assisted by Obi Enechionyia.,38,31
19:00,2655,Ray Ona Embo made Three Point Jumper. Assisted by Jordan Cornish.,41,31
18:29,218,Josh Brown missed Three Point Jumper.,41,31
18:29,218,Obi Enechionyia Offensive Rebound.,41,31
18:25,218,Temple  Turnover.,41,31
18:15,218,Foul on Quinton Rose.,41,31
18:15,2655,Melvin Frazier made Free Throw.,42,31
18:15,2655,Melvin Frazier made Free Throw.,43,31
17:58,218,Quinton Rose missed Jumper.,43,31
17:58,218,Ernest Aflakpui Offensive Rebound.,43,31
17:53,218,Ernest Aflakpui made Layup.,43,33
17:26,2655,Ray Ona Embo missed Jumper.,43,33
17:26,218,Obi Enechionyia Block.,43,33
17:26,218,Temple Defensive Rebound.,43,33
17:06,218,Shizz Alston Jr. missed Three Point Jumper.,43,33
17:06,2655,Cameron Reynolds Defensive Rebound.,43,33
16:41,2655,Melvin Frazier missed Three Point Jumper.,43,33
16:41,218,Obi Enechionyia Defensive Rebound.,43,33
16:28,218,Ernest Aflakpui made Layup. Assisted by Quinton Rose.,43,35
16:28,2655,Foul on Melvin Frazier.,43,35
16:28,218,Ernest Aflakpui missed Free Throw.,43,35
16:28,218,Quinton Rose Offensive Rebound.,43,35
16:25,2655,Foul on Blake Paul.,43,35
16:25,218,Quinton Rose made Free Throw.,43,36
16:25,218,Quinton Rose made Free Throw.,43,37
16:12,2655,Blake Paul made Dunk. Assisted by Ray Ona Embo.,45,37
15:56,218,Shizz Alston Jr. made Three Point Jumper. Assisted by Josh Brown.,45,40
15:35,2655,Blake Paul Turnover.,45,40
15:35,218,Official TV Timeout,45,40
15:10,218,Ernest Aflakpui Turnover.,45,40
14:56,218,Foul on Josh Brown.,45,40
14:56,2655,Cameron Reynolds made Free Throw.,46,40
14:56,2655,Cameron Reynolds made Free Throw.,47,40
14:39,218,Quinton Rose missed Jumper.,47,40
14:39,2655,Ray Ona Embo Defensive Rebound.,47,40
14:29,2655,Cameron Reynolds made Jumper. Assisted by Ray Ona Embo.,49,40
14:18,218,Shizz Alston Jr. Turnover.,49,40
14:18,2655,Ray Ona Embo Steal.,49,40
14:11,2655,Cameron Reynolds missed Three Point Jumper.,49,40
14:11,218,Josh Brown Defensive Rebound.,49,40
14:04,218,Josh Brown made Layup. Assisted by Quinton Rose.,49,42
13:44,2655,Blake Paul Turnover.,49,42
13:44,218,Obi Enechionyia Steal.,49,42
13:31,218,Quinton Rose made Layup.,49,44
13:22,2655,Tulane  Timeout,49,44
13:22,218,Official TV Timeout,49,44
13:06,2655,Melvin Frazier made Layup.,51,44
13:06,218,Foul on Quinton Rose.,51,44
13:06,2655,Melvin Frazier made Free Throw.,52,44
12:51,2655,Foul on Cameron Reynolds.,52,44
12:34,2655,Foul on Cameron Reynolds.,52,44
12:34,218,Josh Brown made Free Throw.,52,45
12:34,218,Josh Brown made Free Throw.,52,46
12:12,2655,Melvin Frazier made Jumper.,54,46
11:49,218,Nate Pierre-Louis made Three Point Jumper. Assisted by De'Vondre Perry.,54,49
11:20,2655,Blake Paul made Jumper. Assisted by Ray Ona Embo.,56,49
11:06,218,Quinton Rose made Three Point Jumper. Assisted by Ernest Aflakpui.,56,52
10:51,218,Official TV Timeout,56,52
10:44,2655,Caleb Daniels made Jumper. Assisted by Colin Slater.,58,52
10:25,218,Damion Moore missed Jumper.,58,52
10:25,2655,Blake Paul Defensive Rebound.,58,52
10:06,2655,Caleb Daniels made Layup.,60,52
9:57,218,Josh Brown missed Jumper.,60,52
9:57,2655,Cameron Reynolds Defensive Rebound.,60,52
9:40,2655,Melvin Frazier Turnover.,60,52
9:40,218,De'Vondre Perry Steal.,60,52
9:35,218,Quinton Rose missed Three Point Jumper.,60,52
9:35,218,Temple Offensive Rebound.,60,52
9:33,2655,Foul on Caleb Daniels.,60,52
9:20,218,Nate Pierre-Louis made Jumper.,60,54
9:06,2655,Colin Slater made Layup. Assisted by Melvin Frazier.,62,54
8:51,218,Damion Moore made Jumper. Assisted by Obi Enechionyia.,62,56
8:29,2655,Melvin Frazier Turnover.,62,56
8:29,218,Nate Pierre-Louis Steal.,62,56
8:18,218,Nate Pierre-Louis made Layup. Assisted by Quinton Rose.,62,58
7:59,218,Official TV Timeout,62,58
7:49,2655,Cameron Reynolds missed Jumper.,62,58
7:49,218,Nate Pierre-Louis Defensive Rebound.,62,58
7:26,218,Obi Enechionyia missed Three Point Jumper.,62,58
7:26,2655,Tulane Defensive Rebound.,62,58
7:06,2655,Blake Paul made Jumper. Assisted by Melvin Frazier.,64,58
6:46,218,Damion Moore made Dunk.,64,60
6:15,2655,Melvin Frazier made Three Point Jumper. Assisted by Ray Ona Embo.,67,60
5:54,2655,Foul on Ray Ona Embo.,67,60
5:48,218,Damion Moore missed Jumper.,67,60
5:48,2655,Cameron Reynolds Defensive Rebound.,67,60
5:24,2655,Melvin Frazier missed Three Point Jumper.,67,60
5:24,218,Temple Defensive Rebound.,67,60
5:22,2655,Foul on Caleb Daniels.,67,60
5:22,218,Shizz Alston Jr. missed Free Throw.,67,60
5:22,218,Obi Enechionyia Offensive Rebound.,67,60
5:02,218,Obi Enechionyia missed Jumper.,67,60
5:02,2655,Cameron Reynolds Defensive Rebound.,67,60
4:50,218,Foul on Damion Moore.,67,60
4:50,2655,Caleb Daniels made Free Throw.,68,60
4:50,2655,Caleb Daniels made Free Throw.,69,60
4:40,218,Shizz Alston Jr. made Jumper.,69,62
4:16,2655,Cameron Reynolds made Jumper. Assisted by Melvin Frazier.,71,62
3:55,218,Shizz Alston Jr. Turnover.,71,62
3:55,2655,Ray Ona Embo Steal.,71,62
3:53,218,Foul on Josh Brown.,71,62
3:53,218,Official TV Timeout,71,62
3:53,2655,Cameron Reynolds made Free Throw.,72,62
3:53,2655,Cameron Reynolds made Free Throw.,73,62
3:39,218,Josh Brown made Layup.,73,64
3:11,2655,Ray Ona Embo missed Three Point Jumper.,73,64
3:11,2655,Cameron Reynolds Offensive Rebound.,73,64
3:11,2655,Cameron Reynolds missed Two Point Tip Shot.,73,64
3:11,218,Josh Brown Defensive Rebound.,73,64
3:03,2655,Foul on Ray Ona Embo.,73,64
3:03,218,Josh Brown made Free Throw.,73,65
3:03,218,Josh Brown made Free Throw.,73,66
3:01,2655,Foul on Ray Ona Embo.,73,66
3:01,2655,Ray Ona Embo Turnover.,73,66
2:48,218,Quinton Rose missed Layup.,73,66
2:48,218,Shizz Alston Jr. Offensive Rebound.,73,66
2:46,218,Shizz Alston Jr. made Layup.,73,68
2:46,218,Temple  Timeout,73,68
2:26,218,Foul on Josh Brown.,73,68
2:24,2655,Melvin Frazier Turnover.,73,68
2:24,218,Quinton Rose Steal.,73,68
2:05,218,Josh Brown missed Jumper.,73,68
2:05,2655,Ray Ona Embo Defensive Rebound.,73,68
1:43,2655,Ray Ona Embo missed Layup.,73,68
1:43,2655,Ray Ona Embo Offensive Rebound.,73,68
1:43,218,Foul on Josh Brown.,73,68
1:43,2655,Ray Ona Embo made Free Throw.,74,68
1:43,2655,Ray Ona Embo made Free Throw.,75,68
1:37,218,Shizz Alston Jr. made Jumper.,75,70
1:19,218,Foul on Obi Enechionyia.,75,70
1:19,2655,Melvin Frazier made Free Throw.,76,70
1:19,2655,Melvin Frazier made Free Throw.,77,70
1:11,218,Quinton Rose made Layup.,77,72
1:11,2655,Foul on Ray Ona Embo.,77,72
1:11,218,Quinton Rose made Free Throw.,77,73
1:09,2655,Tulane  Timeout,77,73
1:03,2655,Caleb Daniels Turnover.,77,73
1:03,218,Alani Moore II Steal.,77,73
0:57,218,Alani Moore II missed Layup.,77,73
0:57,2655,Caleb Daniels Block.,77,73
0:57,2655,Cameron Reynolds Defensive Rebound.,77,73
0:56,218,Foul on Obi Enechionyia.,77,73
0:56,2655,Jordan Cornish made Free Throw.,78,73
0:56,2655,Jordan Cornish made Free Throw.,79,73
0:50,218,Alani Moore II missed Three Point Jumper.,79,73
0:50,2655,Colin Slater Defensive Rebound.,79,73
0:42,2655,Melvin Frazier made Layup. Assisted by Jordan Cornish.,81,73
0:38,218,Obi Enechionyia missed Three Point Jumper.,81,73
0:38,218,Alani Moore II Offensive Rebound.,81,73
0:28,218,Quinton Rose missed Three Point Jumper.,81,73
0:28,218,Shizz Alston Jr. Offensive Rebound.,81,73
0:25,218,Shizz Alston Jr. missed Jumper.,81,73
0:25,2655,Cameron Reynolds Block.,81,73
0:25,2655,Cameron Reynolds Defensive Rebound.,81,73
0:25,218,Temple  Timeout,81,73
0:17,2655,Melvin Frazier made Dunk. Assisted by Colin Slater.,83,73
0:09,218,Shizz Alston Jr. missed Three Point Jumper.,83,73
0:09,218,Obi Enechionyia Offensive Rebound.,83,73
0:09,218,Obi Enechionyia missed Layup.,83,73
0:09,218,Obi Enechionyia Offensive Rebound.,83,73
0:09,218,Obi Enechionyia missed Layup.,83,73
0:09,218,Nate Pierre-Louis Offensive Rebound.,83,73
0:09,218,Nate Pierre-Louis made Layup.,83,75
0:09,218,Temple  Timeout,83,75
0:03,2655,Melvin Frazier made Dunk. Assisted by Caleb Daniels.,85,75
0:00,218,End of Game,85,75
