Middle Georgia St,Error,Jacksonville,294
time,team_id,description,h_score,a_score
19:56,-1,Tyrone Young missed Three Point Jumper.,0,0
19:56,294,Jacksonville Defensive Rebound.,0,0
19:36,294,Cody Helgeland missed Three Point Jumper.,0,0
19:36,-1,Roshaun Milline Defensive Rebound.,0,0
19:22,-1,Roshaun Milline missed Three Point Jumper.,0,0
19:22,294,Jacksonville Defensive Rebound.,0,0
19:03,294,Damien Sears missed Jumper.,0,0
19:03,-1,Troy Campfield Block.,0,0
19:01,-1,Troy Campfield Defensive Rebound.,0,0
18:41,-1,Kinsey Burgess made Three Point Jumper. Assisted by Roshaun Milline.,3,0
18:15,294,Damien Sears made Dunk. Assisted by JD Notae.,3,2
18:03,-1,Roshaun Milline missed Three Point Jumper.,3,2
18:03,294,Cody Helgeland Defensive Rebound.,3,2
17:44,-1,Foul on Troy Campfield.,3,2
17:39,-1,Foul on Troy Campfield.,3,2
17:39,294,Damien Sears missed Free Throw.,3,2
17:39,294,Jacksonville Deadball Team Rebound.,3,2
17:39,294,Damien Sears missed Free Throw.,3,2
17:39,-1,Kinsey Burgess Defensive Rebound.,3,2
17:32,-1,Laramie Hubbard missed Jumper.,3,2
17:32,294,Jalyn Hinton Defensive Rebound.,3,2
17:23,294,JD Notae made Layup.,3,4
17:07,-1,Darrell White Turnover.,3,4
17:06,294,JD Notae Steal.,3,4
17:04,294,JD Notae made Layup.,3,6
16:46,-1,Darrell White missed Layup.,3,6
16:46,294,Damien Sears Defensive Rebound.,3,6
16:38,294,Tanner Rubio made Three Point Jumper. Assisted by JD Notae.,3,9
16:15,-1,Laramie Hubbard missed Jumper.,3,9
16:15,-1,Laramie Hubbard Offensive Rebound.,3,9
16:13,294,Foul on Jalyn Hinton.,3,9
15:49,-1,Kinsey Burgess missed Jumper.,3,9
15:49,294,Damien Sears Defensive Rebound.,3,9
15:40,294,JD Notae Turnover.,3,9
15:40,-1,Middle Georgia State College  Timeout,3,9
15:28,-1,Kinsey Burgess made Jumper. Assisted by Laramie Hubbard.,5,9
14:59,294,Damien Sears missed Layup.,5,9
14:59,294,Cody Helgeland Offensive Rebound.,5,9
14:54,294,Tanner Rubio missed Three Point Jumper.,5,9
14:54,-1,Tyrone Young Defensive Rebound.,5,9
14:42,-1,Roshaun Milline missed Three Point Jumper.,5,9
14:42,294,JD Notae Defensive Rebound.,5,9
14:29,294,JD Notae Turnover.,5,9
14:14,-1,Darrell White made Three Point Jumper. Assisted by Tyrone Young.,8,9
13:59,294,Radwan Bakkali missed Jumper.,8,9
13:59,-1,Darrell White Defensive Rebound.,8,9
13:51,-1,Roshaun Milline missed Layup.,8,9
13:51,294,Radwan Bakkali Block.,8,9
13:49,294,Radwan Bakkali Defensive Rebound.,8,9
13:45,-1,Foul on Laramie Hubbard.,8,9
13:45,294,JD Notae made Free Throw.,8,10
13:45,294,JD Notae made Free Throw.,8,11
13:28,-1,Roshaun Milline made Jumper.,10,11
13:17,294,Cody Helgeland Turnover.,10,11
13:17,294,Foul on Cody Helgeland.,10,11
13:05,-1,Tyrone Young made Three Point Jumper.,13,11
12:48,-1,Foul on Kinsey Burgess.,13,11
12:42,-1,Foul on McKinley Chambless.,13,11
12:42,294,Radwan Bakkali missed Free Throw.,13,11
12:42,294,Jacksonville Deadball Team Rebound.,13,11
12:42,294,Radwan Bakkali missed Free Throw.,13,11
12:42,294,Devin Harris Offensive Rebound.,13,11
12:28,294,Cody Helgeland missed Three Point Jumper.,13,11
12:28,-1,Roshaun Milline Defensive Rebound.,13,11
12:17,-1,Roshaun Milline missed Three Point Jumper.,13,11
12:17,294,Jacksonville Deadball Team Rebound.,13,11
12:01,294,Radwan Bakkali made Layup. Assisted by JD Notae.,13,13
12:01,-1,Foul on Laramie Hubbard.,13,13
