Oakland,270,Milwaukee,2473
time,team_id,description,h_score,a_score
19:45,270,Brock Stull missed Jumper.,0,0
19:45,2473,Nick Daniels Defensive Rebound.,0,0
19:30,2473,Kendrick Nunn Turnover.,0,0
19:13,270,Bryce Barnes missed Jumper.,0,0
19:13,2473,Nick Daniels Defensive Rebound.,0,0
19:05,2473,Kendrick Nunn Turnover.,0,0
19:03,270,Jeremiah Bell Steal.,0,0
19:00,270,Jeremiah Bell made Layup.,0,2
18:40,2473,Jalen Hayes made Jumper. Assisted by Nick Daniels.,2,2
18:25,270,Bryce Nze missed Jumper.,2,2
18:25,2473,Isaiah Brock Block.,2,2
18:23,2473,Kendrick Nunn Defensive Rebound.,2,2
18:11,2473,Kendrick Nunn missed Jumper.,2,2
18:11,270,Brock Stull Defensive Rebound.,2,2
17:48,270,Brett Prahl made Jumper.,2,4
17:27,2473,Jalen Hayes missed Jumper.,2,4
17:27,270,Bryce Nze Defensive Rebound.,2,4
17:14,270,Jeremiah Bell missed Three Point Jumper.,2,4
17:14,2473,Jalen Hayes Defensive Rebound.,2,4
17:05,2473,Kendrick Nunn made Jumper.,4,4
16:47,270,Bryce Barnes missed Jumper.,4,4
16:47,2473,Nick Daniels Block.,4,4
16:46,2473,Nick Daniels Defensive Rebound.,4,4
16:43,2473,Martez Walker made Layup. Assisted by Nick Daniels.,6,4
16:23,270,Brett Prahl missed Three Point Jumper.,6,4
16:23,2473,Isaiah Brock Defensive Rebound.,6,4
15:58,2473,Jalen Hayes missed Layup.,6,4
15:58,270,Bryce Nze Defensive Rebound.,6,4
15:57,2473,Foul on Jalen Hayes.,6,4
15:57,270,Official TV Timeout,6,4
15:36,270,Brett Prahl missed Layup.,6,4
15:36,2473,Isaiah Brock Block.,6,4
15:34,2473,Martez Walker Defensive Rebound.,6,4
15:12,2473,Nick Daniels made Layup.,8,4
14:56,270,Brock Stull made Three Point Jumper. Assisted by Brett Prahl.,8,7
14:29,2473,Jalen Hayes missed Layup.,8,7
14:29,270,Vance Johnson Block.,8,7
14:28,270,Vance Johnson Defensive Rebound.,8,7
14:19,270,Vance Johnson missed Jumper.,8,7
14:19,2473,Jalen Hayes Defensive Rebound.,8,7
14:05,2473,Nick Daniels missed Three Point Jumper.,8,7
14:05,2473,Jalen Hayes Offensive Rebound.,8,7
13:52,2473,Jalen Hayes missed Layup.,8,7
13:52,270,Vance Johnson Block.,8,7
13:51,270,Brett Prahl Defensive Rebound.,8,7
13:41,270,Brett Prahl made Layup. Assisted by Brock Stull.,8,9
13:31,2473,Kendrick Nunn made Layup.,10,9
13:16,270,Brock Stull Turnover.,10,9
13:15,2473,Kendrick Nunn Steal.,10,9
13:12,2473,Martez Walker made Dunk. Assisted by Kendrick Nunn.,12,9
12:53,270,Brett Prahl made Layup. Assisted by Brock Stull.,12,11
12:43,2473,Nick Daniels Turnover.,12,11
12:27,270,Bryce Nze Turnover.,12,11
12:13,2473,Kendrick Nunn made Three Point Jumper. Assisted by Brailen Neely.,15,11
11:45,2473,Foul on Jalen Hayes.,15,11
11:45,270,Official TV Timeout,15,11
11:33,270,Bryce Nze missed Layup.,15,11
11:33,2473,Brailen Neely Defensive Rebound.,15,11
11:28,2473,Martez Walker missed Layup.,15,11
11:28,270,Bryce Barnes Defensive Rebound.,15,11
11:21,270,Carson Warren-Newsome missed Three Point Jumper.,15,11
11:21,2473,Chris Palombizio Defensive Rebound.,15,11
10:50,2473,Kendrick Nunn missed Jumper.,15,11
10:50,270,Bryce Nze Defensive Rebound.,15,11
10:36,270,Bryce Barnes missed Jumper.,15,11
10:36,2473,Kendrick Nunn Block.,15,11
10:35,270,Bryce Barnes Offensive Rebound.,15,11
10:29,270,Vance Johnson made Layup.,15,13
10:05,2473,Chris Palombizio made Layup.,17,13
9:50,270,Bryce Nze made Jumper. Assisted by Bryce Barnes.,17,15
9:27,2473,Julius Palmer missed Layup.,17,15
9:27,270,Vance Johnson Defensive Rebound.,17,15
9:06,270,Vance Johnson made Jumper.,17,17
8:50,2473,Kendrick Nunn missed Three Point Jumper.,17,17
8:50,270,Brock Stull Defensive Rebound.,17,17
8:43,270,Brock Stull made Layup.,17,19
8:21,2473,Kendrick Nunn made Jumper.,19,19
8:05,270,Brett Prahl missed Layup.,19,19
8:05,2473,Isaiah Brock Defensive Rebound.,19,19
7:56,2473,Martez Walker missed Three Point Jumper.,19,19
7:56,270,Bryce Nze Defensive Rebound.,19,19
7:39,270,Brock Stull missed Jumper.,19,19
7:39,2473,Martez Walker Block.,19,19
7:37,270,Brock Stull Offensive Rebound.,19,19
7:28,270,Brock Stull made Layup.,19,21
7:13,2473,Kendrick Nunn made Three Point Jumper. Assisted by Nick Daniels.,22,21
6:57,270,Bryce Barnes missed Jumper.,22,21
6:57,2473,Chris Palombizio Defensive Rebound.,22,21
6:47,2473,Isaiah Brock made Dunk. Assisted by Kendrick Nunn.,24,21
6:44,270,Milwaukee  Timeout,24,21
6:44,270,Official TV Timeout,24,21
6:32,270,Bryce Nze Turnover.,24,21
6:17,2473,Kendrick Nunn missed Three Point Jumper.,24,21
6:17,270,Jeremiah Bell Defensive Rebound.,24,21
6:08,270,Foul on Brett Prahl.,24,21
6:08,270,Brett Prahl Turnover.,24,21
5:47,2473,Nick Daniels missed Three Point Jumper.,24,21
5:47,270,Brock Stull Defensive Rebound.,24,21
5:33,270,Brock Stull Turnover.,24,21
5:33,2473,Nick Daniels Steal.,24,21
5:29,2473,Martez Walker made Layup. Assisted by Kendrick Nunn.,26,21
5:09,270,August Haas missed Jumper.,26,21
5:09,2473,Isaiah Brock Defensive Rebound.,26,21
5:02,2473,Jalen Hayes made Layup. Assisted by Nick Daniels.,28,21
5:02,270,Foul on Bryce Nze.,28,21
5:02,2473,Jalen Hayes made Free Throw.,29,21
4:48,270,Brock Stull missed Three Point Jumper.,29,21
4:48,270,Bryce Nze Offensive Rebound.,29,21
4:40,270,Brock Stull made Three Point Jumper.,29,24
4:22,2473,Martez Walker missed Three Point Jumper.,29,24
4:22,270,Brett Prahl Defensive Rebound.,29,24
4:00,270,Bryce Nze missed Layup.,29,24
4:00,2473,Isaiah Brock Block.,29,24
3:59,2473,Martez Walker Defensive Rebound.,29,24
3:55,2473,Foul on Nick Daniels.,29,24
3:55,2473,Nick Daniels Turnover.,29,24
3:55,270,Official TV Timeout,29,24
3:38,270,Brock Stull missed Jumper.,29,24
3:38,270,Brett Prahl Offensive Rebound.,29,24
3:36,270,Brett Prahl made Layup.,29,26
3:18,2473,Kendrick Nunn Turnover.,29,26
3:02,270,August Haas missed Jumper.,29,26
3:02,2473,Jalen Hayes Defensive Rebound.,29,26
3:00,270,Foul on Vance Johnson.,29,26
2:46,2473,Isaiah Brock made Dunk. Assisted by Kendrick Nunn.,31,26
2:30,270,Brett Prahl missed Layup.,31,26
2:30,2473,Isaiah Brock Defensive Rebound.,31,26
2:05,2473,Kendrick Nunn made Three Point Jumper. Assisted by Brailen Neely.,34,26
2:00,2473,Oakland  Timeout,34,26
1:45,270,Foul on Brock Stull.,34,26
1:45,270,Brock Stull Turnover.,34,26
1:20,2473,Kendrick Nunn missed Jumper.,34,26
1:20,270,Vance Johnson Defensive Rebound.,34,26
1:07,270,Carson Warren-Newsome missed Three Point Jumper.,34,26
1:07,2473,Isaiah Brock Defensive Rebound.,34,26
1:00,2473,Kendrick Nunn made Layup.,36,26
0:45,270,Brock Stull made Three Point Jumper. Assisted by Carson Warren-Newsome.,36,29
0:45,2473,Foul on Martez Walker.,36,29
0:45,270,Brock Stull made Free Throw.,36,30
0:37,2473,Kendrick Nunn missed Three Point Jumper.,36,30
0:37,270,Carson Warren-Newsome Defensive Rebound.,36,30
0:14,270,Carson Warren-Newsome made Jumper.,36,32
0:07,2473,Martez Walker missed Layup.,36,32
0:07,270,Brock Stull Defensive Rebound.,36,32
0:00,270,End of 1st half,36,32
19:48,2473,Jalen Hayes missed Jumper.,36,32
19:48,270,Bryce Nze Defensive Rebound.,36,32
19:29,270,Brock Stull Turnover.,36,32
19:28,2473,Nick Daniels Steal.,36,32
19:25,2473,Martez Walker made Layup. Assisted by Nick Daniels.,38,32
19:07,270,Jeremiah Bell Turnover.,38,32
19:06,2473,Isaiah Brock Steal.,38,32
19:04,2473,Isaiah Brock Turnover.,38,32
19:03,270,Bryce Barnes Steal.,38,32
18:57,270,Jeremiah Bell missed Three Point Jumper.,38,32
18:57,2473,Oakland Defensive Rebound.,38,32
18:50,2473,Jalen Hayes missed Layup.,38,32
18:50,270,Bryce Nze Block.,38,32
18:48,2473,Nick Daniels Offensive Rebound.,38,32
18:46,2473,Martez Walker made Free Throw.,39,32
18:46,2473,Martez Walker made Free Throw.,40,32
18:46,2473,Martez Walker missed Free Throw.,40,32
18:46,270,Brett Prahl Defensive Rebound.,40,32
18:35,270,Brett Prahl missed Layup.,40,32
18:35,270,Brett Prahl Offensive Rebound.,40,32
18:32,270,Brett Prahl Turnover.,40,32
18:14,2473,Kendrick Nunn missed Three Point Jumper.,40,32
18:14,270,Bryce Barnes Defensive Rebound.,40,32
18:08,270,Bryce Nze made Layup. Assisted by Bryce Barnes.,40,34
18:05,2473,Foul on Kendrick Nunn.,40,34
18:05,270,Bryce Nze missed Free Throw.,40,34
18:05,2473,Kendrick Nunn Defensive Rebound.,40,34
17:43,2473,Martez Walker missed Three Point Jumper.,40,34
17:43,270,Brett Prahl Defensive Rebound.,40,34
17:28,270,Bryce Barnes Turnover.,40,34
17:28,2473,Jalen Hayes Steal.,40,34
17:02,2473,Kendrick Nunn made Three Point Jumper.,43,34
16:48,270,Milwaukee  Timeout,43,34
16:48,270,Official TV Timeout,43,34
16:29,270,August Haas missed Jumper.,43,34
16:29,2473,Isaiah Brock Block.,43,34
16:27,2473,Martez Walker Defensive Rebound.,43,34
16:13,2473,Jalen Hayes Turnover.,43,34
15:53,270,Bryce Nze missed Layup.,43,34
15:53,270,Bryce Nze Offensive Rebound.,43,34
15:50,270,Bryce Nze missed Layup.,43,34
15:50,2473,Isaiah Brock Defensive Rebound.,43,34
15:26,270,Foul on Brock Stull.,43,34
15:26,270,Official TV Timeout,43,34
15:26,2473,Jalen Hayes missed Free Throw.,43,34
15:26,2473,Oakland Deadball Team Rebound.,43,34
15:26,2473,Jalen Hayes made Free Throw.,44,34
15:15,270,Jeremiah Bell missed Jumper.,44,34
15:15,2473,Isaiah Brock Defensive Rebound.,44,34
