Utah,2483,Oregon,254
time,team_id,description,h_score,a_score
19:35,254,David Collette missed Jumper.,0,0
19:34,2483,Kenny Wooten Block.,0,0
19:33,2483,Kenny Wooten Defensive Rebound.,0,0
19:25,2483,Troy Brown made Layup.,0,2
19:05,254,Sedrick Barefield missed Three Point Jumper.,0,2
19:05,2483,Troy Brown Defensive Rebound.,0,2
18:36,2483,Mikyle McIntosh made Jumper.,0,4
18:25,254,David Collette missed Layup.,0,4
18:25,2483,Kenny Wooten Defensive Rebound.,0,4
18:15,254,Foul on Sedrick Barefield.,0,4
17:57,2483,Elijah Brown made Three Point Jumper.,0,7
17:38,254,Tyler Rawson made Three Point Jumper. Assisted by Justin Bibbins.,3,7
17:29,2483,Elijah Brown missed Three Point Jumper.,3,7
17:29,254,Justin Bibbins Defensive Rebound.,3,7
17:23,254,Tyler Rawson missed Three Point Jumper.,3,7
17:23,254,David Collette Offensive Rebound.,3,7
17:14,254,Gabe Bealer missed Jumper.,3,7
17:14,2483,Elijah Brown Defensive Rebound.,3,7
16:58,2483,Troy Brown made Jumper.,3,9
16:32,254,David Collette made Dunk. Assisted by Tyler Rawson.,5,9
16:20,2483,Elijah Brown missed Jumper.,5,9
16:20,254,Tyler Rawson Defensive Rebound.,5,9
16:02,254,David Collette missed Jumper.,5,9
16:02,2483,Kenny Wooten Block.,5,9
16:00,2483,Troy Brown Defensive Rebound.,5,9
15:35,2483,Payton Pritchard missed Layup.,5,9
15:35,254,Tyler Rawson Block.,5,9
15:35,2483,Oregon Offensive Rebound.,5,9
15:35,2483,Official TV Timeout,5,9
15:31,2483,Payton Pritchard missed Jumper.,5,9
15:31,254,Sedrick Barefield Defensive Rebound.,5,9
15:03,254,Tyler Rawson missed Three Point Jumper.,5,9
15:03,2483,Troy Brown Defensive Rebound.,5,9
14:53,254,Foul on Tyler Rawson.,5,9
14:53,2483,Mikyle McIntosh made Free Throw.,5,10
14:53,2483,Mikyle McIntosh missed Free Throw.,5,10
14:53,254,David Collette Defensive Rebound.,5,10
14:37,254,Parker Van Dyke missed Jumper.,5,10
14:37,2483,Payton Pritchard Defensive Rebound.,5,10
14:27,2483,Troy Brown missed Three Point Jumper.,5,10
14:27,254,Jayce Johnson Defensive Rebound.,5,10
14:09,254,Justin Bibbins made Three Point Jumper. Assisted by David Collette.,8,10
13:53,2483,Payton Pritchard missed Three Point Jumper.,8,10
13:53,254,Jayce Johnson Defensive Rebound.,8,10
13:21,254,Justin Bibbins missed Three Point Jumper.,8,10
13:21,2483,Elijah Brown Defensive Rebound.,8,10
12:59,2483,Elijah Brown made Three Point Jumper. Assisted by Payton Pritchard.,8,13
12:40,254,David Collette Turnover.,8,13
12:40,254,Foul on David Collette.,8,13
12:20,2483,Mikyle McIntosh made Layup. Assisted by Elijah Brown.,8,15
12:03,254,Gabe Bealer missed Layup.,8,15
12:03,2483,Keith Smith Defensive Rebound.,8,15
11:38,2483,Mikyle McIntosh made Three Point Jumper. Assisted by Elijah Brown.,8,18
11:10,254,Gabe Bealer missed Three Point Jumper.,8,18
11:10,2483,M.J. Cage Defensive Rebound.,8,18
10:45,2483,Mikyle McIntosh made Three Point Jumper. Assisted by Troy Brown.,8,21
10:44,254,Utah  Timeout,8,21
10:23,254,Sedrick Barefield made Three Point Jumper.,11,21
10:03,2483,Mikyle McIntosh Turnover.,11,21
10:02,254,Sedrick Barefield Steal.,11,21
10:00,2483,Foul on Mikyle McIntosh.,11,21
9:39,254,Sedrick Barefield made Three Point Jumper. Assisted by Tyler Rawson.,14,21
9:03,2483,Abu Kigab missed Layup.,14,21
9:03,254,Tyler Rawson Block.,14,21
9:01,2483,M.J. Cage Offensive Rebound.,14,21
9:00,2483,M.J. Cage missed Two Point Tip Shot.,14,21
