Iona,315,Niagara,314
time,team_id,description,h_score,a_score
19:40,315,Marvin Prochet missed Three Point Jumper.,0,0
19:40,315,Matt Scott Offensive Rebound.,0,0
19:37,315,Matt Scott made Jumper.,0,2
19:23,315,Foul on Kahlil Dukes.,0,2
19:23,314,Zach Lewis missed Free Throw.,0,2
19:23,314,Iona Deadball Team Rebound.,0,2
19:23,314,Zach Lewis missed Free Throw.,0,2
19:23,315,Matt Scott Defensive Rebound.,0,2
19:17,315,Kahlil Dukes made Jumper.,0,4
18:50,314,Rickey McGill missed Jumper.,0,4
18:50,314,TK Edogi Offensive Rebound.,0,4
18:45,314,TK Edogi missed Two Point Tip Shot.,0,4
18:45,315,Matt Scott Defensive Rebound.,0,4
18:38,315,Keleaf Tate missed Three Point Jumper.,0,4
18:38,314,TK Edogi Defensive Rebound.,0,4
18:26,314,TK Edogi made Layup.,2,4
18:04,315,Matt Scott missed Three Point Jumper.,2,4
18:04,314,Deyshonee Much Defensive Rebound.,2,4
17:42,315,Foul on Dominic Robb.,2,4
17:42,314,Deyshonee Much made Free Throw.,3,4
17:42,314,Deyshonee Much made Free Throw.,4,4
17:40,315,Kahlil Dukes Turnover.,4,4
17:26,314,Zach Lewis Turnover.,4,4
17:25,315,Keleaf Tate Steal.,4,4
17:19,315,Kahlil Dukes missed Jumper.,4,4
17:19,314,TK Edogi Defensive Rebound.,4,4
17:05,314,E.J. Crawford missed Jumper.,4,4
17:05,315,Kahlil Dukes Defensive Rebound.,4,4
16:57,314,Foul on TK Edogi.,4,4
16:57,315,Dominic Robb missed Free Throw.,4,4
16:57,315,Niagara Deadball Team Rebound.,4,4
16:57,315,Dominic Robb missed Free Throw.,4,4
16:57,314,TK Edogi Defensive Rebound.,4,4
16:39,314,Zach Lewis made Three Point Jumper. Assisted by Deyshonee Much.,7,4
16:21,315,Keleaf Tate missed Jumper.,7,4
16:21,315,Matt Scott Offensive Rebound.,7,4
16:18,315,Matt Scott missed Jumper.,7,4
16:18,314,E.J. Crawford Defensive Rebound.,7,4
16:04,314,E.J. Crawford made Layup.,9,4
15:48,315,Kahlil Dukes made Jumper.,9,6
15:42,315,Official TV Timeout,9,6
15:22,314,TK Edogi missed Layup.,9,6
15:22,315,Dominic Robb Defensive Rebound.,9,6
15:08,315,Dominic Robb made Jumper.,9,8
15:02,314,Zach Lewis missed Three Point Jumper.,9,8
15:02,315,Matt Scott Defensive Rebound.,9,8
14:44,315,Keleaf Tate missed Jumper.,9,8
14:44,314,Rickey McGill Defensive Rebound.,9,8
14:31,314,E.J. Crawford missed Jumper.,9,8
14:31,315,Marvin Prochet Defensive Rebound.,9,8
14:22,315,Matt Scott made Layup.,9,10
14:22,314,Foul on Rickey McGill.,9,10
14:22,315,Matt Scott made Free Throw.,9,11
14:09,314,Roland Griffin Turnover.,9,11
13:57,315,Marvin Prochet made Jumper. Assisted by Kahlil Dukes.,9,13
13:36,314,Roland Griffin missed Layup.,9,13
13:36,314,Jan Svandrlik Offensive Rebound.,9,13
13:20,314,Deyshonee Much missed Three Point Jumper.,9,13
13:20,315,Greg King Defensive Rebound.,9,13
13:10,315,Matt Scott missed Jumper.,9,13
13:10,314,Deyshonee Much Defensive Rebound.,9,13
13:03,314,Roland Griffin missed Jumper.,9,13
13:03,314,Schadrac Casimir Offensive Rebound.,9,13
12:44,314,Roland Griffin missed Layup.,9,13
12:44,314,Roland Griffin Offensive Rebound.,9,13
12:41,314,Roland Griffin made Layup.,11,13
12:28,315,Kevin Larkin missed Layup.,11,13
12:28,315,Matt Scott Offensive Rebound.,11,13
12:23,315,Matt Scott Turnover.,11,13
12:22,314,Deyshonee Much Steal.,11,13
12:14,315,Foul on Marvin Prochet.,11,13
12:09,314,Schadrac Casimir made Layup.,13,13
12:08,315,Foul on Kevin Larkin.,13,13
12:08,314,Schadrac Casimir made Free Throw.,14,13
11:59,315,Kahlil Dukes missed Three Point Jumper.,14,13
