American,2083,Bucknell,44
time,team_id,description,h_score,a_score
19:33,2083,Nana Foulland missed Jumper.,0,0
19:33,44,Larry Motuzis Defensive Rebound.,0,0
19:16,44,Larry Motuzis missed Layup.,0,0
19:16,2083,Nana Foulland Block.,0,0
19:15,2083,Jimmy Sotos Defensive Rebound.,0,0
19:15,44,Foul on Matt Cimino.,0,0
19:05,2083,Stephen Brown made Jumper.,0,2
18:41,44,Cheikh Diallo made Three Point Jumper. Assisted by Stacy Beckton.,3,2
18:24,2083,Nana Foulland made Dunk.,3,4
18:09,44,Stacy Beckton missed Jumper.,3,4
18:09,2083,Jimmy Sotos Defensive Rebound.,3,4
18:02,2083,Zach Thomas made Three Point Jumper. Assisted by Jimmy Sotos.,3,7
17:38,44,Matt Cimino Turnover.,3,7
17:23,2083,Zach Thomas Turnover.,3,7
17:21,44,Cheikh Diallo Steal.,3,7
16:58,44,Stacy Beckton missed Jumper.,3,7
16:58,2083,Bruce Moore Block.,3,7
16:57,2083,Bucknell Defensive Rebound.,3,7
16:43,2083,Zach Thomas made Jumper. Assisted by Stephen Brown.,3,9
16:29,44,Sam Iorio missed Three Point Jumper.,3,9
16:29,2083,Jimmy Sotos Defensive Rebound.,3,9
16:19,2083,Nana Foulland made Jumper. Assisted by Bruce Moore.,3,11
16:02,44,Matt Cimino Turnover.,3,11
16:01,2083,Zach Thomas Steal.,3,11
16:01,44,Foul on Cheikh Diallo.,3,11
15:45,2083,Zach Thomas Turnover.,3,11
15:44,44,Stacy Beckton Steal.,3,11
15:40,2083,Foul on Bruce Moore.,3,11
15:40,2083,Official TV Timeout,3,11
15:40,44,Stacy Beckton missed Free Throw.,3,11
15:40,44,American Deadball Team Rebound.,3,11
15:40,44,Stacy Beckton made Free Throw.,4,11
15:19,2083,John Meeks missed Three Point Jumper.,4,11
15:19,44,Cheikh Diallo Defensive Rebound.,4,11
15:02,44,Sam Iorio missed Three Point Jumper.,4,11
15:02,2083,Nate Jones Defensive Rebound.,4,11
14:50,2083,Zach Thomas Turnover.,4,11
14:49,44,Larry Motuzis Steal.,4,11
14:44,44,Stacy Beckton missed Dunk.,4,11
14:44,44,Larry Motuzis Offensive Rebound.,4,11
14:40,44,Larry Motuzis made Layup.,6,11
14:35,2083,Nate Jones missed Three Point Jumper.,6,11
14:35,44,Nick Macarchuk Defensive Rebound.,6,11
14:16,44,Cheikh Diallo missed Three Point Jumper.,6,11
14:16,2083,Zach Thomas Defensive Rebound.,6,11
13:45,2083,Foul on Zach Thomas.,6,11
13:45,2083,Zach Thomas Turnover.,6,11
13:26,44,Marvin Bragg missed Three Point Jumper.,6,11
