Jarvis Christian,Error,Prairie View A&amp;M,2504
time,team_id,description,h_score,a_score
19:57,-1,Eric Stewart made Three Point Jumper.,3,0
19:42,2504,Zachary Hamilton made Three Point Jumper. Assisted by Dennis Jones.,3,3
19:37,2504,Foul on Zachary Hamilton.,3,3
19:37,-1,Keegan Jones missed Free Throw.,3,3
19:37,-1,Jarvis Christian Deadball Team Rebound.,3,3
19:37,-1,Keegan Jones missed Free Throw.,3,3
19:37,2504,JD Wallace Defensive Rebound.,3,3
19:36,2504,Iwin Ellis Turnover.,3,3
19:36,-1,DeAndre Newton Steal.,3,3
19:26,-1,DeAndre Newton made Layup.,5,3
17:46,2504,Gary Blackston made Jumper.,5,5
17:33,-1,Eric Stewart missed Three Point Jumper.,5,5
17:33,2504,Dennis Jones Defensive Rebound.,5,5
17:20,2504,Gary Blackston made Three Point Jumper.,5,8
17:04,-1,Isaiah Lopez Turnover.,5,8
16:51,2504,Zachary Hamilton missed Three Point Jumper.,5,8
16:51,-1,Eric Stewart Defensive Rebound.,5,8
16:37,2504,Foul on Dennis Jones.,5,8
16:33,-1,Leonard Herring made Layup.,7,8
16:13,-1,Foul on Keegan Jones.,7,8
15:55,2504,Zachary Hamilton made Free Throw.,7,9
15:55,2504,Zachary Hamilton made Free Throw.,7,10
15:53,-1,Isaiah Lopez Turnover.,7,10
15:39,2504,Dennis Jones Steal.,7,10
15:37,2504,Gary Blackston made Layup. Assisted by Dennis Jones.,7,12
15:28,-1,Jarvis Christian  Turnover.,7,12
15:20,2504,Zachary Hamilton made Three Point Jumper. Assisted by Shaquille Preston.,7,15
15:20,-1,Foul on Sam Auguste.,7,15
15:08,-1,Sam Auguste missed Three Point Jumper.,7,15
15:08,2504,Dennis Jones Defensive Rebound.,7,15
14:57,2504,Gary Blackston made Three Point Jumper. Assisted by Dennis Jones.,7,18
14:42,-1,Jarvis Christian  Timeout,7,18
14:28,-1,Phillip Thompson made Three Point Jumper. Assisted by Chasten King.,10,18
14:11,2504,Shaquille Preston made Jumper.,10,20
14:02,-1,Foul on Phillip Thompson.,10,20
14:02,-1,Phillip Thompson Turnover.,10,20
13:55,-1,Keegan Jones Defensive Rebound.,10,20
13:55,2504,Dennis Jones missed Three Point Jumper.,10,20
13:30,-1,Keegan Jones Turnover.,10,20
13:29,2504,Zachary Hamilton missed Three Point Jumper.,10,20
13:29,2504,JD Wallace Offensive Rebound.,10,20
13:28,-1,Chasten King Turnover.,10,20
13:17,2504,JD Wallace Turnover.,10,20
13:15,2504,JD Wallace made Layup.,10,22
13:13,-1,Dion Malone Steal.,10,22
13:02,2504,Foul on Austin Starr.,10,22
12:41,-1,Chasten King missed Three Point Jumper.,10,22
12:41,-1,Letron Manning Offensive Rebound.,10,22
12:23,-1,Chasten King missed Three Point Jumper.,10,22
12:23,2504,Austin Starr Defensive Rebound.,10,22
12:11,2504,Shaquille Preston Turnover.,10,22
12:09,-1,Letron Manning Steal.,10,22
12:05,-1,Letron Manning made Layup.,12,22
11:46,2504,Dennis Jones Turnover.,12,22
11:43,2504,Foul on Dennis Jones.,12,22
11:37,-1,Jarvis Christian  Timeout,12,22
11:29,2504,Foul on Austin Starr.,12,22
11:25,-1,Sam Auguste made Three Point Jumper. Assisted by Isaiah Lopez.,15,22
11:14,-1,Foul on Jawuan Williams.,15,22
11:14,2504,JD Wallace made Free Throw.,15,23
11:14,2504,JD Wallace missed Free Throw.,15,23
11:14,-1,Jawuan Williams Defensive Rebound.,15,23
11:14,-1,Chasten King made Layup. Assisted by Sam Auguste.,17,23
10:49,2504,Gary Blackston made Jumper.,17,25
10:29,-1,Letron Manning Turnover.,17,25
10:26,2504,Austin Starr Steal.,17,25
10:20,2504,JD Wallace made Layup. Assisted by Austin Starr.,17,27
10:04,2504,Foul on Iwin Ellis.,17,27
10:01,-1,Letron Manning missed Free Throw.,17,27
10:01,-1,Jarvis Christian Deadball Team Rebound.,17,27
10:01,-1,Letron Manning made Free Throw.,18,27
9:53,2504,Zachary Hamilton made Layup. Assisted by Juan Hood.,18,29
9:53,-1,Foul on Jawuan Williams.,18,29
9:53,2504,Zachary Hamilton made Free Throw.,18,30
9:27,-1,Letron Manning made Layup.,20,30
9:21,2504,Zachary Hamilton missed Three Point Jumper.,20,30
9:21,-1,Roderick Johnson Defensive Rebound.,20,30
9:12,-1,Christian Miller missed Layup.,20,30
9:12,2504,Austin Starr Defensive Rebound.,20,30
8:59,-1,Foul on Letron Manning.,20,30
8:58,2504,Shaquille Preston made Free Throw.,20,31
8:58,2504,Shaquille Preston missed Free Throw.,20,31
8:58,-1,Letron Manning Defensive Rebound.,20,31
8:48,2504,Foul on Shaquille Preston.,20,31
8:45,-1,Christian Miller made Free Throw.,21,31
8:45,-1,Christian Miller made Free Throw.,22,31
8:25,2504,Dennis Jones made Three Point Jumper. Assisted by Shaquille Preston.,22,34
8:08,-1,Eric Stewart Turnover.,22,34
8:03,2504,Iwin Ellis Steal.,22,34
8:02,-1,Foul on Roderick Johnson.,22,34
8:02,2504,JD Wallace missed Free Throw.,22,34
8:02,-1,Letron Manning Defensive Rebound.,22,34
7:56,2504,Foul on Shaquille Preston.,22,34
7:53,-1,Jarvis Christian  Timeout,22,34
7:53,-1,Phillip Thompson missed Free Throw.,22,34
7:53,-1,Jarvis Christian Deadball Team Rebound.,22,34
7:53,-1,Phillip Thompson made Free Throw.,23,34
7:37,2504,Dennis Jones made Three Point Jumper. Assisted by JD Wallace.,23,37
7:25,-1,Chasten King missed Layup.,23,37
7:25,2504,JD Wallace Block.,23,37
7:21,2504,JD Wallace Defensive Rebound.,23,37
7:16,2504,Austin Starr missed Layup.,23,37
7:16,-1,Sam Auguste Defensive Rebound.,23,37
7:09,2504,JD Wallace Turnover.,23,37
7:07,2504,Gary Blackston Steal.,23,37
7:04,2504,Gary Blackston made Layup.,23,39
6:42,-1,Sam Auguste missed Three Point Jumper.,23,39
6:42,2504,Dennis Jones Defensive Rebound.,23,39
6:35,2504,Dennis Jones Turnover.,23,39
6:30,-1,Sam Auguste Steal.,23,39
6:24,-1,Sam Auguste Turnover.,23,39
6:20,2504,Dennis Jones missed Three Point Jumper.,23,39
6:20,-1,Keegan Jones Defensive Rebound.,23,39
5:54,-1,Sam Auguste made Three Point Jumper. Assisted by Leonard Herring.,26,39
5:28,2504,Zachary Hamilton made Three Point Jumper. Assisted by Gary Blackston.,26,42
5:16,-1,Sam Auguste Turnover.,26,42
5:13,2504,Dennis Jones Steal.,26,42
5:08,2504,Zachary Hamilton made Three Point Jumper. Assisted by Dennis Jones.,26,45
5:05,-1,Jarvis Christian  Timeout,26,45
4:58,-1,Foul on Leonard Herring.,26,45
4:58,-1,Leonard Herring Turnover.,26,45
4:44,2504,Gary Blackston missed Three Point Jumper.,26,45
4:44,-1,DeAndre Newton Defensive Rebound.,26,45
4:35,2504,Foul on Keion Alexander.,26,45
4:32,-1,Keegan Jones made Free Throw.,27,45
4:32,-1,Keegan Jones made Free Throw.,28,45
4:16,2504,Zachary Hamilton made Jumper. Assisted by Gary Blackston.,28,47
4:07,-1,Tyler Bell Turnover.,28,47
4:02,2504,Gary Blackston Steal.,28,47
3:59,2504,Gary Blackston made Layup.,28,49
3:40,-1,Eric Stewart Turnover.,28,49
3:36,2504,Zachary Hamilton Steal.,28,49
3:33,2504,Zachary Hamilton Turnover.,28,49
3:30,-1,Tyler Bell Steal.,28,49
3:26,-1,Tyler Bell made Layup.,30,49
3:23,2504,Prairie View A&M  Timeout,30,49
3:23,-1,Foul on Leonard Herring.,30,49
3:23,2504,Keion Alexander made Free Throw.,30,50
3:23,2504,Keion Alexander missed Free Throw.,30,50
3:23,-1,Tyler Bell Defensive Rebound.,30,50
3:20,-1,DeAndre Newton missed Layup.,30,50
3:20,2504,Gary Blackston Defensive Rebound.,30,50
3:06,2504,Dennis Jones missed Layup.,30,50
3:06,-1,Nick Palmer Defensive Rebound.,30,50
3:00,-1,Nick Palmer missed Layup.,30,50
3:00,2504,Zachary Hamilton Defensive Rebound.,30,50
2:54,2504,Gary Blackston made Layup. Assisted by Dennis Jones.,30,52
2:33,-1,Jarvis Christian  Turnover.,30,52
2:27,2504,Dennis Jones missed Jumper.,30,52
2:27,2504,JD Wallace Offensive Rebound.,30,52
2:14,2504,JD Wallace made Two Point Tip Shot.,30,54
1:53,-1,Jarvis Christian  Turnover.,30,54
1:50,2504,JD Wallace made Layup. Assisted by Dennis Jones.,30,56
1:41,-1,DeAndre Newton made Layup.,32,56
1:33,2504,Dennis Jones Turnover.,32,56
1:29,-1,Eric Stewart Turnover.,32,56
1:17,2504,JD Wallace Turnover.,32,56
1:04,-1,Foul on Eric Stewart.,32,56
0:54,-1,Chasten King missed Three Point Jumper.,32,56
0:54,-1,Jarvis Christian Offensive Rebound.,32,56
0:32,-1,Isaiah Lopez Turnover.,32,56
0:07,-1,Foul on Juwan Butler-Stevens.,32,56
0:07,2504,Zachary Hamilton made Free Throw.,32,57
0:07,2504,Zachary Hamilton made Free Throw.,32,58
0:07,2504,Zachary Hamilton made Free Throw.,32,59
0:00,2504,End of 1st half,32,59
19:53,2504,Iwin Ellis made Dunk. Assisted by Dennis Jones.,32,61
19:38,-1,Keegan Jones missed Layup.,32,61
19:38,2504,Zachary Hamilton Defensive Rebound.,32,61
19:33,2504,Iwin Ellis made Dunk. Assisted by Dennis Jones.,32,63
19:11,-1,Leonard Herring missed Three Point Jumper.,32,63
19:11,-1,Chasten King Offensive Rebound.,32,63
19:00,-1,Chasten King missed Three Point Jumper.,32,63
19:00,2504,JD Wallace Defensive Rebound.,32,63
18:53,2504,Gary Blackston made Layup. Assisted by Zachary Hamilton.,32,65
18:42,-1,Jarvis Christian  Timeout,32,65
18:36,-1,Leonard Herring missed Dunk.,32,65
18:36,2504,JD Wallace Defensive Rebound.,32,65
18:25,-1,Foul on Isaiah Lopez.,32,65
18:23,2504,JD Wallace missed Free Throw.,32,65
18:23,2504,Prairie View A&M Deadball Team Rebound.,32,65
18:23,2504,JD Wallace made Free Throw.,32,66
18:07,2504,JD Wallace Defensive Rebound.,32,66
18:07,-1,Leonard Herring missed Jumper.,32,66
18:01,2504,JD Wallace Turnover.,32,66
17:55,-1,Jawuan Williams Steal.,32,66
17:52,-1,Chasten King made Layup.,34,66
17:04,2504,Dennis Jones made Layup.,34,68
16:56,2504,Gary Blackston made Jumper. Assisted by Dennis Jones.,34,70
16:56,2504,Foul on Gary Blackston.,34,70
16:56,-1,Isaiah Lopez missed Free Throw.,34,70
16:56,-1,Jarvis Christian Deadball Team Rebound.,34,70
16:56,-1,Isaiah Lopez made Free Throw.,35,70
16:42,2504,Iwin Ellis made Dunk. Assisted by Zachary Hamilton.,35,72
16:26,2504,Foul on Gary Blackston.,35,72
16:25,-1,Isaiah Lopez made Free Throw.,36,72
16:25,-1,Isaiah Lopez made Free Throw.,37,72
16:24,2504,Zachary Hamilton missed Three Point Jumper.,37,72
16:24,2504,JD Wallace Offensive Rebound.,37,72
16:18,-1,Foul on Keegan Jones.,37,72
16:14,2504,Dennis Jones missed Jumper.,37,72
16:12,2504,Iwin Ellis Offensive Rebound.,37,72
16:03,2504,Iwin Ellis made Layup.,37,74
15:49,-1,Foul on Letron Manning.,37,74
15:49,-1,Letron Manning Turnover.,37,74
15:34,2504,Zachary Hamilton made Three Point Jumper. Assisted by Dennis Jones.,37,77
15:17,-1,Isaiah Lopez made Layup.,39,77
15:02,2504,Gary Blackston Turnover.,39,77
14:52,-1,Leonard Herring missed Three Point Jumper.,39,77
14:52,2504,JD Wallace Defensive Rebound.,39,77
14:39,2504,Iwin Ellis made Layup.,39,79
14:25,-1,Isaiah Lopez made Jumper.,41,79
14:08,2504,JD Wallace missed Jumper.,41,79
14:08,2504,Iwin Ellis Offensive Rebound.,41,79
14:03,2504,Iwin Ellis missed Dunk.,41,79
14:03,-1,Sam Auguste Defensive Rebound.,41,79
13:54,-1,Isaiah Lopez made Jumper.,43,79
13:40,2504,JD Wallace missed Three Point Jumper.,43,79
13:40,-1,Jawuan Williams Defensive Rebound.,43,79
13:32,-1,Dion Malone made Three Point Jumper.,46,79
13:20,2504,Prairie View A&M  Timeout,46,79
13:00,2504,Jordan Lumpkins missed Jumper.,46,79
13:00,-1,Jawuan Williams Defensive Rebound.,46,79
12:44,-1,Dion Malone missed Three Point Jumper.,46,79
12:44,2504,Austin Starr Defensive Rebound.,46,79
12:23,2504,Shaquille Preston missed Three Point Jumper.,46,79
12:23,-1,Jarvis Christian Defensive Rebound.,46,79
12:19,2504,Foul on Jordan Lumpkins.,46,79
12:14,-1,Dion Malone Turnover.,46,79
12:11,2504,Jordan Lumpkins Steal.,46,79
12:09,2504,Jordan Lumpkins made Layup.,46,81
11:54,2504,Official TV Timeout,46,81
11:53,-1,Eric Stewart Turnover.,46,81
11:37,2504,Keion Alexander made Jumper.,46,83
11:20,-1,Dion Malone made Jumper.,48,83
11:08,2504,Juan Hood missed Jumper.,48,83
11:08,-1,Isaiah Lopez Defensive Rebound.,48,83
10:44,-1,Dion Malone missed Three Point Jumper.,48,83
10:44,2504,Shaquille Preston Defensive Rebound.,48,83
10:34,2504,Austin Starr missed Three Point Jumper.,48,83
10:34,2504,Keion Alexander Offensive Rebound.,48,83
10:23,2504,Keion Alexander Turnover.,48,83
10:12,-1,Lee Lincoln missed Three Point Jumper.,48,83
10:12,2504,Austin Starr Defensive Rebound.,48,83
10:03,2504,Shaquille Preston missed Jumper.,48,83
10:03,-1,Jarvis Christian Defensive Rebound.,48,83
9:54,-1,Isaiah Lopez Turnover.,48,83
9:51,2504,Shaquille Preston Steal.,48,83
9:49,2504,Shaquille Preston made Dunk.,48,85
9:34,2504,Foul on Keion Alexander.,48,85
9:32,-1,Lee Lincoln made Free Throw.,49,85
