Georgia Tech,87,Notre Dame,59
time,team_id,description,h_score,a_score
19:37,59,Ben Lammers missed Jumper.,0,0
19:37,87,Rex Pflueger Defensive Rebound.,0,0
19:17,87,Bonzie Colson Turnover.,0,0
19:16,59,Abdoulaye Gueye Steal.,0,0
18:57,59,Ben Lammers missed Jumper.,0,0
18:57,87,Rex Pflueger Defensive Rebound.,0,0
18:35,87,Matt Farrell missed Layup.,0,0
18:35,59,Josh Okogie Defensive Rebound.,0,0
18:19,59,Jose Alvarado Turnover.,0,0
18:19,87,Rex Pflueger Steal.,0,0
18:02,87,Bonzie Colson missed Jumper.,0,0
18:02,59,Josh Okogie Defensive Rebound.,0,0
17:38,59,Ben Lammers made Jumper.,2,0
17:19,87,TJ Gibbs made Three Point Jumper. Assisted by Matt Farrell.,2,3
17:02,59,Josh Okogie made Three Point Jumper.,5,3
16:45,87,Bonzie Colson made Layup. Assisted by TJ Gibbs.,5,5
16:30,59,Ben Lammers made Jumper. Assisted by Brandon Alston.,7,5
16:25,87,Martinas Geben Turnover.,7,5
16:23,59,Jose Alvarado Steal.,7,5
16:20,59,Brandon Alston made Jumper.,9,5
16:05,87,Bonzie Colson missed Jumper.,9,5
16:05,59,Ben Lammers Defensive Rebound.,9,5
15:33,59,Ben Lammers missed Jumper.,9,5
15:33,87,Notre Dame Defensive Rebound.,9,5
15:31,87,Official TV Timeout,9,5
15:13,87,Martinas Geben missed Jumper.,9,5
15:13,59,Josh Okogie Defensive Rebound.,9,5
14:51,59,Ben Lammers missed Jumper.,9,5
14:51,87,Matt Farrell Defensive Rebound.,9,5
14:36,87,Martinas Geben missed Jumper.,9,5
14:36,59,Georgia Tech Defensive Rebound.,9,5
14:17,59,Abdoulaye Gueye Turnover.,9,5
14:04,87,Bonzie Colson made Jumper.,9,7
13:45,59,Jose Alvarado missed Three Point Jumper.,9,7
13:45,87,Bonzie Colson Defensive Rebound.,9,7
13:35,87,Rex Pflueger missed Three Point Jumper.,9,7
13:35,59,Brandon Alston Defensive Rebound.,9,7
13:28,59,Brandon Alston missed Layup.,9,7
13:28,59,Abdoulaye Gueye Offensive Rebound.,9,7
13:24,59,Abdoulaye Gueye missed Two Point Tip Shot.,9,7
13:24,59,Ben Lammers Offensive Rebound.,9,7
13:21,59,Ben Lammers missed Layup.,9,7
13:21,59,Ben Lammers Offensive Rebound.,9,7
13:18,59,Ben Lammers missed Layup.,9,7
13:18,87,John Mooney Defensive Rebound.,9,7
13:09,87,Matt Farrell Turnover.,9,7
