South Carolina,145,Ole Miss,2579
time,team_id,description,h_score,a_score
19:49,145,Markel Crawford missed Jumper.,0,0
19:49,2579,Justin Minaya Block.,0,0
19:45,2579,Justin Minaya Defensive Rebound.,0,0
19:26,2579,Chris Silva missed Jumper.,0,0
19:26,2579,South Carolina Offensive Rebound.,0,0
19:16,2579,Justin Minaya made Jumper. Assisted by Wesley Myers.,2,0
19:00,145,Justas Furmanavicius missed Jumper.,2,0
19:00,2579,South Carolina Defensive Rebound.,2,0
18:30,2579,Maik Kotsar missed Jumper.,2,0
18:30,145,Dominik Olejniczak Block.,2,0
18:27,145,Deandre Burnett Defensive Rebound.,2,0
18:21,2579,Foul on Wesley Myers.,2,0
18:21,145,Deandre Burnett missed Free Throw.,2,0
18:21,145,Ole Miss Deadball Team Rebound.,2,0
18:21,145,Deandre Burnett missed Free Throw.,2,0
18:21,2579,Chris Silva Defensive Rebound.,2,0
18:05,145,Foul on Dominik Olejniczak.,2,0
18:01,145,Foul on Markel Crawford.,2,0
18:01,2579,Wesley Myers made Free Throw.,3,0
18:01,2579,Wesley Myers missed Free Throw.,3,0
18:01,145,Ole Miss Defensive Rebound.,3,0
17:47,145,Markel Crawford made Three Point Jumper. Assisted by Deandre Burnett.,3,3
17:21,2579,Frank Booker made Three Point Jumper. Assisted by Chris Silva.,6,3
17:02,145,Markel Crawford made Three Point Jumper. Assisted by Deandre Burnett.,6,6
16:41,2579,Maik Kotsar Turnover.,6,6
16:40,145,Devontae Shuler Steal.,6,6
16:34,145,Markel Crawford missed Three Point Jumper.,6,6
16:34,2579,Frank Booker Defensive Rebound.,6,6
16:10,2579,Maik Kotsar missed Jumper.,6,6
16:10,2579,Justin Minaya Offensive Rebound.,6,6
16:07,2579,Justin Minaya made Jumper.,8,6
15:44,145,Deandre Burnett missed Jumper.,8,6
15:44,2579,Justin Minaya Defensive Rebound.,8,6
15:33,2579,Chris Silva made Layup. Assisted by Justin Minaya.,10,6
15:32,145,Foul on Markel Crawford.,10,6
15:32,145,Official TV Timeout,10,6
15:32,2579,Chris Silva made Free Throw.,11,6
15:25,145,Devontae Shuler missed Three Point Jumper.,11,6
15:25,2579,Felipe Haase Defensive Rebound.,11,6
14:55,2579,Felipe Haase made Jumper. Assisted by Justin Minaya.,13,6
14:41,145,Breein Tyree missed Three Point Jumper.,13,6
14:41,2579,David Beatty Defensive Rebound.,13,6
14:28,2579,Wesley Myers Turnover.,13,6
14:05,145,Breein Tyree missed Jumper.,13,6
14:05,145,Marcanvis Hymon Offensive Rebound.,13,6
13:58,145,Ole Miss  Turnover.,13,6
13:40,145,Foul on Terence Davis.,13,6
13:27,2579,Wesley Myers missed Layup.,13,6
13:27,145,Breein Tyree Defensive Rebound.,13,6
13:19,145,Deandre Burnett missed Three Point Jumper.,13,6
13:19,2579,Felipe Haase Defensive Rebound.,13,6
