St. John's,2550,Seton Hall,2599
time,team_id,description,h_score,a_score
20:00,2550,Jump Ball won by Seton Hall,0,0
19:46,2550,Desi Rodriguez missed Jumper.,0,0
19:46,2550,Angel Delgado Offensive Rebound.,0,0
19:38,2550,Desi Rodriguez missed Three Point Jumper.,0,0
19:38,2599,Kassoum Yakwe Defensive Rebound.,0,0
19:19,2599,Bashir Ahmed missed Jumper.,0,0
19:19,2550,Michael Nzei Defensive Rebound.,0,0
19:03,2550,Angel Delgado missed Jumper.,0,0
19:03,2599,Tariq Owens Block.,0,0
19:03,2599,Bashir Ahmed Defensive Rebound.,0,0
18:41,2599,Tariq Owens made Jumper. Assisted by Justin Simon.,2,0
18:24,2550,Desi Rodriguez missed Layup.,2,0
18:24,2599,Tariq Owens Block.,2,0
18:24,2599,Kassoum Yakwe Defensive Rebound.,2,0
18:06,2599,Tariq Owens made Layup. Assisted by Kassoum Yakwe.,4,0
17:41,2550,Khadeen Carrington made Three Point Jumper. Assisted by Angel Delgado.,4,3
17:19,2599,Marvin Clark II missed Three Point Jumper.,4,3
17:19,2550,Desi Rodriguez Defensive Rebound.,4,3
17:01,2550,Khadeen Carrington missed Three Point Jumper.,4,3
17:01,2550,Michael Nzei Offensive Rebound.,4,3
16:54,2550,Myles Powell made Jumper. Assisted by Desi Rodriguez.,4,5
16:28,2599,Kassoum Yakwe Turnover.,4,5
16:28,2599,Foul on Kassoum Yakwe.,4,5
16:21,2599,Foul on Marvin Clark II.,4,5
16:11,2550,Angel Delgado Turnover.,4,5
15:48,2599,Bashir Ahmed missed Jumper.,4,5
15:48,2550,Michael Nzei Defensive Rebound.,4,5
15:36,2550,Angel Delgado Turnover.,4,5
15:36,2599,Bashir Ahmed Steal.,4,5
15:32,2550,Foul on Myles Powell.,4,5
15:32,2550,Official TV Timeout,4,5
15:32,2599,Marvin Clark II made Free Throw.,5,5
15:32,2599,Marvin Clark II made Free Throw.,6,5
15:23,2550,Desi Rodriguez Turnover.,6,5
15:23,2599,Justin Simon Steal.,6,5
15:18,2599,Bashir Ahmed missed Dunk.,6,5
15:18,2599,Kassoum Yakwe Offensive Rebound.,6,5
15:05,2599,Justin Simon missed Jumper.,6,5
15:05,2599,Tariq Owens Offensive Rebound.,6,5
15:05,2599,Tariq Owens Turnover.,6,5
14:40,2550,Khadeen Carrington Turnover.,6,5
14:40,2599,Bashir Ahmed Steal.,6,5
14:33,2599,Tariq Owens made Dunk. Assisted by Justin Simon.,8,5
14:22,2550,Angel Delgado missed Jumper.,8,5
14:22,2599,Kassoum Yakwe Block.,8,5
14:22,2550,Seton Hall Offensive Rebound.,8,5
14:03,2550,Eron Gordon missed Three Point Jumper.,8,5
14:03,2550,Angel Delgado Offensive Rebound.,8,5
13:56,2550,Angel Delgado missed Jumper.,8,5
13:56,2550,Angel Delgado Offensive Rebound.,8,5
13:48,2550,Angel Delgado Turnover.,8,5
13:48,2599,Justin Simon Steal.,8,5
13:46,2599,Justin Simon missed Layup.,8,5
13:46,2599,Tariq Owens Offensive Rebound.,8,5
13:46,2550,Foul on Eron Gordon.,8,5
13:26,2599,Tariq Owens made Three Point Jumper. Assisted by Justin Simon.,11,5
13:09,2550,Jordan Walker missed Three Point Jumper.,11,5
13:09,2599,Justin Simon Defensive Rebound.,11,5
12:54,2599,Bashir Ahmed made Three Point Jumper. Assisted by Justin Simon.,14,5
12:52,2550,Seton Hall  Timeout,14,5
12:35,2550,Myles Powell made Three Point Jumper. Assisted by Khadeen Carrington.,14,8
12:13,2599,Bashir Ahmed missed Three Point Jumper.,14,8
12:13,2550,Ismael Sanogo Defensive Rebound.,14,8
12:02,2550,Desi Rodriguez made Three Point Jumper. Assisted by Ismael Sanogo.,14,11
11:35,2599,Kassoum Yakwe missed Jumper.,14,11
11:35,2550,Ismael Sanogo Defensive Rebound.,14,11
11:28,2550,Myles Powell made Three Point Jumper. Assisted by Sandro Mamukelashvili.,14,14
11:25,2599,St. John's  Timeout,14,14
11:25,2550,Official TV Timeout,14,14
10:59,2599,Justin Simon missed Layup.,14,14
10:59,2599,Justin Simon Offensive Rebound.,14,14
10:51,2599,Justin Simon missed Jumper.,14,14
10:51,2599,Tariq Owens Offensive Rebound.,14,14
10:44,2599,Tariq Owens missed Layup.,14,14
10:44,2550,Sandro Mamukelashvili Defensive Rebound.,14,14
10:38,2550,Desi Rodriguez made Jumper.,14,16
10:31,2599,Marvin Clark II Turnover.,14,16
10:31,2550,Ismael Sanogo Steal.,14,16
10:31,2550,Ismael Sanogo missed Layup.,14,16
10:31,2550,Khadeen Carrington Offensive Rebound.,14,16
10:31,2599,Foul on Bashir Ahmed.,14,16
10:23,2550,Khadeen Carrington missed Three Point Jumper.,14,16
10:23,2599,Marvin Clark II Defensive Rebound.,14,16
10:09,2599,Tariq Owens made Layup. Assisted by Justin Simon.,16,16
10:00,2550,Myles Powell made Three Point Jumper. Assisted by Ismael Sanogo.,16,19
9:38,2599,Bashir Ahmed made Jumper.,18,19
9:18,2550,Desi Rodriguez made Three Point Jumper. Assisted by Myles Powell.,18,22
9:07,2599,Marvin Clark II Turnover.,18,22
9:07,2550,Myles Powell Steal.,18,22
9:03,2550,Ismael Sanogo Turnover.,18,22
8:42,2599,Bashir Ahmed made Three Point Jumper.,21,22
8:29,2599,Foul on Amar Alibegovic.,21,22
8:27,2550,Desi Rodriguez missed Jumper.,21,22
