Fairleigh Dickinson,2529,Sacred Heart,161
time,team_id,description,h_score,a_score
19:27,2529,Joseph Lopez missed Jumper.,0,0
19:27,161,Noah Morgan Defensive Rebound.,0,0
19:03,161,Darian Anderson missed Three Point Jumper.,0,0
19:03,2529,Joseph Lopez Defensive Rebound.,0,0
18:54,2529,Mario Matasovic made Layup.,0,2
18:31,2529,Foul on Joseph Lopez.,0,2
18:31,161,Mike Holloway Jr. made Layup.,2,2
18:31,161,Mike Holloway Jr. missed Free Throw.,2,2
18:31,2529,Sean Hoehn Defensive Rebound.,2,2
18:18,2529,Joseph Lopez made Layup. Assisted by Charles Tucker Jr..,2,4
18:08,161,Darian Anderson made Jumper.,4,4
17:50,2529,Joseph Lopez made Layup.,4,6
17:20,161,Darian Anderson missed Jumper.,4,6
17:20,2529,Kinnon LaRose Defensive Rebound.,4,6
17:04,2529,Mario Matasovic missed Layup.,4,6
17:04,161,Noah Morgan Block.,4,6
17:01,161,Jahlil Jenkins Defensive Rebound.,4,6
16:57,161,Jahlil Jenkins missed Layup.,4,6
16:57,2529,Sean Hoehn Block.,4,6
16:55,2529,Charles Tucker Jr. Defensive Rebound.,4,6
16:48,2529,Joseph Lopez made Layup. Assisted by Charles Tucker Jr..,4,8
16:28,161,Darnell Edge made Jumper.,6,8
16:20,2529,Charles Tucker Jr. Turnover.,6,8
16:19,161,Darnell Edge Steal.,6,8
16:05,161,Mike Holloway Jr. missed Three Point Jumper.,6,8
16:05,2529,Joseph Lopez Defensive Rebound.,6,8
15:55,2529,Kinnon LaRose made Three Point Jumper. Assisted by Charles Tucker Jr..,6,11
15:32,161,Mike Holloway Jr. missed Layup.,6,11
15:32,2529,Joseph Lopez Block.,6,11
15:30,2529,Charles Tucker Jr. Defensive Rebound.,6,11
15:27,161,Foul on Darian Anderson.,6,11
15:27,2529,Official TV Timeout,6,11
15:04,2529,De'von Barnett Turnover.,6,11
14:50,2529,Foul on De'von Barnett.,6,11
14:50,161,Noah Morgan made Free Throw.,7,11
14:50,161,Noah Morgan made Free Throw.,8,11
14:41,2529,E.J. Anosike Turnover.,8,11
14:40,161,Darian Anderson Steal.,8,11
14:31,161,Mike Holloway Jr. missed Layup.,8,11
14:31,2529,Zach Radz Block.,8,11
14:29,2529,De'von Barnett Defensive Rebound.,8,11
14:19,2529,Kinnon LaRose missed Three Point Jumper.,8,11
14:19,161,Darnell Edge Defensive Rebound.,8,11
14:01,161,Jahlil Jenkins missed Three Point Jumper.,8,11
14:01,2529,Sean Hoehn Defensive Rebound.,8,11
13:37,2529,E.J. Anosike missed Jumper.,8,11
13:37,161,Noah Morgan Defensive Rebound.,8,11
13:26,161,Darian Anderson made Layup.,10,11
13:12,2529,De'von Barnett missed Layup.,10,11
13:12,2529,Alex Watson Offensive Rebound.,10,11
12:54,2529,De'von Barnett made Dunk. Assisted by E.J. Anosike.,10,13
12:38,161,Darnell Edge missed Three Point Jumper.,10,13
12:38,2529,E.J. Anosike Defensive Rebound.,10,13
12:19,2529,Alex Watson missed Three Point Jumper.,10,13
12:19,161,Noah Morgan Defensive Rebound.,10,13
12:15,2529,Foul on De'von Barnett.,10,13
11:56,161,Mike Holloway Jr. missed Jumper.,10,13
11:56,2529,E.J. Anosike Block.,10,13
11:53,2529,Alex Watson Defensive Rebound.,10,13
11:50,2529,Alex Watson missed Layup.,10,13
11:50,161,Elyjah Williams Block.,10,13
