Randall University,Error,Abilene Christian,2000
time,team_id,description,h_score,a_score
19:46,2000,Jalone Friday missed Jumper.,0,0
19:46,-1,Brad Ficken Defensive Rebound.,0,0
19:19,-1,Ben Collier missed Three Point Jumper.,0,0
19:19,2000,Tevin Foster Defensive Rebound.,0,0
19:12,2000,Jaylen Franklin missed Jumper.,0,0
19:12,-1,Isaac Bowles Defensive Rebound.,0,0
19:01,-1,Kashus Lyons missed Jumper.,0,0
19:01,-1,Xavier Hunter Offensive Rebound.,0,0
18:55,-1,Xavier Hunter missed Jumper.,0,0
18:55,2000,Jalone Friday Defensive Rebound.,0,0
18:52,-1,Foul on Isaac Bowles.,0,0
18:42,2000,Jalone Friday made Jumper. Assisted by Jaylen Franklin.,0,2
18:21,2000,Foul on Jaren Lewis.,0,2
18:18,-1,Brad Ficken Turnover.,0,2
18:16,2000,Jaylen Franklin Steal.,0,2
18:13,2000,Jaylen Franklin made Dunk. Assisted by Tevin Foster.,0,4
17:57,2000,Foul on Tevin Foster.,0,4
17:52,-1,Brad Ficken missed Jumper.,0,4
17:52,2000,Jalone Friday Defensive Rebound.,0,4
17:36,2000,Jalone Friday missed Three Point Jumper.,0,4
17:36,-1,Brad Ficken Defensive Rebound.,0,4
17:14,-1,Brad Ficken Turnover.,0,4
17:12,2000,Drake Green Steal.,0,4
17:09,2000,B.J. Maxwell made Layup.,0,6
17:06,-1,Foul on Kashus Lyons.,0,6
17:06,2000,B.J. Maxwell made Free Throw.,0,7
16:57,-1,Ben Collier missed Three Point Jumper.,0,7
16:57,-1,Kashus Lyons Offensive Rebound.,0,7
16:42,-1,Xavier Hunter missed Three Point Jumper.,0,7
16:42,2000,Jaren Lewis Defensive Rebound.,0,7
16:33,2000,Drake Green missed Three Point Jumper.,0,7
16:33,2000,Jaren Lewis Offensive Rebound.,0,7
16:28,2000,Jaren Lewis Turnover.,0,7
16:16,-1,Xavier Hunter Turnover.,0,7
16:15,2000,B.J. Maxwell Steal.,0,7
16:11,2000,Jaylen Franklin Turnover.,0,7
15:58,2000,Official TV Timeout,0,7
15:53,-1,Jordan Downs missed Jumper.,0,7
15:53,2000,Tevin Foster Defensive Rebound.,0,7
15:39,2000,Tevin Foster missed Three Point Jumper.,0,7
15:39,-1,Brandon Askew Defensive Rebound.,0,7
15:17,-1,Antonio Wilson missed Jumper.,0,7
15:17,2000,Tevin Foster Defensive Rebound.,0,7
14:54,2000,Hayden Howell missed Jumper.,0,7
14:54,-1,Isaac Bowles Defensive Rebound.,0,7
14:46,-1,Brandon Askew missed Three Point Jumper.,0,7
14:46,2000,Abilene Christian Defensive Rebound.,0,7
14:31,2000,Isaiah Tripp missed Layup.,0,7
14:31,2000,Hayden Farquhar Offensive Rebound.,0,7
14:29,2000,Hayden Farquhar made Jumper.,0,9
14:26,-1,Foul on Jordan Downs.,0,9
14:26,2000,Hayden Farquhar made Free Throw.,0,10
14:19,2000,Foul on Isaiah Tripp.,0,10
14:13,-1,Kashus Lyons missed Three Point Jumper.,0,10
14:13,-1,Antonio Wilson Offensive Rebound.,0,10
13:59,-1,Kashus Lyons missed Three Point Jumper.,0,10
13:59,-1,Isaac Bowles Offensive Rebound.,0,10
13:55,-1,Isaac Bowles missed Jumper.,0,10
13:55,-1,Kashus Lyons Offensive Rebound.,0,10
13:54,2000,Foul on Hayden Howell.,0,10
13:41,-1,Antonio Wilson made Jumper. Assisted by Brandon Askew.,2,10
13:20,2000,Hayden Howell missed Jumper.,2,10
13:20,-1,Isaac Bowles Block.,2,10
13:19,-1,Dante Lewis Defensive Rebound.,2,10
13:12,-1,Antonio Wilson made Three Point Jumper. Assisted by Brandon Askew.,5,10
12:43,2000,Hayden Howell Turnover.,5,10
12:22,-1,Brandon Askew made Jumper.,7,10
12:03,2000,Jalone Friday made Layup. Assisted by Jaren Lewis.,7,12
11:48,-1,Antonio Wilson missed Jumper.,7,12
11:48,-1,Dante Lewis Offensive Rebound.,7,12
11:41,-1,Dante Lewis made Dunk.,9,12
11:30,2000,Jalone Friday made Three Point Jumper.,9,15
11:15,-1,Kashus Lyons Turnover.,9,15
11:15,2000,Official TV Timeout,9,15
11:01,2000,Jaren Lewis missed Jumper.,9,15
11:01,2000,Jalone Friday Offensive Rebound.,9,15
10:58,2000,Jalone Friday missed Jumper.,9,15
10:58,-1,Dante Lewis Defensive Rebound.,9,15
10:40,-1,Brandon Askew missed Jumper.,9,15
10:40,2000,B.J. Maxwell Defensive Rebound.,9,15
10:22,2000,B.J. Maxwell missed Three Point Jumper.,9,15
10:22,2000,Jalone Friday Offensive Rebound.,9,15
10:18,2000,Jalone Friday Turnover.,9,15
10:17,-1,Brandon Askew Steal.,9,15
10:01,-1,Isaac Bowles made Jumper.,11,15
10:01,-1,Foul on Xavier Hunter.,11,15
10:01,-1,Xavier Hunter Turnover.,11,15
9:58,2000,Jalone Friday made Jumper. Assisted by Drake Green.,11,17
9:42,-1,Antonio Wilson made Three Point Jumper. Assisted by Xavier Hunter.,14,17
9:26,2000,Jaylen Franklin missed Jumper.,14,17
9:26,2000,Jaren Lewis Offensive Rebound.,14,17
9:26,-1,Foul on Dante Lewis.,14,17
9:18,2000,Drake Green made Layup. Assisted by Jaylen Franklin.,14,19
9:01,-1,Xavier Hunter made Jumper.,16,19
