Missouri State,98,Western Kentucky,2623
time,team_id,description,h_score,a_score
19:35,2623,Jarrid Rhodes made Three Point Jumper.,3,0
19:11,98,Taveion Hollingsworth missed Jumper.,3,0
19:11,2623,Alize Johnson Defensive Rebound.,3,0
19:03,2623,Alize Johnson missed Three Point Jumper.,3,0
19:03,98,Justin Johnson Defensive Rebound.,3,0
18:41,98,Dwight Coleby Turnover.,3,0
18:31,2623,Obediah Church made Layup. Assisted by Alize Johnson.,5,0
18:06,98,Darius Thompson missed Jumper.,5,0
18:06,98,Marek Nelson Offensive Rebound.,5,0
18:04,2623,Foul on Ronnie Rousseau III.,5,0
18:02,98,Darius Thompson made Three Point Jumper. Assisted by Taveion Hollingsworth.,5,3
17:43,2623,Obediah Church made Jumper.,7,3
17:43,98,Foul on Dwight Coleby.,7,3
17:43,2623,Obediah Church made Free Throw.,8,3
17:28,98,Marek Nelson missed Three Point Jumper.,8,3
17:28,2623,Alize Johnson Defensive Rebound.,8,3
17:19,2623,Alize Johnson made Layup.,10,3
17:14,98,Taveion Hollingsworth Turnover.,10,3
17:14,98,Western Kentucky  Timeout,10,3
16:44,2623,Jarrid Rhodes made Jumper.,12,3
16:28,98,Darius Thompson missed Three Point Jumper.,12,3
16:28,98,Dwight Coleby Offensive Rebound.,12,3
16:24,2623,Foul on Alize Johnson.,12,3
16:24,98,Dwight Coleby made Free Throw.,12,4
16:24,98,Dwight Coleby missed Free Throw.,12,4
16:24,2623,Alize Johnson Defensive Rebound.,12,4
16:18,2623,Ryan Kreklow made Three Point Jumper. Assisted by Alize Johnson.,15,4
15:59,98,Foul on Dwight Coleby.,15,4
15:59,98,Dwight Coleby Turnover.,15,4
15:59,98,Official TV Timeout,15,4
15:46,2623,Foul on Tanveer Bhullar.,15,4
15:46,2623,Tanveer Bhullar Turnover.,15,4
15:31,98,Lamonte Bearden Turnover.,15,4
15:13,2623,Tanveer Bhullar missed Jumper.,15,4
15:13,98,Darius Thompson Defensive Rebound.,15,4
15:05,98,Darius Thompson missed Three Point Jumper.,15,4
15:05,2623,Tanveer Bhullar Defensive Rebound.,15,4
14:44,2623,Tanveer Bhullar made Jumper.,17,4
14:15,98,Taveion Hollingsworth Turnover.,17,4
13:57,2623,Foul on Reggie Scurry.,17,4
13:57,2623,Reggie Scurry Turnover.,17,4
13:49,98,Jake Ohmer missed Three Point Jumper.,17,4
13:49,98,Justin Johnson Offensive Rebound.,17,4
13:44,98,Justin Johnson Turnover.,17,4
13:42,2623,James Miller Steal.,17,4
13:37,2623,James Miller made Dunk.,19,4
13:27,98,Lamonte Bearden missed Jumper.,19,4
13:27,2623,Jarred Dixon Defensive Rebound.,19,4
13:22,98,Foul on Justin Johnson.,19,4
13:01,2623,Ryan Kreklow missed Three Point Jumper.,19,4
13:01,98,Lamonte Bearden Defensive Rebound.,19,4
12:55,98,Lamonte Bearden Turnover.,19,4
12:53,2623,Ryan Kreklow Steal.,19,4
12:51,2623,Jarred Dixon missed Layup.,19,4
12:51,2623,James Miller Offensive Rebound.,19,4
12:51,2623,James Miller made Layup.,21,4
12:51,98,Foul on Jake Ohmer.,21,4
12:51,2623,James Miller missed Free Throw.,21,4
12:51,98,Marek Nelson Defensive Rebound.,21,4
12:38,98,Darius Thompson Turnover.,21,4
12:36,2623,Tanveer Bhullar Steal.,21,4
12:30,2623,Alize Johnson made Three Point Jumper. Assisted by James Miller.,24,4
12:29,98,Western Kentucky  Timeout,24,4
12:29,98,Official TV Timeout,24,4
12:08,98,Darius Thompson Turnover.,24,4
12:07,2623,James Miller Steal.,24,4
12:03,2623,Obediah Church made Layup. Assisted by Jarred Dixon.,26,4
11:43,2623,Foul on Ryan Kreklow.,26,4
11:39,98,Marek Nelson made Free Throw.,26,5
11:39,98,Marek Nelson made Free Throw.,26,6
11:21,2623,Obediah Church made Layup.,28,6
11:07,2623,Foul on Obediah Church.,28,6
11:01,2623,Foul on Alize Johnson.,28,6
11:01,98,Marek Nelson made Free Throw.,28,7
11:01,98,Marek Nelson missed Free Throw.,28,7
11:01,2623,Obediah Church Defensive Rebound.,28,7
10:56,2623,Foul on James Miller.,28,7
10:56,2623,James Miller Turnover.,28,7
10:34,2623,Foul on Obediah Church.,28,7
10:34,98,Lamonte Bearden made Free Throw.,28,8
10:34,98,Lamonte Bearden made Free Throw.,28,9
10:33,2623,Tanveer Bhullar made Jumper.,30,9
10:21,2623,Foul on Tanveer Bhullar.,30,9
10:21,98,Justin Johnson made Free Throw.,30,10
10:09,98,Justin Johnson made Free Throw.,30,11
9:58,2623,Ronnie Rousseau III missed Three Point Jumper.,30,11
9:58,2623,James Miller Offensive Rebound.,30,11
9:54,2623,James Miller made Dunk.,32,11
9:46,98,Lamonte Bearden made Layup.,32,13
9:46,2623,Foul on Ryan Kreklow.,32,13
9:46,98,Lamonte Bearden made Free Throw.,32,14
9:24,2623,Tanveer Bhullar missed Layup.,32,14
9:24,2623,Tanveer Bhullar Offensive Rebound.,32,14
9:21,2623,Tanveer Bhullar made Layup.,34,14
9:19,98,Jake Ohmer Turnover.,34,14
9:11,2623,Jarred Dixon Turnover.,34,14
8:53,98,Darius Thompson missed Three Point Jumper.,34,14
8:53,2623,James Miller Defensive Rebound.,34,14
8:33,2623,Tanveer Bhullar Turnover.,34,14
8:16,98,Justin Johnson made Jumper.,34,16
8:03,2623,Ronnie Rousseau III Turnover.,34,16
7:39,98,Taveion Hollingsworth missed Jumper.,34,16
7:39,2623,Reggie Scurry Defensive Rebound.,34,16
7:34,98,Foul on Marek Nelson.,34,16
7:34,98,Official TV Timeout,34,16
7:10,2623,Jarred Dixon missed Jumper.,34,16
7:10,98,Western Kentucky Defensive Rebound.,34,16
6:50,98,Marek Nelson Turnover.,34,16
6:35,2623,Foul on Ryan Kreklow.,34,16
6:35,2623,Ryan Kreklow Turnover.,34,16
6:21,2623,Foul on Obediah Church.,34,16
6:21,98,Marek Nelson made Free Throw.,34,17
6:21,98,Marek Nelson made Free Throw.,34,18
6:12,2623,Jarred Dixon missed Layup.,34,18
6:12,98,Justin Johnson Defensive Rebound.,34,18
6:02,98,Justin Johnson missed Three Point Jumper.,34,18
6:02,98,Marek Nelson Offensive Rebound.,34,18
6:01,2623,Foul on Jarrid Rhodes.,34,18
6:01,98,Marek Nelson made Free Throw.,34,19
6:01,98,Marek Nelson made Free Throw.,34,20
5:54,98,Foul on Taveion Hollingsworth.,34,20
5:51,2623,Jarred Dixon missed Jumper.,34,20
5:51,98,Marek Nelson Defensive Rebound.,34,20
5:47,98,Marek Nelson Turnover.,34,20
5:36,2623,Jarrid Rhodes missed Jumper.,34,20
5:36,98,Justin Johnson Defensive Rebound.,34,20
5:25,98,Lamonte Bearden missed Layup.,34,20
5:25,2623,James Miller Defensive Rebound.,34,20
5:15,2623,Jarrid Rhodes Turnover.,34,20
5:04,98,Lamonte Bearden Turnover.,34,20
4:50,2623,Reggie Scurry made Dunk. Assisted by Jarrid Rhodes.,36,20
4:37,2623,Foul on Ronnie Rousseau III.,36,20
4:37,98,Lamonte Bearden made Free Throw.,36,21
4:37,98,Lamonte Bearden missed Free Throw.,36,21
4:37,2623,Reggie Scurry Defensive Rebound.,36,21
4:16,2623,Reggie Scurry made Jumper.,38,21
3:58,98,Jake Ohmer missed Three Point Jumper.,38,21
3:58,98,Justin Johnson Offensive Rebound.,38,21
3:46,2623,Foul on Mustafa Lawrence.,38,21
3:43,98,Official TV Timeout,38,21
3:43,98,Darius Thompson missed Free Throw.,38,21
3:43,98,Western Kentucky Deadball Team Rebound.,38,21
3:43,98,Darius Thompson made Free Throw.,38,22
3:21,2623,Reggie Scurry Turnover.,38,22
3:20,98,Lamonte Bearden Steal.,38,22
3:17,98,Lamonte Bearden made Layup.,38,24
2:52,2623,Reggie Scurry made Dunk. Assisted by Mustafa Lawrence.,40,24
2:34,98,Darius Thompson made Jumper.,40,26
2:10,2623,Jarrid Rhodes missed Three Point Jumper.,40,26
2:10,98,Darius Thompson Defensive Rebound.,40,26
2:03,98,Jake Ohmer missed Three Point Jumper.,40,26
2:03,2623,Jarred Dixon Defensive Rebound.,40,26
1:54,2623,Mustafa Lawrence made Three Point Jumper. Assisted by Jarred Dixon.,43,26
1:32,98,Jake Ohmer made Three Point Jumper. Assisted by Darius Thompson.,43,29
1:02,98,Foul on Darius Thompson.,43,29
1:02,2623,Jarrid Rhodes made Free Throw.,44,29
1:02,2623,Jarrid Rhodes made Free Throw.,45,29
1:01,2623,Missouri State  Timeout,45,29
0:48,98,Lamonte Bearden made Three Point Jumper.,45,32
0:29,2623,James Miller missed Dunk.,45,32
0:29,98,Justin Johnson Defensive Rebound.,45,32
0:21,98,Darius Thompson missed Three Point Jumper.,45,32
0:21,98,Justin Johnson Offensive Rebound.,45,32
0:18,2623,Foul on Reggie Scurry.,45,32
0:18,98,Justin Johnson made Free Throw.,45,33
0:18,98,Justin Johnson made Free Throw.,45,34
0:04,2623,Foul on Reggie Scurry.,45,34
0:04,2623,Reggie Scurry Turnover.,45,34
0:04,98,Justin Johnson missed Three Point Jumper.,45,34
0:04,98,Lamonte Bearden Offensive Rebound.,45,34
0:00,98,End of 1st half,45,34
19:49,98,Justin Johnson missed Jumper.,45,34
19:49,98,Justin Johnson Offensive Rebound.,45,34
19:33,98,Darius Thompson made Three Point Jumper.,45,37
19:02,2623,Ronnie Rousseau III made Jumper.,47,37
18:43,98,Dwight Coleby missed Jumper.,47,37
18:43,2623,Tanveer Bhullar Defensive Rebound.,47,37
18:37,2623,Alize Johnson Turnover.,47,37
18:36,98,Taveion Hollingsworth Steal.,47,37
18:31,98,Taveion Hollingsworth made Jumper.,47,39
18:10,2623,Alize Johnson missed Three Point Jumper.,47,39
18:10,98,Western Kentucky Deadball Team Rebound.,47,39
17:49,2623,Foul on Tanveer Bhullar.,47,39
17:49,98,Lamonte Bearden made Free Throw.,47,40
17:49,98,Lamonte Bearden made Free Throw.,47,41
17:29,2623,Jarred Dixon Turnover.,47,41
17:18,98,Lamonte Bearden missed Layup.,47,41
17:18,98,Lamonte Bearden Offensive Rebound.,47,41
17:18,98,Lamonte Bearden made Layup.,47,43
17:18,2623,Foul on Alize Johnson.,47,43
17:18,98,Lamonte Bearden made Free Throw.,47,44
17:03,98,Foul on Dwight Coleby.,47,44
17:03,98,Foul on Lamonte Bearden.,47,44
16:56,2623,Jarrid Rhodes Turnover.,47,44
16:44,98,Darius Thompson missed Layup.,47,44
16:44,2623,Missouri State Defensive Rebound.,47,44
16:44,98,Foul on Dwight Coleby.,47,44
16:30,2623,Ronnie Rousseau III Turnover.,47,44
16:28,98,Taveion Hollingsworth Steal.,47,44
16:23,98,Taveion Hollingsworth missed Layup.,47,44
16:23,98,Justin Johnson Offensive Rebound.,47,44
16:20,98,Justin Johnson missed Layup.,47,44
16:20,2623,Alize Johnson Defensive Rebound.,47,44
16:15,2623,Alize Johnson missed Layup.,47,44
