Wright State,2350,Loyola-Chicago,2750
time,team_id,description,h_score,a_score
19:31,2750,Parker Ernsthausen missed Jumper.,0,0
19:31,2350,Aundre Jackson Defensive Rebound.,0,0
19:08,2750,Foul on Mark Hughes.,0,0
19:08,2350,Marques Townes missed Free Throw.,0,0
19:08,2350,Loyola-Chicago Deadball Team Rebound.,0,0
19:08,2350,Marques Townes made Free Throw.,0,1
18:46,2750,Loudon Love Turnover.,0,1
18:34,2350,Aundre Jackson made Layup.,0,3
18:14,2750,Grant Benzinger Turnover.,0,3
17:57,2350,Donte Ingram made Three Point Jumper.,0,6
17:38,2750,Mark Hughes missed Three Point Jumper.,0,6
17:38,2750,Loudon Love Offensive Rebound.,0,6
17:30,2750,Mark Hughes made Three Point Jumper. Assisted by Loudon Love.,3,6
17:15,2350,Aundre Jackson Turnover.,3,6
17:05,2750,Grant Benzinger made Three Point Jumper. Assisted by Mark Hughes.,6,6
16:54,2750,Foul on Justin Mitchell.,6,6
16:50,2350,Aundre Jackson missed Three Point Jumper.,6,6
16:50,2750,Justin Mitchell Defensive Rebound.,6,6
16:42,2350,Foul on Clayton Custer.,6,6
16:29,2350,Foul on Donte Ingram.,6,6
16:29,2750,Mark Hughes made Free Throw.,7,6
16:29,2750,Mark Hughes made Free Throw.,8,6
16:19,2350,Foul on Cameron Krutwig.,8,6
16:19,2350,Cameron Krutwig Turnover.,8,6
16:01,2750,Loudon Love missed Layup.,8,6
16:01,2350,Cameron Krutwig Block.,8,6
15:58,2350,Cameron Satterwhite Defensive Rebound.,8,6
15:56,2350,Cameron Satterwhite Turnover.,8,6
15:56,2350,Official TV Timeout,8,6
15:40,2750,Justin Mitchell Turnover.,8,6
15:28,2350,Marques Townes made Three Point Jumper. Assisted by Cameron Krutwig.,8,9
15:10,2750,Everett Winchester Turnover.,8,9
14:48,2350,Cameron Krutwig missed Layup.,8,9
14:48,2750,Wright State Defensive Rebound.,8,9
14:29,2750,Loudon Love Turnover.,8,9
14:16,2750,Foul on Loudon Love.,8,9
14:16,2350,Cameron Krutwig made Free Throw.,8,10
14:16,2350,Cameron Krutwig made Free Throw.,8,11
14:11,2750,Grant Benzinger made Three Point Jumper. Assisted by Justin Mitchell.,11,11
13:58,2350,Clayton Custer made Layup.,11,13
13:37,2750,Parker Ernsthausen missed Jumper.,11,13
13:37,2350,Clayton Custer Defensive Rebound.,11,13
13:32,2350,Clayton Custer Turnover.,11,13
13:31,2750,Parker Ernsthausen Steal.,11,13
13:23,2350,Foul on Bruno Skokna.,11,13
13:21,2750,Mark Hughes Turnover.,11,13
13:21,2350,Clayton Custer Steal.,11,13
12:57,2350,Cameron Krutwig made Jumper. Assisted by Bruno Skokna.,11,15
12:40,2750,Loudon Love made Layup. Assisted by Parker Ernsthausen.,13,15
