Lafayette,2244,George Mason,322
time,team_id,description,h_score,a_score
19:46,322,Lukas Jarrett made Three Point Jumper. Assisted by Eric Stafford.,3,0
19:22,2244,Jaire Grayer missed Jumper.,3,0
19:22,322,Kyle Stout Defensive Rebound.,3,0
19:20,322,Kyle Stout Turnover.,3,0
19:20,2244,Jaire Grayer Steal.,3,0
19:18,2244,Ian Boyd missed Jumper.,3,0
19:18,2244,George Mason Offensive Rebound.,3,0
19:05,2244,Otis Livingston II made Three Point Jumper. Assisted by Goanar Mar.,3,3
18:52,322,Matt Klinewski missed Three Point Jumper.,3,3
18:52,322,Eric Stafford Offensive Rebound.,3,3
18:48,322,Lukas Jarrett made Three Point Jumper. Assisted by Eric Stafford.,6,3
18:33,2244,Ian Boyd made Jumper.,6,5
18:16,322,Lukas Jarrett made Layup.,8,5
17:59,2244,Goanar Mar made Three Point Jumper. Assisted by Otis Livingston II.,8,8
17:34,322,Kyle Stout missed Three Point Jumper.,8,8
17:34,2244,Otis Livingston II Defensive Rebound.,8,8
17:24,2244,Justin Kier made Layup.,8,10
17:24,322,Foul on Eric Stafford.,8,10
17:24,2244,Justin Kier made Free Throw.,8,11
17:03,322,E.J. Stephens missed Three Point Jumper.,8,11
17:03,2244,Jaire Grayer Defensive Rebound.,8,11
16:55,2244,Jaire Grayer made Layup.,8,13
16:35,322,Matt Klinewski made Three Point Jumper. Assisted by Kyle Stout.,11,13
16:18,2244,Goanar Mar missed Jumper.,11,13
16:18,322,E.J. Stephens Defensive Rebound.,11,13
16:09,322,Eric Stafford missed Jumper.,11,13
16:09,2244,Otis Livingston II Defensive Rebound.,11,13
15:50,2244,Ian Boyd made Jumper.,11,15
15:32,322,Lukas Jarrett missed Jumper.,11,15
15:32,2244,Otis Livingston II Defensive Rebound.,11,15
15:26,2244,Otis Livingston II made Layup.,11,17
15:08,322,Eric Stafford Turnover.,11,17
15:07,2244,Ian Boyd Steal.,11,17
15:03,2244,Ian Boyd made Layup. Assisted by Otis Livingston II.,11,19
14:53,322,Lafayette  Timeout,11,19
14:46,322,Foul on Myles Cherry.,11,19
14:46,322,Myles Cherry Turnover.,11,19
14:26,2244,Jaire Grayer made Three Point Jumper. Assisted by Otis Livingston II.,11,22
14:17,322,Alex Petrie made Three Point Jumper. Assisted by Myles Cherry.,14,22
13:59,2244,Javon Greene missed Three Point Jumper.,14,22
13:59,322,Myles Cherry Defensive Rebound.,14,22
13:50,322,Alex Petrie missed Three Point Jumper.,14,22
13:50,322,Myles Cherry Offensive Rebound.,14,22
13:39,322,Lukas Jarrett missed Three Point Jumper.,14,22
13:39,322,Paulius Zalys Offensive Rebound.,14,22
13:28,322,Myles Cherry Turnover.,14,22
13:14,2244,Jaire Grayer missed Three Point Jumper.,14,22
13:14,2244,Greg Calixte Offensive Rebound.,14,22
13:11,322,Foul on Dylan Hastings.,14,22
13:01,2244,Ian Boyd missed Jumper.,14,22
13:01,322,Dylan Hastings Defensive Rebound.,14,22
12:46,322,E.J. Stephens made Jumper.,16,22
12:25,2244,AJ Wilson missed Jumper.,16,22
12:25,2244,Greg Calixte Offensive Rebound.,16,22
12:20,2244,Greg Calixte missed Jumper.,16,22
12:20,322,Alex Petrie Defensive Rebound.,16,22
11:56,322,E.J. Stephens made Jumper. Assisted by Matt Klinewski.,18,22
11:39,2244,Greg Calixte missed Jumper.,18,22
11:39,322,Paulius Zalys Defensive Rebound.,18,22
11:33,322,Alex Petrie missed Three Point Jumper.,18,22
11:33,2244,Ian Boyd Defensive Rebound.,18,22
11:17,2244,Greg Calixte missed Jumper.,18,22
11:17,322,Dylan Hastings Block.,18,22
11:15,322,Matt Klinewski Defensive Rebound.,18,22
11:10,322,Matt Klinewski made Three Point Jumper. Assisted by Alex Petrie.,21,22
11:06,2244,George Mason  Timeout,21,22
10:46,2244,Goanar Mar Turnover.,21,22
10:45,322,Paulius Zalys Steal.,21,22
10:43,322,Paulius Zalys made Dunk.,23,22
10:22,2244,Justin Kier Turnover.,23,22
10:02,322,E.J. Stephens missed Three Point Jumper.,23,22
10:02,2244,Goanar Mar Defensive Rebound.,23,22
9:47,2244,Ian Boyd missed Three Point Jumper.,23,22
9:47,322,Myles Cherry Defensive Rebound.,23,22
9:38,322,Eric Stafford Turnover.,23,22
9:36,2244,Otis Livingston II Steal.,23,22
9:34,2244,Justin Kier made Layup. Assisted by Otis Livingston II.,23,24
9:23,322,Paulius Zalys Turnover.,23,24
9:22,2244,Otis Livingston II Steal.,23,24
9:22,322,Foul on Paulius Zalys.,23,24
9:13,2244,Ian Boyd made Jumper. Assisted by Otis Livingston II.,23,26
8:47,322,Myles Cherry missed Jumper.,23,26
8:47,2244,Jaire Grayer Block.,23,26
8:43,322,Myles Cherry Offensive Rebound.,23,26
8:41,322,Myles Cherry made Layup.,25,26
8:31,2244,Justin Kier missed Three Point Jumper.,25,26
8:31,322,Dylan Hastings Defensive Rebound.,25,26
8:29,2244,Foul on Ian Boyd.,25,26
8:03,322,Matt Klinewski missed Jumper.,25,26
8:03,322,Matt Klinewski Offensive Rebound.,25,26
8:00,322,Matt Klinewski missed Jumper.,25,26
8:00,2244,Jaire Grayer Block.,25,26
7:58,322,Matt Klinewski Offensive Rebound.,25,26
7:51,322,E.J. Stephens made Jumper.,27,26
7:29,2244,Jaire Grayer made Jumper. Assisted by Ian Boyd.,27,28
7:08,2244,Foul on Otis Livingston II.,27,28
7:08,2244,Official TV Timeout,27,28
6:56,322,Lukas Jarrett Turnover.,27,28
6:53,2244,Justin Kier Steal.,27,28
6:52,2244,Justin Kier made Layup.,27,30
6:37,322,Alex Petrie missed Jumper.,27,30
6:37,2244,AJ Wilson Defensive Rebound.,27,30
6:14,2244,Otis Livingston II missed Layup.,27,30
6:14,322,Kyle Stout Defensive Rebound.,27,30
6:07,322,Alex Petrie missed Three Point Jumper.,27,30
6:07,2244,Jaire Grayer Defensive Rebound.,27,30
6:06,322,Foul on Kyle Stout.,27,30
5:54,2244,Jaire Grayer missed Three Point Jumper.,27,30
5:54,322,Lafayette Defensive Rebound.,27,30
5:31,322,Matt Klinewski Turnover.,27,30
5:29,2244,Justin Kier Steal.,27,30
5:27,2244,Ian Boyd made Layup. Assisted by Justin Kier.,27,32
5:17,322,Kyle Stout missed Three Point Jumper.,27,32
5:17,322,Lukas Jarrett Offensive Rebound.,27,32
5:13,322,Matt Klinewski made Three Point Jumper. Assisted by Lukas Jarrett.,30,32
4:43,2244,Jaire Grayer Turnover.,30,32
4:41,322,Lukas Jarrett Steal.,30,32
4:22,322,Lukas Jarrett missed Three Point Jumper.,30,32
4:22,2244,AJ Wilson Defensive Rebound.,30,32
3:59,2244,Otis Livingston II made Three Point Jumper.,30,35
3:45,322,Alex Petrie missed Three Point Jumper.,30,35
3:45,2244,Ian Boyd Defensive Rebound.,30,35
3:36,2244,AJ Wilson missed Jumper.,30,35
3:36,2244,Jaire Grayer Offensive Rebound.,30,35
3:32,2244,Jaire Grayer missed Jumper.,30,35
