Wisc. Lacrosse,270,Milwaukee,2740
time,team_id,description,h_score,a_score
19:41,270,Brett Prahl Turnover.,0,0
19:33,-1,Ben Meinholz made Layup.,2,0
19:04,270,Jeremy Johnson made Three Point Jumper. Assisted by Brett Prahl.,2,3
18:38,270,Foul on Bryce Nze.,2,3
18:38,-1,Ben Meinholz made Free Throw.,3,3
18:38,-1,Ben Meinholz made Free Throw.,4,3
18:23,270,Brock Stull Turnover.,4,3
18:22,-1,Ben Meinholz Steal.,4,3
18:19,-1,Ben Meinholz missed Layup.,4,3
18:19,270,Jeremy Johnson Block.,4,3
18:16,270,Brock Stull Defensive Rebound.,4,3
18:13,-1,Foul on Terek Nesheim.,4,3
18:01,270,Bryce Barnes Turnover.,4,3
17:59,-1,Taulvish McCray Steal.,4,3
17:56,-1,Taulvish McCray Turnover.,4,3
17:55,270,Bryce Barnes Steal.,4,3
17:47,270,Bryce Nze made Layup. Assisted by Bryce Barnes.,4,5
17:34,-1,Foul on Terek Nesheim.,4,5
17:17,270,Brock Stull missed Three Point Jumper.,4,5
17:17,270,Bryce Nze Offensive Rebound.,4,5
17:13,270,Bryce Nze made Layup.,4,7
16:45,-1,Ben Meinholz missed Jumper.,4,7
16:45,-1,Tanner Bruchs Offensive Rebound.,4,7
16:34,-1,Brendon Manning made Layup. Assisted by Taulvish McCray.,6,7
16:02,270,Brett Prahl missed Layup.,6,7
16:02,-1,Nolan Wright Defensive Rebound.,6,7
15:40,-1,Tanner Bruchs made Three Point Jumper. Assisted by Taulvish McCray.,9,7
15:19,-1,Foul on Brendon Manning.,9,7
15:19,270,Official TV Timeout,9,7
15:19,270,Bryce Nze made Free Throw.,9,8
15:14,270,Bryce Nze made Free Throw.,9,9
15:11,-1,Nolan Wright made Jumper. Assisted by Ben Meinholz.,11,9
14:58,270,Vance Johnson made Layup.,11,11
14:33,-1,Taulvish McCray missed Three Point Jumper.,11,11
14:33,-1,Tanner Bruchs Offensive Rebound.,11,11
14:18,-1,Tanner Bruchs missed Three Point Jumper.,11,11
14:18,-1,Lane Von Rueden Offensive Rebound.,11,11
14:04,-1,Taulvish McCray made Three Point Jumper. Assisted by Lane Von Rueden.,14,11
13:47,270,August Haas missed Three Point Jumper.,14,11
13:47,270,Milwaukee Offensive Rebound.,14,11
13:35,270,Jeremy Johnson missed Three Point Jumper.,14,11
13:35,-1,Ben Meinholz Defensive Rebound.,14,11
13:25,-1,Ben Meinholz missed Layup.,14,11
13:25,270,Jeremy Johnson Defensive Rebound.,14,11
13:19,270,Jeremiah Bell made Layup. Assisted by August Haas.,14,13
13:04,-1,Ben Meinholz missed Jumper.,14,13
13:04,270,Jeremiah Bell Defensive Rebound.,14,13
12:56,270,Jeremy Johnson made Three Point Jumper. Assisted by Jeremiah Bell.,14,16
12:35,270,Foul on August Haas.,14,16
12:35,-1,Sam Skoyen made Free Throw.,15,16
12:35,-1,Foul on Milton Cummings.,15,16
12:34,-1,Sam Skoyen missed Free Throw.,15,16
12:34,-1,Wisconsin-Lacrosse Deadball Team Rebound.,15,16
12:32,270,Bryce Nze missed Layup.,15,16
12:32,270,Vance Johnson Offensive Rebound.,15,16
12:26,-1,Foul on Nolan Wright.,15,16
12:06,270,Vance Johnson missed Free Throw.,15,16
12:06,270,Milwaukee Deadball Team Rebound.,15,16
12:06,270,Vance Johnson made Free Throw.,15,17
11:57,-1,Ben Meinholz Turnover.,15,17
11:57,270,August Haas Steal.,15,17
11:55,270,Brock Stull made Layup. Assisted by August Haas.,15,19
11:42,270,Official TV Timeout,15,19
11:28,-1,Brendon Manning missed Layup.,15,19
11:28,270,Bryce Nze Defensive Rebound.,15,19
11:21,270,August Haas missed Layup.,15,19
11:21,270,Bryce Nze Offensive Rebound.,15,19
11:17,270,Bryce Nze missed Layup.,15,19
11:17,270,Vance Johnson Offensive Rebound.,15,19
11:13,270,Vance Johnson missed Layup.,15,19
11:13,-1,Brendon Manning Defensive Rebound.,15,19
11:04,-1,Ben Meinholz made Three Point Jumper.,18,19
10:53,-1,Ben Meinholz made Layup.,20,19
10:50,270,Milwaukee  Timeout,20,19
10:36,270,Brett Prahl made Layup.,20,21
9:25,-1,Tanner Bruchs missed Three Point Jumper.,20,21
9:25,270,Brett Prahl Defensive Rebound.,20,21
9:13,-1,Foul on Milton Cummings.,20,21
9:05,270,August Haas made Layup.,20,23
9:05,-1,Foul on Lane Von Rueden.,20,23
9:05,270,August Haas missed Free Throw.,20,23
9:05,-1,Ben Meinholz Defensive Rebound.,20,23
8:55,-1,Sam Skoyen made Three Point Jumper. Assisted by Ben Meinholz.,23,23
8:34,270,Jeremy Johnson made Layup.,23,25
8:17,-1,Ben Meinholz missed Jumper.,23,25
8:17,270,Bryce Nze Defensive Rebound.,23,25
8:06,270,Bryce Nze missed Three Point Jumper.,23,25
8:06,-1,Brendon Manning Defensive Rebound.,23,25
7:55,-1,Brendon Manning made Three Point Jumper. Assisted by Taulvish McCray.,26,25
7:36,270,Brock Stull made Three Point Jumper. Assisted by August Haas.,26,28
7:14,-1,Lane Von Rueden missed Layup.,26,28
7:14,270,Brett Prahl Block.,26,28
7:12,270,Bryce Nze Defensive Rebound.,26,28
7:09,270,Brock Stull missed Three Point Jumper.,26,28
7:09,-1,Taulvish McCray Defensive Rebound.,26,28
6:50,-1,Foul on Ben Meinholz.,26,28
6:50,270,Official TV Timeout,26,28
6:39,270,Jeremy Johnson made Jumper.,26,30
6:29,-1,Foul on Sam Skoyen.,26,30
6:29,-1,Sam Skoyen Turnover.,26,30
5:50,270,Foul on Jeremiah Bell.,26,30
5:40,-1,Taulvish McCray Turnover.,26,30
5:40,270,Brock Stull Steal.,26,30
5:26,270,Brett Prahl made Layup.,26,32
5:12,-1,Wisconsin-Lacrosse  Timeout,26,32
4:45,-1,Taulvish McCray missed Three Point Jumper.,26,32
4:45,270,Vance Johnson Defensive Rebound.,26,32
4:39,270,Foul on Brock Stull.,26,32
4:39,270,Brock Stull Turnover.,26,32
4:36,-1,Tanner Bruchs made Jumper.,28,32
4:12,270,Jeremiah Bell made Layup.,28,34
3:57,-1,Ben Meinholz Turnover.,28,34
3:57,270,Official TV Timeout,28,34
3:36,270,Brock Stull made Three Point Jumper. Assisted by Jeremiah Bell.,28,37
3:13,-1,Tanner Bruchs made Three Point Jumper. Assisted by Taulvish McCray.,31,37
3:02,-1,Foul on Jack Kortes.,31,37
3:02,270,Brock Stull made Free Throw.,31,38
3:02,270,Brock Stull made Free Throw.,31,39
2:44,-1,Tanner Bruchs missed Three Point Jumper.,31,39
2:44,270,Milwaukee Defensive Rebound.,31,39
2:42,270,Foul on Bryce Nze.,31,39
2:37,-1,Ben Meinholz missed Jumper.,31,39
2:37,270,Brett Prahl Defensive Rebound.,31,39
2:25,270,Jeremiah Bell missed Three Point Jumper.,31,39
2:25,-1,Nolan Wright Defensive Rebound.,31,39
2:16,-1,Tanner Bruchs missed Three Point Jumper.,31,39
2:16,270,Bryce Barnes Defensive Rebound.,31,39
2:03,270,Brock Stull made Three Point Jumper.,31,42
1:50,270,Foul on Vance Johnson.,31,42
1:50,-1,Brendon Manning missed Free Throw.,31,42
1:50,-1,Wisconsin-Lacrosse Deadball Team Rebound.,31,42
1:50,-1,Brendon Manning made Free Throw.,32,42
1:42,-1,Foul on Brendon Manning.,32,42
1:39,270,Bryce Barnes missed Free Throw.,32,42
1:39,270,Milwaukee Deadball Team Rebound.,32,42
1:39,270,Bryce Barnes made Free Throw.,32,43
1:20,-1,Lane Von Rueden made Jumper. Assisted by Ben Meinholz.,34,43
1:12,-1,Foul on Taulvish McCray.,34,43
1:12,270,Bryce Barnes made Free Throw.,34,44
1:12,270,Bryce Barnes made Free Throw.,34,45
1:01,-1,Lane Von Rueden missed Jumper.,34,45
1:01,270,Vance Johnson Defensive Rebound.,34,45
0:42,270,Carson Warren-Newsome made Three Point Jumper. Assisted by Brett Prahl.,34,48
0:25,-1,Taulvish McCray made Three Point Jumper. Assisted by Lane Von Rueden.,37,48
0:03,270,Bryce Barnes made Layup.,37,50
0:01,-1,Foul on Lane Von Rueden.,37,50
0:01,270,Bryce Barnes made Free Throw.,37,51
0:00,270,End of 1st half,37,51
19:35,-1,Taulvish McCray made Layup. Assisted by Terek Nesheim.,39,51
19:20,270,Brett Prahl made Layup. Assisted by Bryce Barnes.,39,53
18:59,-1,Ben Meinholz made Jumper.,41,53
18:45,270,Brock Stull missed Layup.,41,53
18:45,-1,Ben Meinholz Defensive Rebound.,41,53
18:37,-1,Ben Meinholz missed Three Point Jumper.,41,53
18:37,270,Bryce Barnes Defensive Rebound.,41,53
18:30,270,Brock Stull Turnover.,41,53
18:15,-1,Terek Nesheim missed Three Point Jumper.,41,53
18:15,-1,Terek Nesheim Offensive Rebound.,41,53
17:59,-1,Terek Nesheim missed Three Point Jumper.,41,53
17:59,270,Bryce Nze Defensive Rebound.,41,53
17:41,270,Bryce Barnes missed Layup.,41,53
17:41,-1,Ben Meinholz Block.,41,53
17:39,270,Bryce Nze Offensive Rebound.,41,53
17:29,270,Brock Stull Turnover.,41,53
17:27,-1,Brendon Manning Steal.,41,53
17:17,-1,Ben Meinholz missed Jumper.,41,53
17:17,270,Bryce Nze Defensive Rebound.,41,53
17:12,270,Bryce Barnes made Three Point Jumper. Assisted by Bryce Nze.,41,56
16:48,-1,Tanner Bruchs missed Jumper.,41,56
16:48,270,Jeremiah Bell Defensive Rebound.,41,56
16:40,270,Brock Stull missed Three Point Jumper.,41,56
16:40,-1,Ben Meinholz Block.,41,56
16:37,-1,Taulvish McCray Defensive Rebound.,41,56
16:31,-1,Taulvish McCray missed Three Point Jumper.,41,56
16:31,270,Bryce Nze Defensive Rebound.,41,56
16:26,-1,Foul on Tanner Bruchs.,41,56
16:26,270,Jeremiah Bell made Free Throw.,41,57
16:25,270,Jeremiah Bell made Free Throw.,41,58
16:16,-1,Nolan Wright missed Jumper.,41,58
16:16,270,Bryce Barnes Defensive Rebound.,41,58
15:53,270,Brett Prahl made Layup. Assisted by Bryce Barnes.,41,60
15:41,270,Official TV Timeout,41,60
15:20,-1,Milton Cummings Turnover.,41,60
14:59,270,Jeremiah Bell missed Layup.,41,60
14:59,-1,Nolan Wright Defensive Rebound.,41,60
14:31,270,Foul on Bryce Nze.,41,60
