Clemson,195,Ohio,228
time,team_id,description,h_score,a_score
20:00,195,Jump Ball won by Ohio,0,0
19:54,195,Teyvion Kirk made Layup.,0,2
19:30,228,Gabe DeVoe Turnover.,0,2
19:30,195,Teyvion Kirk Steal.,0,2
19:13,195,Mike Laster Turnover.,0,2
19:13,228,Shelton Mitchell Steal.,0,2
19:07,228,Gabe DeVoe made Layup. Assisted by Shelton Mitchell.,2,2
18:44,195,Mike Laster missed Three Point Jumper.,2,2
18:44,228,Marcquise Reed Defensive Rebound.,2,2
18:28,228,Donte Grantham Turnover.,2,2
18:28,195,Doug Taylor Steal.,2,2
18:21,195,Teyvion Kirk made Layup. Assisted by Gavin Block.,2,4
17:54,228,Elijah Thomas missed Jumper.,2,4
17:54,195,Gavin Block Defensive Rebound.,2,4
17:44,195,Foul on Doug Taylor.,2,4
17:44,195,Doug Taylor Turnover.,2,4
17:36,228,Elijah Thomas made Layup. Assisted by Gabe DeVoe.,4,4
17:10,228,Foul on Marcquise Reed.,4,4
17:04,195,Kevin Mickle missed Layup.,4,4
17:04,228,Gabe DeVoe Defensive Rebound.,4,4
16:52,228,Elijah Thomas missed Layup.,4,4
16:52,195,Gavin Block Defensive Rebound.,4,4
16:38,195,Gavin Block Turnover.,4,4
16:21,228,Shelton Mitchell made Jumper.,6,4
15:58,195,Kevin Mickle Turnover.,6,4
15:58,228,Elijah Thomas Steal.,6,4
15:52,228,Foul on Donte Grantham.,6,4
15:52,228,Donte Grantham Turnover.,6,4
15:52,195,Official TV Timeout,6,4
15:34,195,Kevin Mickle made Jumper. Assisted by Jordan Dartis.,6,6
15:19,228,Gabe DeVoe missed Three Point Jumper.,6,6
15:19,195,Jordan Dartis Defensive Rebound.,6,6
15:10,195,Kevin Mickle Turnover.,6,6
15:10,228,Shelton Mitchell Steal.,6,6
15:05,228,Shelton Mitchell made Layup.,8,6
14:48,195,Mike Laster made Layup.,8,8
14:25,228,Donte Grantham made Jumper.,10,8
14:14,228,Foul on Anthony Oliver II.,10,8
14:03,195,Doug Taylor missed Jumper.,10,8
14:03,228,Gabe DeVoe Defensive Rebound.,10,8
13:40,228,Aamir Simms missed Jumper.,10,8
13:40,195,James Gollon Defensive Rebound.,10,8
13:27,195,Kevin Mickle made Jumper.,10,10
13:09,228,Mark Donnal made Three Point Jumper. Assisted by Gabe DeVoe.,13,10
12:42,195,Teyvion Kirk missed Jumper.,13,10
12:42,228,Aamir Simms Defensive Rebound.,13,10
12:37,228,Shelton Mitchell Turnover.,13,10
12:24,195,Kevin Mickle Turnover.,13,10
12:24,228,Shelton Mitchell Steal.,13,10
12:09,228,Gabe DeVoe missed Jumper.,13,10
12:09,195,Teyvion Kirk Defensive Rebound.,13,10
12:02,195,Teyvion Kirk Turnover.,13,10
12:02,228,Aamir Simms Steal.,13,10
11:41,228,Anthony Oliver II missed Three Point Jumper.,13,10
11:41,195,James Gollon Defensive Rebound.,13,10
11:27,195,Mike Laster made Jumper.,13,12
10:57,195,Foul on Teyvion Kirk.,13,12
10:57,195,Official TV Timeout,13,12
10:57,228,Shelton Mitchell made Free Throw.,14,12
10:57,228,Shelton Mitchell missed Free Throw.,14,12
10:57,195,Gavin Block Defensive Rebound.,14,12
10:39,195,Zach Butler Turnover.,14,12
10:39,228,Shelton Mitchell Steal.,14,12
10:34,228,Aamir Simms made Layup. Assisted by Shelton Mitchell.,16,12
10:19,195,Gavin Block made Three Point Jumper. Assisted by James Gollon.,16,15
9:52,228,Aamir Simms made Jumper.,18,15
9:37,195,Gavin Block missed Jumper.,18,15
9:37,228,Aamir Simms Block.,18,15
9:37,228,Shelton Mitchell Defensive Rebound.,18,15
9:30,195,Foul on Jordan Dartis.,18,15
9:25,228,Donte Grantham made Three Point Jumper. Assisted by Anthony Oliver II.,21,15
9:06,228,Foul on Gabe DeVoe.,21,15
9:06,195,Jordan Dartis made Free Throw.,21,16
9:06,195,Jordan Dartis made Free Throw.,21,17
9:06,195,Jordan Dartis made Free Throw.,21,18
8:53,228,Elijah Thomas made Layup. Assisted by Marcquise Reed.,23,18
8:42,195,Mike Laster made Layup. Assisted by Jordan Dartis.,23,20
8:35,228,Elijah Thomas missed Jumper.,23,20
8:35,195,Doug Taylor Defensive Rebound.,23,20
8:23,195,Zach Butler missed Three Point Jumper.,23,20
8:23,228,Elijah Thomas Defensive Rebound.,23,20
8:08,228,Donte Grantham made Layup. Assisted by Elijah Thomas.,25,20
7:48,195,Jordan Dartis made Three Point Jumper. Assisted by Mike Laster.,25,23
7:20,228,Elijah Thomas made Dunk. Assisted by Marcquise Reed.,27,23
7:15,195,Zach Butler Turnover.,27,23
7:15,228,Gabe DeVoe Steal.,27,23
7:12,195,Foul on Zach Butler.,27,23
7:12,195,Official TV Timeout,27,23
7:12,228,Gabe DeVoe made Free Throw.,28,23
7:12,228,Gabe DeVoe made Free Throw.,29,23
6:51,195,Jordan Dartis made Three Point Jumper.,29,26
6:30,228,Donte Grantham Turnover.,29,26
