CSU Bakersfield,12,Arizona,2934
time,team_id,description,h_score,a_score
20:00,2934,Jump Ball won by CSU Bakersfield,0,0
19:55,12,Foul on Parker Jackson-Cartwright.,0,0
19:55,2934,Jarkel Joiner made Free Throw.,1,0
19:55,2934,Jarkel Joiner made Free Throw.,2,0
19:37,12,Deandre Ayton missed Three Point Jumper.,2,0
19:37,2934,Jarkel Joiner Defensive Rebound.,2,0
19:19,2934,Damiyne Durham missed Three Point Jumper.,2,0
19:19,12,Deandre Ayton Defensive Rebound.,2,0
19:02,12,Allonzo Trier missed Jumper.,2,0
19:02,12,Arizona Deadball Team Rebound.,2,0
19:02,2934,Foul on Brent Wrapp.,2,0
18:54,12,Dusan Ristic made Layup. Assisted by Deandre Ayton.,2,2
18:30,2934,Moataz Aly made Layup. Assisted by Damiyne Durham.,4,2
18:12,12,Dusan Ristic missed Layup.,4,2
18:12,2934,Moataz Aly Defensive Rebound.,4,2
18:04,2934,Shon Briggs made Layup.,6,2
17:44,12,Emmanuel Akot missed Jumper.,6,2
17:44,12,Dusan Ristic Offensive Rebound.,6,2
17:34,12,Allonzo Trier made Jumper.,6,4
17:18,2934,Damiyne Durham missed Layup.,6,4
17:18,12,Deandre Ayton Defensive Rebound.,6,4
17:10,12,Deandre Ayton missed Three Point Jumper.,6,4
17:10,12,Dusan Ristic Offensive Rebound.,6,4
17:03,12,Allonzo Trier made Three Point Jumper. Assisted by Dusan Ristic.,6,7
16:40,2934,Shon Briggs missed Three Point Jumper.,6,7
16:40,12,Allonzo Trier Defensive Rebound.,6,7
16:28,2934,Foul on Brent Wrapp.,6,7
16:28,12,Allonzo Trier missed Free Throw.,6,7
16:28,12,Arizona Deadball Team Rebound.,6,7
16:28,12,Allonzo Trier made Free Throw.,6,8
16:12,2934,Shon Briggs missed Jumper.,6,8
16:12,12,Ira Lee Block.,6,8
16:12,12,Deandre Ayton Defensive Rebound.,6,8
15:59,12,Ira Lee made Layup. Assisted by Parker Jackson-Cartwright.,6,10
15:34,12,Foul on Ira Lee.,6,10
15:34,12,Official TV Timeout,6,10
15:34,12,Official TV Timeout,6,10
15:32,12,Official TV Timeout,6,10
15:32,12,Official TV Timeout,6,10
15:22,2934,Damiyne Durham Turnover.,6,10
15:10,12,Dylan Smith made Three Point Jumper.,6,13
14:48,2934,Damiyne Durham Turnover.,6,13
14:48,12,Allonzo Trier Steal.,6,13
14:28,2934,Foul on Justin Davis.,6,13
14:22,12,Allonzo Trier made Layup.,6,15
13:58,2934,Jarkel Joiner made Jumper.,8,15
13:46,2934,Foul on Justin Mccall.,8,15
13:46,12,Parker Jackson-Cartwright Turnover.,8,15
13:22,2934,Jarkel Joiner made Jumper.,10,15
13:03,12,Dusan Ristic made Jumper. Assisted by Brandon Randolph.,10,17
12:42,2934,Foul on Justin Mccall.,10,17
12:42,2934,Justin Mccall Turnover.,10,17
12:31,12,Brandon Randolph missed Jumper.,10,17
12:31,2934,Shon Briggs Defensive Rebound.,10,17
12:16,2934,Rickey Holden missed Three Point Jumper.,10,17
12:16,12,Deandre Ayton Defensive Rebound.,10,17
12:14,12,Parker Jackson-Cartwright Turnover.,10,17
11:57,2934,Shon Briggs missed Jumper.,10,17
11:57,12,Alex Barcello Defensive Rebound.,10,17
11:46,2934,Foul on Shon Briggs.,10,17
11:46,12,Official TV Timeout,10,17
11:46,12,Brandon Randolph missed Free Throw.,10,17
11:46,12,Arizona Deadball Team Rebound.,10,17
11:46,12,Brandon Randolph made Free Throw.,10,18
11:21,2934,Damiyne Durham missed Jumper.,10,18
11:21,2934,CSU Bakersfield Offensive Rebound.,10,18
11:13,2934,Fallou Ndoye missed Jumper.,10,18
11:13,12,Arizona Defensive Rebound.,10,18
10:50,12,Emmanuel Akot Turnover.,10,18
10:50,2934,Damiyne Durham Steal.,10,18
10:45,12,Foul on Keanu Pinder.,10,18
10:45,2934,Damiyne Durham made Free Throw.,11,18
10:45,2934,Damiyne Durham missed Free Throw.,11,18
10:45,12,Keanu Pinder Defensive Rebound.,11,18
10:29,12,Allonzo Trier made Three Point Jumper. Assisted by Deandre Ayton.,11,21
10:16,2934,Foul on Fallou Ndoye.,11,21
10:16,2934,Fallou Ndoye Turnover.,11,21
9:51,12,Deandre Ayton Turnover.,11,21
9:51,2934,Damiyne Durham Steal.,11,21
9:47,2934,Damiyne Durham missed Three Point Jumper.,11,21
9:47,2934,Damiyne Durham Offensive Rebound.,11,21
9:44,2934,Damiyne Durham missed Jumper.,11,21
9:44,12,Deandre Ayton Defensive Rebound.,11,21
9:39,12,Parker Jackson-Cartwright made Layup. Assisted by Deandre Ayton.,11,23
9:30,12,Foul on Keanu Pinder.,11,23
9:20,2934,Rickey Holden Turnover.,11,23
9:20,12,Deandre Ayton Steal.,11,23
9:13,12,Keanu Pinder Turnover.,11,23
8:51,2934,Greg Lee missed Jumper.,11,23
8:51,2934,CSU Bakersfield Offensive Rebound.,11,23
8:35,2934,Shon Briggs made Jumper.,13,23
8:19,2934,Foul on Moataz Aly.,13,23
8:19,12,Parker Jackson-Cartwright made Free Throw.,13,24
8:19,12,Parker Jackson-Cartwright made Free Throw.,13,25
8:06,2934,Moataz Aly made Dunk. Assisted by Jarkel Joiner.,15,25
7:47,12,Dusan Ristic made Jumper. Assisted by Allonzo Trier.,15,27
7:25,2934,Jarkel Joiner missed Three Point Jumper.,15,27
7:25,12,Ira Lee Defensive Rebound.,15,27
7:17,12,Dylan Smith missed Three Point Jumper.,15,27
7:17,2934,Moataz Aly Defensive Rebound.,15,27
6:58,2934,Moataz Aly made Jumper.,17,27
6:36,2934,Foul on Moataz Aly.,17,27
6:36,12,Official TV Timeout,17,27
6:36,12,Dusan Ristic made Free Throw.,17,28
6:36,12,Dusan Ristic made Free Throw.,17,29
6:19,2934,Jarkel Joiner missed Jumper.,17,29
6:19,12,Ira Lee Defensive Rebound.,17,29
6:06,12,Alex Barcello missed Three Point Jumper.,17,29
6:06,2934,Jarkel Joiner Defensive Rebound.,17,29
5:56,2934,Greg Lee missed Jumper.,17,29
5:56,12,Dylan Smith Block.,17,29
5:56,12,Allonzo Trier Defensive Rebound.,17,29
5:33,12,Dylan Smith missed Jumper.,17,29
5:33,12,Ira Lee Offensive Rebound.,17,29
5:28,12,Ira Lee Turnover.,17,29
5:28,2934,Rickey Holden Steal.,17,29
5:22,2934,Rickey Holden made Layup.,19,29
5:09,2934,Foul on Fallou Ndoye.,19,29
5:09,12,Dusan Ristic made Free Throw.,19,30
5:09,12,Dusan Ristic made Free Throw.,19,31
4:56,2934,Justin Davis missed Three Point Jumper.,19,31
4:56,2934,Fallou Ndoye Offensive Rebound.,19,31
4:54,2934,Fallou Ndoye Turnover.,19,31
4:54,12,Jump Ball won by Arizona,19,31
4:30,12,Alex Barcello made Three Point Jumper. Assisted by Brandon Randolph.,19,34
4:25,12,Foul on Deandre Ayton.,19,34
4:15,12,Foul on Alex Barcello.,19,34
4:02,2934,Rickey Holden missed Jumper.,19,34
4:02,12,Deandre Ayton Defensive Rebound.,19,34
3:55,12,Brandon Randolph missed Layup.,19,34
3:55,12,Dusan Ristic Offensive Rebound.,19,34
3:55,12,Dusan Ristic made Two Point Tip Shot.,19,36
3:49,12,Official TV Timeout,19,36
3:22,2934,Shon Briggs missed Layup.,19,36
3:22,2934,Brent Wrapp Offensive Rebound.,19,36
3:22,2934,Brent Wrapp made Two Point Tip Shot.,21,36
2:47,2934,Foul on Jarkel Joiner.,21,36
2:47,12,Allonzo Trier made Free Throw.,21,37
