East-West University,2130,Chicago State,3107
time,team_id,description,h_score,a_score
19:41,-1,Eric Spencer missed Layup.,0,0
19:41,2130,Anthony Harris Block.,0,0
19:38,-1,Patrick Rucker Offensive Rebound.,0,0
19:34,-1,Sherman Carter missed Layup.,0,0
19:34,-1,Markus Johnson Offensive Rebound.,0,0
19:31,-1,Markus Johnson made Layup.,2,0
19:15,2130,Patrick Szpir Turnover.,2,0
18:54,-1,Patrick Rucker missed Three Point Jumper.,2,0
18:54,2130,Fred Sims Jr. Defensive Rebound.,2,0
18:39,2130,Montana Byrd missed Jumper.,2,0
18:39,-1,Carl Moore Defensive Rebound.,2,0
18:27,-1,Carl Moore Turnover.,2,0
18:26,2130,Montana Byrd Steal.,2,0
18:18,2130,Deionte Simmons made Layup. Assisted by Glen Burns.,2,2
17:53,-1,Sherman Carter missed Three Point Jumper.,2,2
17:53,2130,Glen Burns Defensive Rebound.,2,2
17:48,2130,Glen Burns Turnover.,2,2
17:41,-1,Eric Spencer missed Jumper.,2,2
17:41,2130,Deionte Simmons Defensive Rebound.,2,2
17:32,2130,Fred Sims Jr. missed Jumper.,2,2
17:32,2130,Deionte Simmons Offensive Rebound.,2,2
17:29,2130,Deionte Simmons made Layup.,2,4
17:23,-1,Patrick Rucker Turnover.,2,4
17:21,2130,Anthony Harris Steal.,2,4
17:20,2130,Anthony Harris made Layup.,2,6
17:20,-1,Foul on Patrick Rucker.,2,6
17:20,2130,Anthony Harris missed Free Throw.,2,6
17:20,-1,Sherman Brown Defensive Rebound.,2,6
17:12,-1,Carl Moore missed Three Point Jumper.,2,6
17:12,2130,Glen Burns Defensive Rebound.,2,6
16:50,2130,Montana Byrd made Three Point Jumper. Assisted by Glen Burns.,2,9
16:37,2130,Foul on Anthony Harris.,2,9
16:37,-1,Carl Moore made Layup. Assisted by Patrick Rucker.,4,9
16:37,2130,Anthony Harris missed Three Point Jumper.,4,9
16:37,-1,Patrick Rucker Defensive Rebound.,4,9
16:20,-1,Carl Moore missed Three Point Jumper.,4,9
16:20,2130,Chicago State Defensive Rebound.,4,9
15:59,2130,Official TV Timeout,4,9
15:47,2130,Montana Byrd made Three Point Jumper. Assisted by Glen Burns.,4,12
15:18,2130,Foul on Montana Byrd.,4,12
15:09,-1,Carl Moore made Layup. Assisted by Sherman Carter.,6,12
14:52,2130,Montana Byrd missed Layup.,6,12
14:52,-1,Sherman Brown Block.,6,12
14:52,2130,Chicago State Offensive Rebound.,6,12
14:46,2130,Deionte Simmons missed Layup.,6,12
14:46,-1,Patrick Rucker Defensive Rebound.,6,12
14:40,2130,Foul on Deionte Simmons.,6,12
14:40,-1,Patrick Rucker made Free Throw.,7,12
14:40,-1,Patrick Rucker missed Free Throw.,7,12
14:40,2130,Cameron Bowles Defensive Rebound.,7,12
14:31,-1,Foul on Sherman Brown.,7,12
14:09,2130,Cameron Bowles Turnover.,7,12
13:59,-1,Patrick Rucker Turnover.,7,12
13:57,2130,Cameron Bowles Steal.,7,12
13:56,2130,Cameron Bowles Turnover.,7,12
13:55,-1,Carl Moore Steal.,7,12
13:54,2130,Foul on Cameron Bowles.,7,12
13:54,-1,Markus Johnson missed Free Throw.,7,12
13:54,-1,East-West University Deadball Team Rebound.,7,12
13:54,-1,Markus Johnson made Free Throw.,8,12
13:39,2130,Jelani Pruitt missed Jumper.,8,12
13:39,-1,Markus Johnson Block.,8,12
13:37,-1,Cortland Gillespie Defensive Rebound.,8,12
13:13,-1,Cortland Gillespie missed Three Point Jumper.,8,12
13:13,2130,Cameron Bowles Defensive Rebound.,8,12
13:03,2130,Jelani Pruitt made Three Point Jumper. Assisted by Glen Burns.,8,15
12:49,-1,Cortland Gillespie Turnover.,8,15
12:35,-1,Foul on Carl Moore.,8,15
12:35,2130,Glen Burns missed Free Throw.,8,15
12:35,2130,Chicago State Deadball Team Rebound.,8,15
12:35,2130,Glen Burns made Free Throw.,8,16
12:31,-1,Cortland Gillespie Turnover.,8,16
12:14,2130,Jelani Pruitt missed Three Point Jumper.,8,16
12:14,2130,Jalen Stephens-Holmes Offensive Rebound.,8,16
12:09,2130,Jalen Stephens-Holmes made Layup.,8,18
11:59,-1,Carl Moore missed Jumper.,8,18
11:59,2130,Fred Sims Jr. Defensive Rebound.,8,18
11:53,2130,Fred Sims Jr. made Jumper.,8,20
11:38,-1,Sherman Carter missed Layup.,8,20
11:38,2130,Jalen Stephens-Holmes Block.,8,20
11:38,2130,Chicago State Defensive Rebound.,8,20
11:38,2130,Official TV Timeout,8,20
11:13,2130,Jelani Pruitt missed Jumper.,8,20
11:13,2130,Jalen Stephens-Holmes Offensive Rebound.,8,20
11:09,2130,Jalen Stephens-Holmes made Layup.,8,22
10:45,-1,Patrick Rucker missed Layup.,8,22
10:45,2130,Fred Sims Jr. Defensive Rebound.,8,22
10:35,2130,Fred Sims Jr. missed Layup.,8,22
