Edward Waters,Error,North Florida,2454
time,team_id,description,h_score,a_score
19:55,2454,J.T. Escobar Turnover.,0,0
19:36,-1,Robert Thomas III Turnover.,0,0
19:34,2454,J.T. Escobar Steal.,0,0
19:26,2454,J.T. Escobar missed Three Point Jumper.,0,0
19:26,-1,Omar Banaga Defensive Rebound.,0,0
19:04,-1,Blake Harper Turnover.,0,0
18:48,2454,J.T. Escobar made Three Point Jumper. Assisted by Ivan Gandia-Rosa.,0,3
18:23,-1,Rasaad Morgan missed Jumper.,0,3
18:23,-1,Trumell McCrimmon II Offensive Rebound.,0,3
18:21,2454,Foul on Noah Horchler.,0,3
18:21,-1,Trumell McCrimmon II missed Free Throw.,0,3
18:21,-1,Edward Waters College Fla Deadball Team Rebound.,0,3
18:21,-1,Trumell McCrimmon II made Free Throw.,1,3
18:16,2454,Garrett Sams missed Three Point Jumper.,1,3
18:16,2454,North Florida Offensive Rebound.,1,3
18:12,2454,J.T. Escobar missed Three Point Jumper.,1,3
18:12,2454,Noah Horchler Offensive Rebound.,1,3
18:08,2454,Noah Horchler made Layup.,1,5
17:53,-1,Rasaad Morgan missed Jumper.,1,5
17:53,2454,Wajid Aminu Defensive Rebound.,1,5
17:46,2454,Ivan Gandia-Rosa made Three Point Jumper. Assisted by Garrett Sams.,1,8
17:29,-1,Trumell McCrimmon II missed Layup.,1,8
17:29,-1,Omar Banaga Offensive Rebound.,1,8
17:25,-1,Robert Thomas III made Three Point Jumper. Assisted by Omar Banaga.,4,8
17:17,2454,J.T. Escobar made Three Point Jumper. Assisted by Ivan Gandia-Rosa.,4,11
17:00,-1,Omar Banaga missed Layup.,4,11
17:00,2454,Noah Horchler Block.,4,11
16:58,-1,Edward Waters College Fla Offensive Rebound.,4,11
16:47,-1,Trumell McCrimmon II missed Layup.,4,11
16:47,2454,Garrett Sams Defensive Rebound.,4,11
16:37,2454,J.T. Escobar made Three Point Jumper. Assisted by Garrett Sams.,4,14
16:22,2454,Foul on Wajid Aminu.,4,14
16:22,-1,Rasaad Morgan missed Free Throw.,4,14
16:22,-1,Edward Waters College Fla Deadball Team Rebound.,4,14
16:22,-1,Rasaad Morgan missed Free Throw.,4,14
16:22,2454,J.T. Escobar Defensive Rebound.,4,14
16:22,-1,Foul on Alex Thomas.,4,14
16:10,2454,Ivan Gandia-Rosa Turnover.,4,14
16:08,-1,Blake Harper Steal.,4,14
15:52,-1,Rasaad Morgan Turnover.,4,14
15:51,2454,Garrett Sams Steal.,4,14
15:44,2454,Wajid Aminu made Jumper. Assisted by Ivan Gandia-Rosa.,4,16
15:27,-1,Rasaad Morgan missed Jumper.,4,16
15:27,-1,Alex Thomas Offensive Rebound.,4,16
15:17,-1,Omar Banaga made Three Point Jumper. Assisted by Alex Thomas.,7,16
15:05,2454,Garrett Sams made Three Point Jumper. Assisted by Wajid Aminu.,7,19
14:35,-1,Robert Thomas III missed Three Point Jumper.,7,19
14:35,2454,J.T. Escobar Defensive Rebound.,7,19
14:27,2454,Garrett Sams missed Three Point Jumper.,7,19
14:27,2454,Trip Day Offensive Rebound.,7,19
14:22,2454,Trip Day made Layup.,7,21
14:15,-1,Edward Waters College Fla  Timeout,7,21
14:05,-1,Jonathon Hart made Layup.,9,21
13:43,2454,Trip Day Turnover.,9,21
13:43,-1,Jonathon Hart Steal.,9,21
13:41,2454,Foul on Trip Day.,9,21
13:29,2454,Foul on Trip Day.,9,21
13:26,-1,Charles-Eddie Smith missed Three Point Jumper.,9,21
13:26,-1,Alex Thomas Offensive Rebound.,9,21
13:21,-1,Alex Thomas missed Layup.,9,21
13:21,-1,Jonathon Hart Offensive Rebound.,9,21
13:17,-1,Alex Thomas missed Layup.,9,21
13:17,2454,Ryan Burkhardt Defensive Rebound.,9,21
13:12,2454,Garrett Sams made Three Point Jumper. Assisted by Osborn Blount.,9,24
12:46,-1,Omar Banaga made Three Point Jumper. Assisted by Charles-Eddie Smith.,12,24
12:39,2454,Ivan Gandia-Rosa made Three Point Jumper.,12,27
12:12,-1,Jonathon Hart missed Layup.,12,27
12:12,2454,Garrett Sams Defensive Rebound.,12,27
12:04,-1,Foul on Jonathon Hart.,12,27
12:03,2454,Garrett Sams made Free Throw.,12,28
12:03,2454,Garrett Sams made Free Throw.,12,29
11:50,2454,Foul on Garrett Sams.,12,29
11:36,-1,Jonathon Hart made Layup.,14,29
11:24,2454,Noah Horchler missed Jumper.,14,29
11:24,-1,Jonathon Hart Defensive Rebound.,14,29
11:10,-1,Jonathon Hart made Dunk. Assisted by Charles-Eddie Smith.,16,29
10:54,2454,Osborn Blount made Layup.,16,31
10:40,-1,Charles-Eddie Smith missed Three Point Jumper.,16,31
10:40,-1,Alex Thomas Offensive Rebound.,16,31
10:36,-1,Alex Thomas made Dunk.,18,31
10:26,-1,Foul on Jonathon Hart.,18,31
10:26,2454,Noah Horchler missed Free Throw.,18,31
10:26,2454,North Florida Deadball Team Rebound.,18,31
10:26,2454,Noah Horchler made Free Throw.,18,32
10:17,-1,Prince Braynen Turnover.,18,32
10:15,2454,Wajid Aminu Steal.,18,32
10:12,2454,Wajid Aminu missed Layup.,18,32
10:12,-1,Edward Waters College Fla Defensive Rebound.,18,32
9:58,-1,Charles-Eddie Smith missed Layup.,18,32
9:58,2454,Trip Day Defensive Rebound.,18,32
9:29,2454,Osborn Blount missed Three Point Jumper.,18,32
9:29,2454,Trip Day Offensive Rebound.,18,32
9:13,2454,Trip Day missed Layup.,18,32
9:13,-1,Rasaad Morgan Defensive Rebound.,18,32
9:05,-1,Prince Braynen missed Layup.,18,32
9:05,2454,Wajid Aminu Defensive Rebound.,18,32
8:42,-1,Foul on Deatry Lang.,18,32
8:26,2454,Wajid Aminu missed Layup.,18,32
8:26,-1,Rasaad Morgan Defensive Rebound.,18,32
8:13,-1,Trumell McCrimmon II made Layup. Assisted by Prince Braynen.,20,32
7:59,2454,J.T. Escobar missed Three Point Jumper.,20,32
7:59,-1,Trumell McCrimmon II Defensive Rebound.,20,32
7:58,2454,Foul on Wajid Aminu.,20,32
7:58,2454,Official TV Timeout,20,32
7:41,-1,Charles-Eddie Smith missed Layup.,20,32
7:41,2454,Trip Day Block.,20,32
7:40,2454,Trip Day Defensive Rebound.,20,32
7:22,2454,Foul on Wajid Aminu.,20,32
7:22,2454,Trip Day Turnover.,20,32
7:08,-1,Rasaad Morgan missed Layup.,20,32
7:08,-1,Rasaad Morgan Offensive Rebound.,20,32
6:57,-1,Rasaad Morgan made Layup.,22,32
6:48,2454,Trip Day made Three Point Jumper. Assisted by Ivan Gandia-Rosa.,22,35
6:33,-1,Prince Braynen Turnover.,22,35
6:15,2454,Ivan Gandia-Rosa made Three Point Jumper.,22,38
6:15,2454,North Florida  Timeout,22,38
6:15,2454,Ivan Gandia-Rosa made Free Throw.,22,39
6:15,-1,Foul on Trumell McCrimmon II.,22,38
6:00,-1,Omar Banaga made Three Point Jumper.,25,39
5:48,2454,J.T. Escobar Turnover.,25,39
5:45,-1,Robert Thomas III Steal.,25,39
5:37,-1,Robert Thomas III made Jumper.,27,39
5:33,-1,Foul on Trumell McCrimmon II.,27,39
5:17,-1,Foul on Charles-Eddie Smith.,27,39
5:17,2454,Garrett Sams made Free Throw.,27,40
5:17,2454,Garrett Sams missed Free Throw.,27,40
5:17,-1,Alex Thomas Defensive Rebound.,27,40
5:00,2454,Foul on Garrett Sams.,27,40
5:00,-1,Omar Banaga made Free Throw.,28,40
5:00,-1,Omar Banaga made Free Throw.,29,40
4:45,-1,Foul on Rasaad Morgan.,29,40
4:45,2454,Trip Day missed Free Throw.,29,40
4:45,2454,North Florida Deadball Team Rebound.,29,40
4:45,2454,Trip Day made Free Throw.,29,41
4:32,-1,Rasaad Morgan made Layup. Assisted by Robert Thomas III.,31,41
4:23,2454,Ivan Gandia-Rosa made Layup.,31,43
4:08,-1,Blake Harper Turnover.,31,43
3:54,2454,Trip Day missed Layup.,31,43
3:54,-1,Rasaad Morgan Block.,31,43
3:52,2454,Trip Day Offensive Rebound.,31,43
3:49,2454,Trip Day missed Layup.,31,43
3:49,-1,Alex Thomas Defensive Rebound.,31,43
3:39,-1,Blake Harper missed Three Point Jumper.,31,43
3:39,-1,Rasaad Morgan Offensive Rebound.,31,43
3:32,-1,Alex Thomas Turnover.,31,43
3:32,2454,Official TV Timeout,31,43
3:19,2454,Ryan Burkhardt missed Three Point Jumper.,31,43
3:19,-1,Alex Thomas Defensive Rebound.,31,43
3:10,-1,Omar Banaga missed Jumper.,31,43
3:10,2454,Garrett Sams Defensive Rebound.,31,43
3:01,2454,Garrett Sams Turnover.,31,43
2:59,-1,Rasaad Morgan Steal.,31,43
2:50,-1,Charles-Eddie Smith Turnover.,31,43
2:48,2454,Trip Day Steal.,31,43
2:44,2454,Osborn Blount made Three Point Jumper. Assisted by Ivan Gandia-Rosa.,31,46
2:21,2454,Foul on Trip Day.,31,46
2:21,-1,Alex Thomas missed Free Throw.,31,46
2:21,-1,Edward Waters College Fla Deadball Team Rebound.,31,46
