Brevard College,Error,Gardner-Webb,2241
time,team_id,description,h_score,a_score
19:46,2241,Liam O'Reilly missed Three Point Jumper.,0,0
19:46,2241,DJ Laster Offensive Rebound.,0,0
19:37,2241,David Efianayi made Layup.,0,2
19:24,-1,Jakob Bergen missed Three Point Jumper.,0,2
19:24,2241,Liam O'Reilly Defensive Rebound.,0,2
19:14,2241,David Efianayi made Three Point Jumper. Assisted by Liam O'Reilly.,0,5
18:57,-1,Jakob Bergen Turnover.,0,5
18:57,-1,Foul on Jakob Bergen.,0,5
18:40,2241,DJ Laster missed Jumper.,0,5
18:40,2241,DJ Laster Offensive Rebound.,0,5
18:38,2241,DJ Laster missed Jumper.,0,5
18:38,-1,Divese Cason Defensive Rebound.,0,5
18:21,-1,Divese Cason missed Jumper.,0,5
18:21,-1,Divese Cason Offensive Rebound.,0,5
18:21,2241,Foul on L'Hassane Niangane.,0,5
18:21,-1,Divese Cason made Free Throw.,1,5
18:21,-1,Divese Cason missed Free Throw.,1,5
18:21,2241,L'Hassane Niangane Defensive Rebound.,1,5
17:58,-1,Foul on Divese Cason.,1,5
17:58,2241,David Efianayi made Free Throw.,1,6
17:58,2241,David Efianayi missed Free Throw.,1,6
17:58,-1,Levi Lamb Defensive Rebound.,1,6
17:41,-1,JaMarquis Johnson made Layup. Assisted by Levi Lamb.,3,6
17:29,2241,David Efianayi made Three Point Jumper. Assisted by Liam O'Reilly.,3,9
17:18,2241,Foul on L'Hassane Niangane.,3,9
17:09,-1,Levi Lamb missed Jumper.,3,9
17:09,2241,Brandon Miller Defensive Rebound.,3,9
16:54,2241,DJ Laster missed Jumper.,3,9
16:54,2241,DJ Laster Offensive Rebound.,3,9
16:51,2241,DJ Laster made Dunk.,3,11
16:38,-1,Divese Cason missed Three Point Jumper.,3,11
16:38,2241,Brandon Miller Defensive Rebound.,3,11
16:30,2241,David Efianayi made Layup.,3,13
16:12,2241,Foul on DJ Laster.,3,13
16:12,-1,JaMarquis Johnson missed Three Point Jumper.,3,13
16:12,2241,David Efianayi Defensive Rebound.,3,13
