Louisiana,2751,Wyoming,309
time,team_id,description,h_score,a_score
19:45,309,Foul on Marcus Stroman.,0,0
19:36,2751,Foul on Hunter Maldonado.,0,0
19:36,2751,Hunter Maldonado Turnover.,0,0
19:14,309,JaKeenan Gant Turnover.,0,0
18:45,2751,Hunter Maldonado missed Three Point Jumper.,0,0
18:45,309,Louisiana Defensive Rebound.,0,0
18:31,309,Marcus Stroman made Jumper.,2,0
18:22,2751,Nyaires Redding missed Layup.,2,0
18:22,309,Marcus Stroman Block.,2,0
18:17,309,Marcus Stroman Defensive Rebound.,2,0
18:10,309,Bryce Washington missed Layup.,2,0
18:10,309,Bryce Washington Offensive Rebound.,2,0
18:06,309,Bryce Washington missed Layup.,2,0
18:06,2751,Hunter Maldonado Defensive Rebound.,2,0
17:59,2751,Justin James made Jumper. Assisted by Hayden Dalton.,2,2
17:27,309,Malik Marquetti missed Jumper.,2,2
17:27,309,Louisiana Offensive Rebound.,2,2
17:27,2751,Foul on Nyaires Redding.,2,2
17:16,309,JaKeenan Gant missed Layup.,2,2
17:16,2751,Alan Herndon Block.,2,2
17:15,2751,Hayden Dalton Defensive Rebound.,2,2
16:58,2751,Justin James Turnover.,2,2
16:57,309,Marcus Stroman Steal.,2,2
16:50,309,Marcus Stroman made Layup.,4,2
16:22,309,Foul on JaKeenan Gant.,4,2
16:22,2751,Alan Herndon made Free Throw.,4,3
16:22,2751,Alan Herndon missed Free Throw.,4,3
16:22,309,Malik Marquetti Defensive Rebound.,4,3
16:04,309,Marcus Stroman missed Three Point Jumper.,4,3
16:04,2751,Alan Herndon Defensive Rebound.,4,3
15:47,2751,Justin James missed Jumper.,4,3
15:47,2751,Justin James Offensive Rebound.,4,3
15:44,2751,Hunter Maldonado missed Three Point Jumper.,4,3
15:44,309,Bryce Washington Defensive Rebound.,4,3
15:30,309,Frank Bartley IV missed Three Point Jumper.,4,3
15:30,2751,Hayden Dalton Defensive Rebound.,4,3
15:20,2751,Alan Herndon missed Three Point Jumper.,4,3
15:20,309,Frank Bartley IV Defensive Rebound.,4,3
15:09,309,Marcus Stroman missed Layup.,4,3
15:09,2751,Alan Herndon Defensive Rebound.,4,3
15:03,2751,Cody Kelley missed Three Point Jumper.,4,3
15:03,2751,Justin James Offensive Rebound.,4,3
14:47,2751,Justin James Turnover.,4,3
14:47,2751,Official TV Timeout,4,3
14:21,309,Justin Miller missed Jumper.,4,3
14:21,2751,Hayden Dalton Defensive Rebound.,4,3
14:20,309,Foul on Justin Miller.,4,3
14:02,2751,Justin James Turnover.,4,3
13:41,309,Bryce Washington made Layup.,6,3
13:35,309,Foul on Malik Marquetti.,6,3
13:14,2751,Hayden Dalton Turnover.,6,3
13:13,309,Bryce Washington Steal.,6,3
13:00,2751,Foul on Hayden Dalton.,6,3
12:58,309,P.J. Hardy missed Jumper.,6,3
12:58,2751,Wyoming Defensive Rebound.,6,3
12:56,309,Foul on Justin Miller.,6,3
12:33,2751,Justin James missed Jumper.,6,3
12:33,2751,Andrew Moemeka Offensive Rebound.,6,3
12:27,2751,Alan Herndon made Three Point Jumper. Assisted by Andrew Moemeka.,6,6
12:07,309,Cedric Russell missed Three Point Jumper.,6,6
12:07,2751,Alexander Aka Gorski Defensive Rebound.,6,6
11:59,309,Foul on Cedric Russell.,6,6
11:59,2751,Official TV Timeout,6,6
11:43,2751,Hayden Dalton made Jumper.,6,8
11:09,309,Bryce Washington made Jumper.,8,8
10:52,2751,Louis Adams made Layup.,8,10
10:42,309,Frank Bartley IV missed Three Point Jumper.,8,10
10:42,2751,Andrew Moemeka Block.,8,10
10:38,309,Bryce Washington Offensive Rebound.,8,10
10:25,309,Malik Marquetti missed Three Point Jumper.,8,10
10:25,309,JaKeenan Gant Offensive Rebound.,8,10
10:21,309,JaKeenan Gant missed Layup.,8,10
10:21,2751,Alexander Aka Gorski Defensive Rebound.,8,10
10:13,2751,Hayden Dalton missed Three Point Jumper.,8,10
10:13,309,JaKeenan Gant Defensive Rebound.,8,10
10:02,309,Marcus Stroman missed Jumper.,8,10
10:02,309,Bryce Washington Offensive Rebound.,8,10
9:43,309,JaKeenan Gant made Layup. Assisted by Malik Marquetti.,10,10
9:28,2751,Alexander Aka Gorski missed Three Point Jumper.,10,10
9:28,309,Malik Marquetti Defensive Rebound.,10,10
9:19,2751,Foul on Alexander Aka Gorski.,10,10
9:19,309,Frank Bartley IV made Free Throw.,11,10
9:19,309,Frank Bartley IV made Free Throw.,12,10
8:54,2751,Alan Herndon made Three Point Jumper. Assisted by Louis Adams.,12,13
8:24,309,Malik Marquetti Turnover.,12,13
7:57,2751,Hayden Dalton missed Jumper.,12,13
7:57,309,Marcus Stroman Defensive Rebound.,12,13
7:51,309,Cedric Russell missed Three Point Jumper.,12,13
7:51,2751,Alexander Aka Gorski Defensive Rebound.,12,13
7:44,2751,Alexander Aka Gorski missed Three Point Jumper.,12,13
7:44,309,Frank Bartley IV Defensive Rebound.,12,13
7:39,2751,Official TV Timeout,12,13
7:26,2751,Foul on Justin James.,12,13
