Towson,219,Pennsylvania,119
time,team_id,description,h_score,a_score
19:43,219,Antonio Woods missed Three Point Jumper.,0,0
19:43,219,Max Rothschild Offensive Rebound.,0,0
19:38,219,Antonio Woods missed Layup.,0,0
19:38,119,Towson Defensive Rebound.,0,0
19:16,119,Zane Martin missed Jumper.,0,0
19:16,219,Max Rothschild Defensive Rebound.,0,0
19:00,219,Darnell Foreman made Three Point Jumper. Assisted by Antonio Woods.,0,3
18:33,119,Mike Morsell missed Three Point Jumper.,0,3
18:33,219,Ryan Betley Defensive Rebound.,0,3
18:26,219,Max Rothschild missed Layup.,0,3
18:26,119,Alex Thomas Block.,0,3
18:25,119,Brian Starr Defensive Rebound.,0,3
18:05,119,Brian Starr missed Three Point Jumper.,0,3
18:05,219,Antonio Woods Defensive Rebound.,0,3
17:55,219,Ryan Betley made Three Point Jumper. Assisted by Darnell Foreman.,0,6
17:51,119,Towson  Timeout,0,6
17:31,119,Eddie Keith II made Jumper.,2,6
17:31,219,Foul on AJ Brodeur.,2,6
17:31,119,Eddie Keith II missed Free Throw.,2,6
17:31,219,Max Rothschild Defensive Rebound.,2,6
17:18,219,Ryan Betley made Layup. Assisted by Max Rothschild.,2,8
17:04,119,Zane Martin missed Jumper.,2,8
17:04,219,AJ Brodeur Defensive Rebound.,2,8
16:58,219,Antonio Woods missed Three Point Jumper.,2,8
16:58,119,Zane Martin Defensive Rebound.,2,8
16:44,119,Justin Gorham made Layup. Assisted by Eddie Keith II.,4,8
16:27,219,AJ Brodeur made Layup. Assisted by Max Rothschild.,4,10
16:07,119,Zane Martin missed Three Point Jumper.,4,10
16:07,219,Darnell Foreman Defensive Rebound.,4,10
16:00,219,AJ Brodeur made Layup. Assisted by Darnell Foreman.,4,12
15:29,119,Justin Gorham missed Jumper.,4,12
15:29,219,Darnell Foreman Defensive Rebound.,4,12
15:23,219,Darnell Foreman Turnover.,4,12
15:22,119,Zane Martin Steal.,4,12
15:15,119,Eddie Keith II made Layup.,6,12
15:07,119,Foul on Eddie Keith II.,6,12
15:07,219,Official TV Timeout,6,12
15:07,119,Technical Foul on Eddie Keith II.,6,12
15:07,119,Foul on Eddie Keith II.,6,12
15:07,219,Ryan Betley made Free Throw.,6,13
15:07,219,Ryan Betley made Free Throw.,6,14
15:02,219,Caleb Wood made Layup. Assisted by Max Rothschild.,6,16
14:30,119,Dennis Tunstall missed Jumper.,6,16
14:30,119,Towson Offensive Rebound.,6,16
14:18,119,Mike Morsell missed Jumper.,6,16
14:18,219,Max Rothschild Defensive Rebound.,6,16
