Texas,2670,VCU,251
time,team_id,description,h_score,a_score
20:00,251,Jump Ball won by Texas,0,0
19:46,251,Mohamed Bamba made Jumper. Assisted by Matt Coleman.,2,0
19:26,2670,Justin Tillman missed Three Point Jumper.,2,0
19:26,251,Dylan Osetkowski Defensive Rebound.,2,0
19:13,251,Dylan Osetkowski Turnover.,2,0
19:13,2670,Xavier Jackson Steal.,2,0
19:01,2670,Jonathan Williams made Jumper.,2,2
18:49,251,Andrew Jones made Layup.,4,2
18:22,2670,Justin Tillman missed Jumper.,4,2
18:22,251,Mohamed Bamba Block.,4,2
18:22,251,Kerwin Roach II Defensive Rebound.,4,2
18:11,251,Matt Coleman missed Layup.,4,2
18:11,251,Kerwin Roach II Offensive Rebound.,4,2
18:05,251,Dylan Osetkowski made Three Point Jumper. Assisted by Kerwin Roach II.,7,2
17:55,2670,Khris Lane missed Layup.,7,2
17:55,251,Dylan Osetkowski Defensive Rebound.,7,2
17:49,251,Andrew Jones made Layup.,9,2
17:30,2670,De'Riante Jenkins missed Three Point Jumper.,9,2
17:30,251,Texas Defensive Rebound.,9,2
17:18,251,Andrew Jones missed Three Point Jumper.,9,2
17:18,2670,Khris Lane Defensive Rebound.,9,2
16:56,251,Foul on Kerwin Roach II.,9,2
16:45,2670,Issac Vann Turnover.,9,2
16:34,2670,Foul on Issac Vann.,9,2
16:15,251,Andrew Jones made Three Point Jumper. Assisted by Matt Coleman.,12,2
16:12,251,Texas  Timeout,12,2
16:05,2670,Tyler Maye missed Jumper.,12,2
16:05,2670,VCU Offensive Rebound.,12,2
15:59,2670,Official TV Timeout,12,2
15:46,2670,Justin Tillman missed Jumper.,12,2
15:46,251,Mohamed Bamba Block.,12,2
15:46,2670,VCU Offensive Rebound.,12,2
15:42,2670,Sean Mobley Turnover.,12,2
15:42,251,Mohamed Bamba Steal.,12,2
15:34,2670,Foul on Jonathan Williams.,12,2
15:34,251,Andrew Jones made Free Throw.,13,2
15:34,251,Andrew Jones made Free Throw.,14,2
15:31,2670,Issac Vann missed Three Point Jumper.,14,2
15:31,2670,De'Riante Jenkins Offensive Rebound.,14,2
15:14,2670,De'Riante Jenkins missed Jumper.,14,2
15:14,251,Dylan Osetkowski Defensive Rebound.,14,2
15:06,251,Andrew Jones missed Layup.,14,2
15:06,2670,Justin Tillman Defensive Rebound.,14,2
15:05,251,Foul on Jericho Sims.,14,2
14:51,2670,Justin Tillman made Three Point Jumper. Assisted by Jonathan Williams.,14,5
14:19,251,Dylan Osetkowski missed Layup.,14,5
14:19,2670,Marcus Santos-Silva Defensive Rebound.,14,5
14:10,2670,De'Riante Jenkins missed Three Point Jumper.,14,5
14:10,251,Mohamed Bamba Defensive Rebound.,14,5
14:00,251,Dylan Osetkowski made Layup. Assisted by Kerwin Roach II.,16,5
13:47,2670,Foul on Marcus Santos-Silva.,16,5
13:47,2670,Marcus Santos-Silva Turnover.,16,5
13:31,251,Mohamed Bamba missed Jumper.,16,5
13:31,2670,Marcus Santos-Silva Defensive Rebound.,16,5
13:17,2670,Marcus Santos-Silva made Layup. Assisted by Jonathan Williams.,16,7
13:00,251,Mohamed Bamba made Dunk.,18,7
12:40,2670,Marcus Santos-Silva made Layup.,18,9
12:18,251,Dylan Osetkowski missed Three Point Jumper.,18,9
12:18,2670,Jonathan Williams Defensive Rebound.,18,9
12:03,251,Foul on Matt Coleman.,18,9
12:03,2670,Jonathan Williams made Free Throw.,18,10
12:03,2670,Jonathan Williams missed Free Throw.,18,10
12:03,2670,VCU Deadball Team Rebound.,18,10
12:03,2670,Jonathan Williams made Free Throw.,18,11
11:54,251,Andrew Jones Turnover.,18,11
11:54,2670,Official TV Timeout,18,11
11:41,2670,Lewis Djonkam Turnover.,18,11
11:34,251,Jericho Sims made Dunk. Assisted by Kerwin Roach II.,20,11
11:07,2670,Xavier Jackson missed Three Point Jumper.,20,11
11:07,2670,Justin Tillman Offensive Rebound.,20,11
11:02,2670,Justin Tillman missed Layup.,20,11
11:02,2670,Lewis Djonkam Offensive Rebound.,20,11
10:59,2670,VCU  Turnover.,20,11
10:38,251,Andrew Jones made Three Point Jumper. Assisted by Kerwin Roach II.,23,11
10:18,2670,Jonathan Williams missed Layup.,23,11
10:18,251,Texas Defensive Rebound.,23,11
10:09,251,Matt Coleman missed Jumper.,23,11
10:09,2670,De'Riante Jenkins Defensive Rebound.,23,11
10:01,2670,De'Riante Jenkins missed Layup.,23,11
10:01,2670,De'Riante Jenkins Offensive Rebound.,23,11
9:54,2670,Justin Tillman missed Layup.,23,11
9:54,2670,Justin Tillman Offensive Rebound.,23,11
9:46,2670,Justin Tillman made Layup.,23,13
9:32,251,Dylan Osetkowski made Three Point Jumper. Assisted by Andrew Jones.,26,13
9:14,251,Foul on Dylan Osetkowski.,26,13
9:14,2670,Justin Tillman made Free Throw.,26,14
9:14,2670,Justin Tillman made Free Throw.,26,15
8:52,251,Andrew Jones made Three Point Jumper. Assisted by Matt Coleman.,29,15
8:41,2670,Jonathan Williams missed Jumper.,29,15
8:41,251,Mohamed Bamba Defensive Rebound.,29,15
8:36,2670,Foul on Justin Tillman.,29,15
8:25,251,Matt Coleman missed Layup.,29,15
8:25,2670,Mike'l Simms Defensive Rebound.,29,15
8:08,2670,Mike'l Simms made Three Point Jumper. Assisted by Jonathan Williams.,29,18
7:50,2670,Foul on Sean Mobley.,29,18
7:50,2670,Official TV Timeout,29,18
7:50,251,Mohamed Bamba made Free Throw.,30,18
7:50,251,Mohamed Bamba missed Free Throw.,30,18
7:50,2670,Sean Mobley Defensive Rebound.,30,18
7:26,2670,Khris Lane missed Layup.,30,18
7:26,251,Mohamed Bamba Block.,30,18
7:26,2670,VCU Offensive Rebound.,30,18
7:21,251,Foul on Mohamed Bamba.,30,18
7:21,2670,Khris Lane missed Free Throw.,30,18
7:21,2670,VCU Deadball Team Rebound.,30,18
7:21,2670,Khris Lane made Free Throw.,30,19
7:00,251,Eric Davis Jr. missed Three Point Jumper.,30,19
7:00,251,Mohamed Bamba Offensive Rebound.,30,19
6:54,2670,Foul on Mike'l Simms.,30,19
6:51,251,Dylan Osetkowski Turnover.,30,19
6:51,2670,Jonathan Williams Steal.,30,19
6:46,2670,Sean Mobley missed Three Point Jumper.,30,19
6:46,251,Kerwin Roach II Block.,30,19
6:46,251,Andrew Jones Defensive Rebound.,30,19
6:29,251,Andrew Jones Turnover.,30,19
6:07,2670,Jonathan Williams missed Jumper.,30,19
6:07,2670,Justin Tillman Offensive Rebound.,30,19
6:02,2670,Justin Tillman made Jumper.,30,21
5:41,251,Eric Davis Jr. made Layup.,32,21
5:36,2670,Mike'l Simms missed Three Point Jumper.,32,21
5:36,2670,Justin Tillman Offensive Rebound.,32,21
5:30,2670,Justin Tillman made Jumper.,32,23
4:56,251,Eric Davis Jr. missed Three Point Jumper.,32,23
4:56,251,Mohamed Bamba Offensive Rebound.,32,23
4:37,251,Mohamed Bamba missed Jumper.,32,23
4:37,2670,Justin Tillman Defensive Rebound.,32,23
4:09,2670,Jonathan Williams made Jumper.,32,25
3:58,251,Mohamed Bamba Turnover.,32,25
3:58,2670,Official TV Timeout,32,25
3:57,2670,De'Riante Jenkins Turnover.,32,25
3:57,251,Kerwin Roach II Steal.,32,25
3:51,251,Mohamed Bamba missed Layup.,32,25
3:51,251,Mohamed Bamba Offensive Rebound.,32,25
3:47,251,Mohamed Bamba missed Dunk.,32,25
3:47,2670,Xavier Jackson Defensive Rebound.,32,25
3:35,251,Foul on Eric Davis Jr..,32,25
3:35,2670,De'Riante Jenkins made Free Throw.,32,26
3:35,2670,De'Riante Jenkins missed Free Throw.,32,26
3:35,251,Mohamed Bamba Defensive Rebound.,32,26
3:23,2670,Foul on De'Riante Jenkins.,32,26
3:23,251,Dylan Osetkowski made Free Throw.,33,26
3:23,251,Dylan Osetkowski made Free Throw.,34,26
3:02,2670,Justin Tillman missed Three Point Jumper.,34,26
3:02,2670,Marcus Santos-Silva Offensive Rebound.,34,26
2:54,2670,Justin Tillman made Jumper.,34,28
2:23,251,Eric Davis Jr. made Jumper.,36,28
