Savannah State,258,Virginia,2542
time,team_id,description,h_score,a_score
20:00,258,Jump Ball won by Virginia,0,0
19:48,258,Kyle Guy missed Three Point Jumper.,0,0
19:48,258,Isaiah Wilkins Offensive Rebound.,0,0
19:34,258,Devon Hall made Three Point Jumper. Assisted by Isaiah Wilkins.,0,3
19:16,258,Foul on Kyle Guy.,0,3
19:07,2542,Austin Dasent missed Three Point Jumper.,0,3
19:07,258,Isaiah Wilkins Defensive Rebound.,0,3
18:44,258,Jack Salt made Dunk. Assisted by Ty Jerome.,0,5
18:34,2542,Zach Sellers missed Layup.,0,5
18:34,258,Isaiah Wilkins Defensive Rebound.,0,5
18:18,258,Kyle Guy missed Three Point Jumper.,0,5
18:18,2542,Austin Dasent Defensive Rebound.,0,5
18:07,2542,Dexter McClanahan missed Three Point Jumper.,0,5
18:07,258,Devon Hall Defensive Rebound.,0,5
17:50,258,Ty Jerome made Three Point Jumper.,0,8
17:27,2542,Dexter McClanahan missed Jumper.,0,8
17:27,2542,Dexter McClanahan Offensive Rebound.,0,8
17:21,2542,Javaris Jenkins missed Three Point Jumper.,0,8
17:21,2542,Maricus Glenn Offensive Rebound.,0,8
17:17,2542,Maricus Glenn Turnover.,0,8
16:59,258,Ty Jerome missed Jumper.,0,8
16:59,258,Isaiah Wilkins Offensive Rebound.,0,8
16:59,258,Isaiah Wilkins made Two Point Tip Shot.,0,10
16:45,2542,Javaris Jenkins missed Three Point Jumper.,0,10
16:45,258,Ty Jerome Defensive Rebound.,0,10
16:25,258,Ty Jerome made Jumper. Assisted by Devon Hall.,0,12
16:25,2542,Savannah State  Timeout,0,12
16:09,2542,Alante Fenner missed Layup.,0,12
16:09,258,Devon Hall Block.,0,12
16:09,2542,Savannah State Offensive Rebound.,0,12
15:53,2542,John Grant Jr. Turnover.,0,12
15:28,258,Nigel Johnson missed Three Point Jumper.,0,12
15:28,2542,Savannah State Defensive Rebound.,0,12
15:17,2542,Javaris Jenkins made Jumper.,2,12
14:49,258,Ty Jerome made Three Point Jumper. Assisted by Devon Hall.,2,15
14:36,2542,Ty'lik Evans Turnover.,2,15
14:36,258,Devon Hall Steal.,2,15
14:33,2542,Foul on Javaris Jenkins.,2,15
