Radford,2539,San Francisco,2515
time,team_id,description,h_score,a_score
19:28,2539,San Francisco  Turnover.,0,0
18:31,2539,Frankie Ferrari missed Jumper.,0,0
18:31,2539,Matt McCarthy Offensive Rebound.,0,0
18:27,2539,Matt McCarthy missed Jumper.,0,0
18:27,2539,Remu Raitanen Offensive Rebound.,0,0
18:22,2539,Remu Raitanen Turnover.,0,0
18:21,2515,Donald Hicks Steal.,0,0
18:10,2515,Carlik Jones made Layup.,2,0
17:43,2539,Remu Raitanen missed Three Point Jumper.,2,0
17:43,2515,Ed Polite Jr. Defensive Rebound.,2,0
17:28,2515,Randy Phillips missed Jumper.,2,0
17:28,2539,Chase Foster Defensive Rebound.,2,0
17:15,2539,Matt McCarthy missed Three Point Jumper.,2,0
17:15,2515,Carlik Jones Defensive Rebound.,2,0
16:54,2539,Foul on Remu Raitanen.,2,0
16:44,2515,Christian Bradford made Jumper.,4,0
16:29,2539,Chase Foster missed Layup.,4,0
16:29,2539,Matt McCarthy Offensive Rebound.,4,0
16:25,2539,Matt McCarthy missed Two Point Tip Shot.,4,0
16:25,2539,Matt McCarthy Offensive Rebound.,4,0
16:22,2539,Matt McCarthy missed Layup.,4,0
16:22,2515,Randy Phillips Defensive Rebound.,4,0
16:18,2539,Foul on Remu Raitanen.,4,0
16:18,2515,Ed Polite Jr. missed Free Throw.,4,0
16:18,2515,Radford Deadball Team Rebound.,4,0
16:18,2515,Ed Polite Jr. made Free Throw.,5,0
16:01,2539,Chase Foster Turnover.,5,0
16:00,2515,Devonnte Holland Steal.,5,0
15:50,2515,Ed Polite Jr. missed Jumper.,5,0
15:50,2539,Taavi Jurkatamm Block.,5,0
15:48,2515,Ed Polite Jr. Offensive Rebound.,5,0
15:46,2515,Donald Hicks missed Three Point Jumper.,5,0
15:38,2515,Devonnte Holland Offensive Rebound.,5,0
15:13,2515,Donald Hicks missed Jumper.,5,0
15:13,2539,Matt McCarthy Block.,5,0
15:12,2539,Matt McCarthy Defensive Rebound.,5,0
15:07,2539,Chase Foster missed Three Point Jumper.,5,0
15:07,2515,Carlik Jones Defensive Rebound.,5,0
15:05,2539,Official TV Timeout,5,0
15:04,2515,Foul on Devonnte Holland.,5,0
14:59,2539,Taavi Jurkatamm Turnover.,5,0
14:58,2515,Carlik Jones Steal.,5,0
14:58,2539,Foul on Souley Boum.,5,0
14:41,2515,Devonnte Holland missed Jumper.,5,0
14:41,2539,Frankie Ferrari Defensive Rebound.,5,0
14:24,2515,Foul on Ed Polite Jr..,5,0
14:08,2539,Souley Boum Turnover.,5,0
14:07,2515,Carlik Jones Steal.,5,0
14:04,2515,Carlik Jones made Three Point Jumper. Assisted by Travis Fields Jr.,8,0
13:50,2539,Matt McCarthy Turnover.,8,0
13:48,2515,Ed Polite Jr. Steal.,8,0
13:45,2515,Donald Hicks missed Layup.,8,0
13:45,2539,Taavi Jurkatamm Block.,8,0
13:43,2539,Matt McCarthy Defensive Rebound.,8,0
13:39,2539,Foul on Souley Boum.,8,0
13:39,2539,Souley Boum Turnover.,8,0
13:20,2515,Randy Phillips missed Jumper.,8,0
13:20,2515,Randy Phillips Offensive Rebound.,8,0
13:16,2515,Randy Phillips made Jumper. Assisted by Caleb Tanner.,10,0
13:06,2539,Matt McCarthy made Jumper.,10,2
12:56,2515,Travis Fields Jr Turnover.,10,2
12:55,2539,Jordan Ratinho Steal.,10,2
12:42,2539,Jordan Ratinho missed Three Point Jumper.,10,2
12:42,2515,Ed Polite Jr. Defensive Rebound.,10,2
12:18,2515,Travis Fields Jr missed Three Point Jumper.,10,2
12:18,2539,Matt McCarthy Defensive Rebound.,10,2
12:09,2515,Foul on Justin Cousin.,10,2
11:52,2539,Jamaree Bouyea missed Jumper.,10,2
11:52,2515,Travis Fields Jr Block.,10,2
