North Florida,2050,Ball State,2454
time,team_id,description,h_score,a_score
19:44,2050,Trey Moses made Layup. Assisted by Jontrell Walker.,0,2
19:30,2454,J.T. Escobar missed Jumper.,0,2
19:30,2050,Jontrell Walker Defensive Rebound.,0,2
19:20,2050,Sean Sellers made Three Point Jumper. Assisted by Tayler Persons.,0,5
18:50,2454,Wajid Aminu missed Jumper.,0,5
18:50,2050,Trey Moses Block.,0,5
18:48,2050,Sean Sellers Defensive Rebound.,0,5
18:31,2050,Tayler Persons missed Jumper.,0,5
18:31,2454,Noah Horchler Block.,0,5
18:30,2050,Trey Moses Offensive Rebound.,0,5
18:30,2454,Foul on Wajid Aminu.,0,5
18:30,2050,Trey Moses missed Free Throw.,0,5
18:30,2050,Ball State Deadball Team Rebound.,0,5
18:30,2050,Trey Moses made Free Throw.,0,6
18:08,2454,Noah Horchler made Layup. Assisted by Ivan Gandia-Rosa.,2,6
17:55,2050,Kyle Mallers missed Three Point Jumper.,2,6
17:55,2050,Ball State Offensive Rebound.,2,6
17:50,2050,Kyle Mallers missed Layup.,2,6
17:50,2454,Wajid Aminu Block.,2,6
17:47,2050,Kyle Mallers Offensive Rebound.,2,6
17:45,2050,Kyle Mallers missed Layup.,2,6
17:45,2050,Sean Sellers Offensive Rebound.,2,6
17:37,2050,Jontrell Walker missed Three Point Jumper.,2,6
17:37,2050,Kyle Mallers Offensive Rebound.,2,6
17:31,2050,Kyle Mallers Turnover.,2,6
17:29,2454,Ivan Gandia-Rosa Steal.,2,6
17:24,2454,Ryan Burkhardt made Three Point Jumper. Assisted by Ivan Gandia-Rosa.,5,6
17:01,2050,Tayler Persons missed Layup.,5,6
17:01,2454,Noah Horchler Defensive Rebound.,5,6
16:48,2454,Ivan Gandia-Rosa made Three Point Jumper. Assisted by Ryan Burkhardt.,8,6
16:12,2050,Jontrell Walker missed Three Point Jumper.,8,6
16:12,2454,Wajid Aminu Defensive Rebound.,8,6
16:00,2454,Ryan Burkhardt missed Layup.,8,6
16:00,2050,Jontrell Walker Block.,8,6
15:58,2050,Trey Moses Defensive Rebound.,8,6
15:54,2050,Sean Sellers missed Three Point Jumper.,8,6
15:54,2050,Jontrell Walker Offensive Rebound.,8,6
15:48,2050,Jontrell Walker made Three Point Jumper.,8,9
15:29,2454,Wajid Aminu missed Layup.,8,9
15:29,2050,Ball State Defensive Rebound.,8,9
15:26,2050,Official TV Timeout,8,9
15:00,2050,Tahjai Teague missed Jumper.,8,9
15:00,2454,Trip Day Defensive Rebound.,8,9
14:47,2454,Noah Horchler made Jumper. Assisted by Trip Day.,10,9
14:33,2050,Tayler Persons made Jumper. Assisted by Jeremie Tyler.,10,11
