Rice,167,New Mexico,242
time,team_id,description,h_score,a_score
19:46,242,Malik Osborne made Layup. Assisted by Miles Lester.,2,0
19:46,167,Foul on Dane Kuiper.,2,0
19:46,242,Malik Osborne made Free Throw.,3,0
19:23,167,Vladimir Pinchuk made Layup.,3,2
19:17,167,Foul on Anthony Mathis.,3,2
18:53,242,Connor Cashaw made Jumper.,5,2
18:42,167,Vladimir Pinchuk Turnover.,5,2
18:42,242,Connor Cashaw Steal.,5,2
18:22,242,Miles Lester made Three Point Jumper. Assisted by Connor Cashaw.,8,2
18:00,167,Antino Jackson missed Three Point Jumper.,8,2
18:00,167,Dane Kuiper Offensive Rebound.,8,2
17:59,167,Dane Kuiper made Two Point Tip Shot.,8,4
17:59,242,Foul on Connor Cashaw.,8,4
17:59,167,Dane Kuiper made Free Throw.,8,5
17:45,242,Miles Lester Turnover.,8,5
17:33,167,Antino Jackson made Layup.,8,7
17:16,242,Connor Cashaw made Jumper.,10,7
17:02,167,Joe Furstinger made Jumper. Assisted by Antino Jackson.,10,9
16:46,242,Bishop Mency missed Three Point Jumper.,10,9
16:46,167,Antino Jackson Defensive Rebound.,10,9
16:38,167,Anthony Mathis missed Three Point Jumper.,10,9
16:38,167,Joe Furstinger Offensive Rebound.,10,9
16:34,167,Dane Kuiper made Three Point Jumper. Assisted by Joe Furstinger.,10,12
16:22,242,Connor Cashaw missed Jumper.,10,12
16:22,167,Joe Furstinger Defensive Rebound.,10,12
16:12,167,Dane Kuiper missed Three Point Jumper.,10,12
16:12,242,Connor Cashaw Defensive Rebound.,10,12
15:56,242,Connor Cashaw made Layup.,12,12
15:36,167,Anthony Mathis missed Three Point Jumper.,12,12
15:36,242,Bishop Mency Defensive Rebound.,12,12
15:28,242,Connor Cashaw missed Three Point Jumper.,12,12
15:28,167,Sam Logwood Defensive Rebound.,12,12
15:09,167,Dane Kuiper missed Three Point Jumper.,12,12
15:09,167,Joe Furstinger Offensive Rebound.,12,12
15:05,167,Joe Furstinger made Layup.,12,14
14:55,242,Bishop Mency missed Three Point Jumper.,12,14
14:55,167,Joe Furstinger Defensive Rebound.,12,14
14:49,167,Anthony Mathis Turnover.,12,14
14:49,167,Official TV Timeout,12,14
14:30,242,Ako Adams missed Three Point Jumper.,12,14
14:30,167,Troy Simons Defensive Rebound.,12,14
14:24,167,Jachai Simmons missed Layup.,12,14
14:24,242,Tim Harrison Block.,12,14
14:22,242,Tim Harrison Defensive Rebound.,12,14
14:04,242,Najja Hunter made Layup.,14,14
13:43,167,Jachai Simmons Turnover.,14,14
13:42,242,Robert Martin Steal.,14,14
13:39,242,Robert Martin Turnover.,14,14
13:39,167,Troy Simons Steal.,14,14
13:18,167,Troy Simons missed Three Point Jumper.,14,14
13:18,242,Robert Martin Defensive Rebound.,14,14
13:06,242,Foul on Tim Harrison.,14,14
13:06,242,Tim Harrison Turnover.,14,14
12:44,167,Troy Simons made Three Point Jumper. Assisted by Dane Kuiper.,14,17
12:35,242,Bishop Mency missed Three Point Jumper.,14,17
12:35,167,Dane Kuiper Defensive Rebound.,14,17
12:21,167,Makuach Maluach Turnover.,14,17
12:14,242,Connor Cashaw missed Three Point Jumper.,14,17
12:14,167,Troy Simons Defensive Rebound.,14,17
12:01,167,Chris McNeal made Three Point Jumper. Assisted by Dane Kuiper.,14,20
11:37,242,Connor Cashaw missed Three Point Jumper.,14,20
11:37,167,Dane Kuiper Defensive Rebound.,14,20
11:24,167,Makuach Maluach missed Jumper.,14,20
11:24,242,Connor Cashaw Defensive Rebound.,14,20
11:02,242,Tim Harrison made Jumper. Assisted by Miles Lester.,16,20
10:49,167,Chris McNeal made Three Point Jumper. Assisted by Dane Kuiper.,16,23
10:29,242,Tim Harrison made Layup. Assisted by Connor Cashaw.,18,23
10:08,242,Foul on Malik Osborne.,18,23
10:08,167,Official TV Timeout,18,23
10:08,167,Dane Kuiper made Free Throw.,18,24
10:08,167,Dane Kuiper made Free Throw.,18,25
9:36,167,Dane Kuiper missed Jumper.,18,25
9:25,242,Najja Hunter missed Jumper.,18,25
9:25,242,Malik Osborne Offensive Rebound.,18,25
9:21,242,Malik Osborne missed Jumper.,18,25
9:21,167,Joe Furstinger Defensive Rebound.,18,25
9:16,167,Anthony Mathis missed Three Point Jumper.,18,25
9:16,167,Sam Logwood Offensive Rebound.,18,25
9:12,167,Sam Logwood made Layup.,18,27
8:45,242,Malik Osborne made Jumper.,20,27
8:45,167,Foul on Anthony Mathis.,20,27
8:45,167,Anthony Mathis Turnover.,20,27
8:41,242,Ako Adams made Jumper. Assisted by Connor Cashaw.,22,27
8:24,242,Foul on Connor Cashaw.,22,27
8:24,167,Vladimir Pinchuk made Free Throw.,22,28
8:24,167,Vladimir Pinchuk made Free Throw.,22,29
8:03,242,Bishop Mency missed Layup.,22,29
8:03,242,Bishop Mency Offensive Rebound.,22,29
7:59,242,Bishop Mency missed Layup.,22,29
7:59,167,Sam Logwood Defensive Rebound.,22,29
7:55,167,Troy Simons missed Three Point Jumper.,22,29
7:55,242,Ako Adams Defensive Rebound.,22,29
7:49,242,Ako Adams made Layup.,24,29
7:34,167,Jachai Simmons made Jumper.,24,31
7:02,242,Robert Martin made Layup.,26,31
6:42,167,Antino Jackson missed Jumper.,26,31
6:42,242,Malik Osborne Defensive Rebound.,26,31
6:34,167,Official TV Timeout,26,31
6:32,242,Bishop Mency made Layup. Assisted by Miles Lester.,28,31
6:14,167,Joe Furstinger made Jumper. Assisted by Troy Simons.,28,33
6:03,242,Najja Hunter Turnover.,28,33
5:46,167,Troy Simons made Three Point Jumper. Assisted by Chris McNeal.,28,36
5:08,242,Miles Lester made Three Point Jumper. Assisted by Ako Adams.,31,36
4:55,167,Troy Simons missed Three Point Jumper.,31,36
4:55,242,Najja Hunter Defensive Rebound.,31,36
4:45,242,Miles Lester made Three Point Jumper.,34,36
4:37,167,Makuach Maluach Turnover.,34,36
4:12,242,Najja Hunter made Jumper.,36,36
3:42,167,Dane Kuiper missed Three Point Jumper.,36,36
3:42,167,Joe Furstinger Offensive Rebound.,36,36
3:42,242,Foul on Miles Lester.,36,36
3:42,167,Official TV Timeout,36,36
3:15,167,Dane Kuiper missed Three Point Jumper.,36,36
3:15,242,Ako Adams Defensive Rebound.,36,36
3:03,242,Tim Harrison Turnover.,36,36
2:48,167,Joe Furstinger made Layup. Assisted by Sam Logwood.,36,38
2:24,242,Robert Martin Turnover.,36,38
2:12,242,Foul on Bishop Mency.,36,38
2:12,167,Joe Furstinger made Free Throw.,36,39
2:12,167,Joe Furstinger made Free Throw.,36,40
1:46,242,Bishop Mency missed Three Point Jumper.,36,40
1:46,167,Antino Jackson Defensive Rebound.,36,40
1:27,167,Sam Logwood made Jumper. Assisted by Troy Simons.,36,42
1:19,242,Rice  Timeout,36,42
1:13,242,Malik Osborne missed Jumper.,36,42
1:13,167,Joe Furstinger Defensive Rebound.,36,42
0:59,167,Chris McNeal missed Three Point Jumper.,36,42
0:59,167,New Mexico Deadball Team Rebound.,36,42
0:58,242,Foul on Miles Lester.,36,42
0:58,167,Troy Simons made Free Throw.,36,43
0:58,167,Troy Simons missed Free Throw.,36,43
0:58,242,Malik Osborne Defensive Rebound.,36,43
0:30,167,Foul on Joe Furstinger.,36,43
0:30,242,Malik Osborne made Free Throw.,37,43
0:30,242,Malik Osborne made Free Throw.,38,43
0:00,167,Sam Logwood missed Three Point Jumper.,38,43
0:00,242,Malik Osborne Defensive Rebound.,38,43
0:00,167,End of 1st half,38,43
19:35,242,Connor Cashaw missed Three Point Jumper.,38,43
19:35,242,Malik Osborne Offensive Rebound.,38,43
19:20,242,Ako Adams missed Three Point Jumper.,38,43
19:20,167,Jachai Simmons Defensive Rebound.,38,43
19:05,167,Joe Furstinger missed Jumper.,38,43
19:05,242,Bishop Mency Defensive Rebound.,38,43
18:52,242,Malik Osborne Turnover.,38,43
18:51,167,Troy Simons Steal.,38,43
18:48,167,Troy Simons made Dunk.,38,45
18:18,167,Foul on Vladimir Pinchuk.,38,45
18:18,242,Connor Cashaw made Free Throw.,39,45
18:18,242,Connor Cashaw made Free Throw.,40,45
17:56,167,Joe Furstinger made Layup. Assisted by Antino Jackson.,40,47
