Coppin State,213,Penn State,2154
time,team_id,description,h_score,a_score
19:57,213,Lamar Stevens made Dunk. Assisted by Tony Carr.,0,2
19:32,2154,Karonn Davis missed Three Point Jumper.,0,2
19:32,213,Tony Carr Defensive Rebound.,0,2
19:26,213,Shep Garner missed Three Point Jumper.,0,2
19:26,213,Mike Watkins Offensive Rebound.,0,2
19:14,213,Lamar Stevens made Jumper. Assisted by Tony Carr.,0,4
18:59,2154,Lamar Morgan missed Three Point Jumper.,0,4
18:59,213,Lamar Stevens Defensive Rebound.,0,4
18:51,213,Tony Carr made Three Point Jumper. Assisted by Josh Reaves.,0,7
18:48,2154,Coppin State  Timeout,0,7
18:36,2154,Adam Traore Turnover.,0,7
18:35,213,Josh Reaves Steal.,0,7
18:32,2154,Foul on Adam Traore.,0,7
18:32,213,Tony Carr made Free Throw.,0,8
18:32,213,Tony Carr made Free Throw.,0,9
18:11,2154,Cedric Council Jr. Turnover.,0,9
18:10,213,Josh Reaves Steal.,0,9
18:04,213,Josh Reaves missed Layup.,0,9
18:04,2154,Cedric Council Jr. Block.,0,9
18:01,2154,Adam Traore Defensive Rebound.,0,9
17:53,2154,Lamar Morgan missed Jumper.,0,9
17:53,213,Lamar Stevens Defensive Rebound.,0,9
17:40,213,Lamar Stevens missed Three Point Jumper.,0,9
17:40,2154,Karonn Davis Defensive Rebound.,0,9
17:20,2154,Jordan Hardwick made Jumper. Assisted by Karonn Davis.,2,9
17:08,213,Josh Reaves missed Three Point Jumper.,2,9
17:08,2154,Cedric Council Jr. Defensive Rebound.,2,9
16:58,2154,Jordan Hardwick Turnover.,2,9
16:53,213,Lamar Stevens Steal.,2,9
16:44,213,Lamar Stevens made Jumper.,2,11
16:24,2154,Jordan Hardwick made Three Point Jumper. Assisted by Karonn Davis.,5,11
16:10,213,Lamar Stevens missed Three Point Jumper.,5,11
16:10,213,Mike Watkins Offensive Rebound.,5,11
16:04,2154,Foul on Jordan Hardwick.,5,11
