Lipscomb,2509,Purdue,288
time,team_id,description,h_score,a_score
20:00,2509,Jump Ball won by Purdue,0,0
19:48,2509,Isaac Haas made Layup. Assisted by Dakota Mathias.,0,2
19:20,288,Garrison Mathews missed Jumper.,0,2
19:20,2509,Vincent Edwards Defensive Rebound.,0,2
19:15,2509,Dakota Mathias Turnover.,0,2
19:11,2509,Foul on Dakota Mathias.,0,2
19:04,288,Garrison Mathews made Jumper.,2,2
18:48,2509,Dakota Mathias made Jumper. Assisted by Isaac Haas.,2,4
18:28,288,Kenny Cooper missed Jumper.,2,4
18:28,2509,Vincent Edwards Defensive Rebound.,2,4
18:24,2509,Carsen Edwards made Three Point Jumper. Assisted by Vincent Edwards.,2,7
17:53,288,Kenny Cooper missed Jumper.,2,7
17:53,2509,Isaac Haas Defensive Rebound.,2,7
17:39,2509,Carsen Edwards made Three Point Jumper.,2,10
17:14,288,Rob Marberry missed Jumper.,2,10
17:14,2509,Isaac Haas Defensive Rebound.,2,10
17:08,2509,Carsen Edwards missed Three Point Jumper.,2,10
17:08,288,Garrison Mathews Defensive Rebound.,2,10
16:58,288,Garrison Mathews made Jumper.,4,10
16:36,2509,P.J. Thompson missed Three Point Jumper.,4,10
16:36,288,Michael Buckland Defensive Rebound.,4,10
16:22,288,Garrison Mathews made Three Point Jumper. Assisted by Michael Buckland.,7,10
16:03,2509,Vincent Edwards missed Three Point Jumper.,7,10
16:03,2509,Isaac Haas Offensive Rebound.,7,10
15:57,2509,Isaac Haas made Layup.,7,12
15:38,288,Rob Marberry made Jumper. Assisted by Eli Pepper.,9,12
15:19,2509,Vincent Edwards made Layup.,9,14
15:19,288,Foul on Eli Pepper.,9,14
15:19,2509,Official TV Timeout,9,14
15:19,2509,Vincent Edwards made Free Throw.,9,15
15:01,288,Rob Marberry made Jumper.,11,15
14:38,2509,Vincent Edwards missed Jumper.,11,15
14:38,288,Garrison Mathews Defensive Rebound.,11,15
14:22,288,Matt Rose made Three Point Jumper. Assisted by Rob Marberry.,14,15
14:01,2509,Carsen Edwards made Three Point Jumper. Assisted by Ryan Cline.,14,18
13:44,288,Garrison Mathews made Three Point Jumper. Assisted by Matt Rose.,17,18
13:26,288,Foul on Matt Rose.,17,18
13:24,2509,Carsen Edwards missed Three Point Jumper.,17,18
13:24,2509,Vincent Edwards Offensive Rebound.,17,18
13:14,2509,Carsen Edwards made Jumper.,17,20
12:50,288,Greg Jones made Three Point Jumper. Assisted by Kenny Cooper.,20,20
12:25,288,Foul on Aaron Korn.,20,20
12:25,2509,Matt Haarms made Free Throw.,20,21
12:25,2509,Matt Haarms made Free Throw.,20,22
12:15,288,George Brammeier missed Layup.,20,22
12:15,2509,Matt Haarms Block.,20,22
12:15,2509,Matt Haarms Defensive Rebound.,20,22
11:57,2509,Carsen Edwards missed Layup.,20,22
11:57,2509,Matt Haarms Offensive Rebound.,20,22
11:49,2509,Matt Haarms made Layup.,20,24
11:38,288,Aaron Korn made Three Point Jumper. Assisted by Matt Rose.,23,24
11:16,2509,Matt Haarms missed Jumper.,23,24
11:16,288,Aaron Korn Defensive Rebound.,23,24
10:53,288,Aaron Korn missed Jumper.,23,24
10:53,2509,Vincent Edwards Block.,23,24
10:53,288,Aaron Korn Offensive Rebound.,23,24
10:43,288,George Brammeier missed Jumper.,23,24
10:43,2509,Ryan Cline Defensive Rebound.,23,24
10:26,288,Foul on Kenny Cooper.,23,24
10:26,2509,Official TV Timeout,23,24
10:15,2509,Dakota Mathias made Three Point Jumper. Assisted by Vincent Edwards.,23,27
9:55,288,Garrison Mathews missed Jumper.,23,27
9:55,2509,Vincent Edwards Defensive Rebound.,23,27
9:44,2509,Vincent Edwards Turnover.,23,27
9:20,288,Garrison Mathews made Layup.,25,27
9:01,288,Foul on Michael Buckland.,25,27
8:56,2509,P.J. Thompson Turnover.,25,27
8:44,288,Michael Buckland made Layup. Assisted by Kenny Cooper.,27,27
8:32,288,Foul on Eli Pepper.,27,27
8:28,2509,Ryan Cline made Three Point Jumper. Assisted by Dakota Mathias.,27,30
8:17,288,Matt Rose made Three Point Jumper. Assisted by Kenny Cooper.,30,30
7:59,288,Foul on Garrison Mathews.,30,30
7:59,2509,Official TV Timeout,30,30
7:59,2509,Isaac Haas made Free Throw.,30,31
