Wichita State,41,Connecticut,2724
time,team_id,description,h_score,a_score
19:41,41,Terry Larrier missed Three Point Jumper.,0,0
19:41,41,Connecticut Offensive Rebound.,0,0
19:38,41,Foul on David Onuorah.,0,0
19:38,41,David Onuorah Turnover.,0,0
19:09,2724,Shaquille Morris missed Layup.,0,0
19:09,41,Terry Larrier Defensive Rebound.,0,0
19:02,41,Jalen Adams missed Three Point Jumper.,0,0
19:02,2724,Shaquille Morris Defensive Rebound.,0,0
18:53,2724,Rashard Kelly made Layup. Assisted by Landry Shamet.,2,0
18:34,41,Antwoine Anderson Turnover.,2,0
18:16,2724,Shaquille Morris missed Jumper.,2,0
18:16,41,Isaiah Whaley Block.,2,0
18:14,2724,Zach Brown Offensive Rebound.,2,0
18:09,2724,Conner Frankamp made Layup.,4,0
17:47,41,Jalen Adams Turnover.,4,0
17:34,41,Foul on Isaiah Whaley.,4,0
17:17,2724,Zach Brown Turnover.,4,0
17:16,41,Jalen Adams Steal.,4,0
17:11,41,Mamadou Diarra made Dunk. Assisted by Jalen Adams.,4,2
16:58,2724,Zach Brown made Three Point Jumper. Assisted by Conner Frankamp.,7,2
16:44,41,Jalen Adams made Jumper.,7,4
16:34,41,Foul on David Onuorah.,7,4
16:34,2724,Rashard Kelly missed Free Throw.,7,4
16:34,2724,Wichita State Deadball Team Rebound.,7,4
16:34,2724,Rashard Kelly missed Free Throw.,7,4
16:34,41,Connecticut Defensive Rebound.,7,4
16:33,2724,Foul on Darral Willis Jr..,7,4
16:19,41,Terry Larrier missed Layup.,7,4
16:19,2724,Rashard Kelly Defensive Rebound.,7,4
16:01,2724,Darral Willis Jr. missed Layup.,7,4
16:01,41,Josh Carlton Block.,7,4
16:00,41,Josh Carlton Defensive Rebound.,7,4
16:00,2724,Foul on Rashard Kelly.,7,4
16:00,41,Official TV Timeout,7,4
15:30,41,Jalen Adams missed Three Point Jumper.,7,4
15:30,41,Josh Carlton Offensive Rebound.,7,4
15:28,41,Josh Carlton missed Two Point Tip Shot.,7,4
15:28,41,Josh Carlton Offensive Rebound.,7,4
15:26,41,Josh Carlton missed Layup.,7,4
15:26,2724,Wichita State Defensive Rebound.,7,4
15:07,2724,Conner Frankamp missed Three Point Jumper.,7,4
15:07,41,Jalen Adams Defensive Rebound.,7,4
14:58,41,Christian Vital made Three Point Jumper. Assisted by Jalen Adams.,7,7
14:43,2724,Landry Shamet Turnover.,7,7
14:42,41,Josh Carlton Steal.,7,7
14:27,41,Christian Vital missed Three Point Jumper.,7,7
14:27,2724,Darral Willis Jr. Defensive Rebound.,7,7
14:18,2724,Markis McDuffie missed Three Point Jumper.,7,7
14:18,41,Mamadou Diarra Defensive Rebound.,7,7
14:03,41,Jalen Adams missed Layup.,7,7
14:03,2724,Wichita State Defensive Rebound.,7,7
13:50,2724,Markis McDuffie Turnover.,7,7
13:50,41,Mamadou Diarra Steal.,7,7
13:43,41,Antwoine Anderson missed Three Point Jumper.,7,7
13:43,41,Connecticut Offensive Rebound.,7,7
13:43,2724,Foul on Shaquille Morris.,7,7
13:23,41,Eric Cobb made Three Point Jumper. Assisted by Terry Larrier.,7,10
13:13,2724,Austin Reaves missed Three Point Jumper.,7,10
13:13,2724,Markis McDuffie Offensive Rebound.,7,10
13:11,2724,Markis McDuffie missed Two Point Tip Shot.,7,10
13:11,41,Antwoine Anderson Defensive Rebound.,7,10
13:04,41,Eric Cobb missed Three Point Jumper.,7,10
13:04,2724,Markis McDuffie Defensive Rebound.,7,10
13:04,41,Foul on Mamadou Diarra.,7,10
12:33,2724,Shaquille Morris missed Jumper.,7,10
12:33,2724,Wichita State Deadball Team Rebound.,7,10
12:33,2724,Wichita State  Turnover.,7,10
12:14,41,Jalen Adams made Jumper.,7,12
12:01,2724,Darral Willis Jr. missed Jumper.,7,12
12:01,41,Tyler Polley Defensive Rebound.,7,12
11:44,41,Jalen Adams missed Jumper.,7,12
11:44,2724,Zach Brown Defensive Rebound.,7,12
11:36,2724,Samajae Haynes-Jones missed Layup.,7,12
11:36,2724,Darral Willis Jr. Offensive Rebound.,7,12
11:35,2724,Darral Willis Jr. made Two Point Tip Shot.,9,12
11:08,41,Terry Larrier Turnover.,9,12
11:08,2724,Austin Reaves Steal.,9,12
11:08,41,Foul on Terry Larrier.,9,12
11:08,41,Official TV Timeout,9,12
11:05,41,Official TV Timeout,9,12
10:57,2724,Landry Shamet Turnover.,9,12
10:56,41,Jalen Adams Steal.,9,12
10:53,41,Terry Larrier made Layup. Assisted by Jalen Adams.,9,14
10:32,2724,Landry Shamet made Three Point Jumper. Assisted by Rauno Nurger.,12,14
10:10,41,Josh Carlton made Dunk. Assisted by Antwoine Anderson.,12,16
9:49,2724,Samajae Haynes-Jones missed Jumper.,12,16
9:49,41,Antwoine Anderson Defensive Rebound.,12,16
9:27,41,Foul on Josh Carlton.,12,16
9:27,41,Josh Carlton Turnover.,12,16
9:06,2724,Landry Shamet missed Layup.,12,16
9:06,41,Jalen Adams Defensive Rebound.,12,16
8:57,2724,Foul on Conner Frankamp.,12,16
8:57,41,Christian Vital made Free Throw.,12,17
8:57,41,Christian Vital made Free Throw.,12,18
8:42,41,Foul on Mamadou Diarra.,12,18
8:42,2724,Shaquille Morris made Free Throw.,13,18
8:42,2724,Shaquille Morris missed Free Throw.,13,18
8:42,41,Christian Vital Defensive Rebound.,13,18
8:19,41,Jalen Adams missed Jumper.,13,18
8:19,2724,Landry Shamet Defensive Rebound.,13,18
8:07,2724,Darral Willis Jr. made Jumper.,15,18
7:45,41,Terry Larrier made Jumper.,15,20
7:21,2724,Conner Frankamp made Three Point Jumper.,18,20
6:53,41,Christian Vital missed Layup.,18,20
6:53,2724,Landry Shamet Block.,18,20
6:51,2724,Conner Frankamp Defensive Rebound.,18,20
6:46,2724,Landry Shamet made Three Point Jumper. Assisted by Conner Frankamp.,21,20
6:43,41,Connecticut  Timeout,21,20
6:18,41,Jalen Adams missed Jumper.,21,20
6:18,2724,Wichita State Defensive Rebound.,21,20
6:18,41,Foul on Josh Carlton.,21,20
6:18,2724,Landry Shamet missed Free Throw.,21,20
6:18,41,Eric Cobb Defensive Rebound.,21,20
5:54,41,Terry Larrier missed Jumper.,21,20
5:54,2724,Landry Shamet Defensive Rebound.,21,20
5:35,2724,Landry Shamet missed Three Point Jumper.,21,20
5:35,41,Jalen Adams Defensive Rebound.,21,20
5:30,2724,Foul on Conner Frankamp.,21,20
5:13,41,Jalen Adams Turnover.,21,20
4:55,2724,Zach Brown missed Three Point Jumper.,21,20
4:55,41,Connecticut Defensive Rebound.,21,20
4:32,41,Foul on Eric Cobb.,21,20
4:32,41,Eric Cobb Turnover.,21,20
4:15,2724,Markis McDuffie missed Jumper.,21,20
4:15,41,Eric Cobb Defensive Rebound.,21,20
4:01,41,Terry Larrier missed Jumper.,21,20
4:01,41,Christian Vital Offensive Rebound.,21,20
3:54,2724,Foul on Shaquille Morris.,21,20
3:54,41,Official TV Timeout,21,20
3:54,41,Christian Vital missed Free Throw.,21,20
3:54,41,Connecticut Deadball Team Rebound.,21,20
3:54,41,Christian Vital made Free Throw.,21,21
3:32,2724,Austin Reaves made Three Point Jumper. Assisted by Landry Shamet.,24,21
3:10,41,Jalen Adams missed Layup.,24,21
3:10,2724,Rashard Kelly Defensive Rebound.,24,21
2:56,41,Foul on Jalen Adams.,24,21
2:56,2724,Darral Willis Jr. missed Free Throw.,24,21
2:56,2724,Wichita State Deadball Team Rebound.,24,21
2:56,2724,Darral Willis Jr. made Free Throw.,25,21
2:39,41,Jalen Adams Turnover.,25,21
2:38,2724,Landry Shamet Steal.,25,21
2:36,2724,Landry Shamet Turnover.,25,21
2:36,41,Christian Vital Steal.,25,21
2:36,2724,Foul on Landry Shamet.,25,21
2:36,41,Christian Vital made Free Throw.,25,22
2:36,41,Christian Vital made Free Throw.,25,23
2:10,2724,Darral Willis Jr. missed Jumper.,25,23
2:10,2724,Rashard Kelly Offensive Rebound.,25,23
2:06,2724,Darral Willis Jr. Turnover.,25,23
2:04,41,Antwoine Anderson Steal.,25,23
