Incarnate Word,2447,Nicholls,2916
time,team_id,description,h_score,a_score
19:52,2916,Jalin Hart missed Jumper.,0,0
19:52,2916,Jalin Hart Offensive Rebound.,0,0
19:45,2916,Simi Socks missed Three Point Jumper.,0,0
19:45,2447,Kevin Johnson Defensive Rebound.,0,0
19:28,2916,Foul on Simi Socks.,0,0
19:28,2447,Kimani Jackson made Free Throw.,0,1
19:28,2447,Kimani Jackson missed Free Throw.,0,1
19:28,2916,Konstantin Kulikov Defensive Rebound.,0,1
19:25,2916,Konstantin Kulikov Turnover.,0,1
19:24,2447,Tevon Saddler Steal.,0,1
19:23,2447,Tevon Saddler made Layup.,0,3
19:10,2916,Konstantin Kulikov missed Jumper.,0,3
19:10,2447,Kimani Jackson Defensive Rebound.,0,3
19:01,2447,Ryghe Lyons made Dunk. Assisted by Tevon Saddler.,0,5
18:58,2916,Incarnate Word  Timeout,0,5
18:39,2916,Jalin Hart Turnover.,0,5
18:39,2916,Foul on Jalin Hart.,0,5
18:26,2447,Kimani Jackson made Dunk. Assisted by Tevon Saddler.,0,7
18:00,2916,Charles Brown III Turnover.,0,7
17:59,2447,Tevon Saddler Steal.,0,7
17:52,2447,Kimani Jackson missed Layup.,0,7
17:52,2916,Shawn Johnson Block.,0,7
17:50,2916,Shawn Johnson Defensive Rebound.,0,7
17:44,2916,Simi Socks missed Layup.,0,7
17:44,2447,Ryghe Lyons Block.,0,7
17:44,2916,Incarnate Word Offensive Rebound.,0,7
17:40,2916,Shawn Johnson made Three Point Jumper. Assisted by Jalin Hart.,3,7
17:23,2447,Ryghe Lyons made Jumper. Assisted by Jahvaughn Powell.,3,9
17:04,2916,Charles Brown III made Three Point Jumper. Assisted by Jalin Hart.,6,9
16:46,2916,Foul on Christian Peevy.,6,9
16:46,2447,Kimani Jackson missed Free Throw.,6,9
16:46,2447,Nicholls Deadball Team Rebound.,6,9
16:46,2447,Kimani Jackson made Free Throw.,6,10
16:35,2447,Foul on Jahvaughn Powell.,6,10
16:26,2916,Jalin Hart Turnover.,6,10
16:25,2447,Jahvaughn Powell Steal.,6,10
16:23,2447,Kimani Jackson made Dunk. Assisted by Jahvaughn Powell.,6,12
16:13,2447,Foul on Kimani Jackson.,6,12
15:57,2916,Charles Brown III missed Jumper.,6,12
15:57,2447,Kevin Johnson Defensive Rebound.,6,12
15:32,2447,Kimani Jackson missed Jumper.,6,12
15:32,2916,Charles Brown III Defensive Rebound.,6,12
15:22,2916,Charles Brown III missed Layup.,6,12
15:22,2447,Ryghe Lyons Block.,6,12
15:21,2916,Christian Peevy Offensive Rebound.,6,12
15:18,2916,Christian Peevy missed Layup.,6,12
15:18,2447,Ryghe Lyons Block.,6,12
15:17,2447,Kevin Johnson Defensive Rebound.,6,12
15:10,2916,Foul on Shawn Johnson.,6,12
15:10,2447,Official TV Timeout,6,12
15:10,2447,Tevon Saddler made Free Throw.,6,13
15:10,2447,Tevon Saddler missed Free Throw.,6,13
15:10,2916,Christian Peevy Defensive Rebound.,6,13
14:42,2916,Charles Brown III Turnover.,6,13
14:35,2447,Kimani Jackson made Dunk. Assisted by Tevon Saddler.,6,15
14:21,2447,Foul on Kevin Johnson.,6,15
14:16,2447,Foul on Tevon Saddler.,6,15
