Evansville,2350,Loyola-Chicago,339
time,team_id,description,h_score,a_score
19:51,2350,Marques Townes Turnover.,0,0
19:51,339,Dru Smith Steal.,0,0
19:39,339,Ryan Taylor made Jumper. Assisted by Dru Smith.,2,0
19:26,2350,Cameron Krutwig missed Jumper.,2,0
19:26,339,Duane Gibson Defensive Rebound.,2,0
18:58,339,Ryan Taylor missed Three Point Jumper.,2,0
18:58,2350,Donte Ingram Defensive Rebound.,2,0
18:45,2350,Ben Richardson missed Three Point Jumper.,2,0
18:45,339,Dainius Chatkevicius Defensive Rebound.,2,0
18:13,339,Dru Smith missed Jumper.,2,0
18:13,2350,Loyola-Chicago Defensive Rebound.,2,0
17:40,2350,Marques Townes missed Layup.,2,0
17:40,339,Dainius Chatkevicius Block.,2,0
17:38,339,Duane Gibson Defensive Rebound.,2,0
17:35,339,Ryan Taylor missed Three Point Jumper.,2,0
17:35,2350,Marques Townes Defensive Rebound.,2,0
17:23,339,Foul on Ryan Taylor.,2,0
17:23,2350,Cameron Krutwig made Free Throw.,2,1
17:23,2350,Cameron Krutwig made Free Throw.,2,2
17:03,339,Dainius Chatkevicius missed Jumper.,2,2
17:03,339,Dainius Chatkevicius Offensive Rebound.,2,2
17:01,339,Dainius Chatkevicius made Layup.,4,2
16:35,2350,Bruno Skokna missed Three Point Jumper.,4,2
16:35,339,Ryan Taylor Defensive Rebound.,4,2
16:27,339,Duane Gibson missed Layup.,4,2
16:27,2350,Ben Richardson Defensive Rebound.,4,2
16:17,2350,Ben Richardson Turnover.,4,2
16:16,339,Dru Smith Steal.,4,2
15:58,339,Dru Smith Turnover.,4,2
15:57,2350,Ben Richardson Steal.,4,2
15:40,2350,Cameron Krutwig made Layup. Assisted by Ben Richardson.,4,4
15:14,2350,Official TV Timeout,4,4
14:56,339,Duane Gibson missed Jumper.,4,4
14:56,2350,Aundre Jackson Defensive Rebound.,4,4
14:34,339,Foul on Dalen Traore.,4,4
14:21,2350,Aundre Jackson made Layup. Assisted by Ben Richardson.,4,6
14:05,339,Blake Simmons missed Three Point Jumper.,4,6
14:05,2350,Donte Ingram Defensive Rebound.,4,6
13:49,2350,Aundre Jackson missed Three Point Jumper.,4,6
13:49,339,Duane Gibson Defensive Rebound.,4,6
13:25,339,Dru Smith made Jumper.,6,6
13:06,2350,Ben Richardson made Three Point Jumper. Assisted by Aundre Jackson.,6,9
13:06,339,Foul on Noah Frederking.,6,9
13:06,2350,Ben Richardson missed Free Throw.,6,9
13:06,339,K.J. Riley Defensive Rebound.,6,9
12:40,339,Blake Simmons Turnover.,6,9
12:39,2350,Aundre Jackson Steal.,6,9
12:30,2350,Cameron Krutwig missed Layup.,6,9
12:30,339,Dalen Traore Defensive Rebound.,6,9
12:20,339,K.J. Riley missed Layup.,6,9
12:20,2350,Marques Townes Block.,6,9
12:20,339,Evansville Offensive Rebound.,6,9
12:03,339,Evansville  Turnover.,6,9
11:46,339,Foul on Dalen Traore.,6,9
11:46,2350,Official TV Timeout,6,9
11:40,2350,Aundre Jackson made Layup.,6,11
11:17,339,Dru Smith missed Layup.,6,11
11:17,339,Dru Smith Offensive Rebound.,6,11
11:15,339,Dru Smith missed Layup.,6,11
11:15,2350,Cameron Krutwig Block.,6,11
11:13,2350,Ben Richardson Defensive Rebound.,6,11
11:06,2350,Cameron Krutwig Turnover.,6,11
11:05,339,Dainius Chatkevicius Steal.,6,11
10:47,339,K.J. Riley made Jumper.,8,11
10:11,2350,Adarius Avery Turnover.,8,11
10:10,339,Dru Smith Steal.,8,11
9:55,339,Ryan Taylor made Jumper.,10,11
9:34,2350,Adarius Avery missed Jumper.,10,11
9:34,339,K.J. Riley Defensive Rebound.,10,11
9:16,2350,Foul on Cameron Krutwig.,10,11
9:16,339,K.J. Riley missed Free Throw.,10,11
9:16,339,Evansville Deadball Team Rebound.,10,11
9:16,339,K.J. Riley made Free Throw.,11,11
9:05,2350,Aundre Jackson made Layup.,11,13
8:35,339,Dru Smith missed Three Point Jumper.,11,13
8:35,2350,Aundre Jackson Defensive Rebound.,11,13
8:25,2350,Foul on Lucas Williamson.,11,13
8:25,2350,Lucas Williamson Turnover.,11,13
8:13,339,Ryan Taylor missed Jumper.,11,13
8:13,2350,Ben Richardson Defensive Rebound.,11,13
8:03,2350,Bruno Skokna Turnover.,11,13
8:02,339,Dru Smith Steal.,11,13
8:00,2350,Foul on Bruno Skokna.,11,13
8:00,2350,Official TV Timeout,11,13
8:00,339,Dru Smith made Free Throw.,12,13
8:00,339,Dru Smith made Free Throw.,13,13
7:44,2350,Aundre Jackson missed Jumper.,13,13
7:44,339,John Hall Defensive Rebound.,13,13
7:24,339,Ryan Taylor missed Jumper.,13,13
7:24,2350,Cameron Satterwhite Defensive Rebound.,13,13
7:12,2350,Cameron Satterwhite missed Jumper.,13,13
7:12,339,John Hall Defensive Rebound.,13,13
6:47,339,Duane Gibson missed Jumper.,13,13
6:47,2350,Marques Townes Defensive Rebound.,13,13
6:28,2350,Aundre Jackson made Layup. Assisted by Cameron Satterwhite.,13,15
6:28,339,Foul on John Hall.,13,15
6:28,2350,Aundre Jackson made Free Throw.,13,16
6:06,339,Ryan Taylor made Jumper.,15,16
6:06,2350,Foul on Ben Richardson.,15,16
6:06,339,Ryan Taylor made Free Throw.,16,16
5:51,2350,Aundre Jackson missed Three Point Jumper.,16,16
5:51,339,Duane Gibson Defensive Rebound.,16,16
5:30,339,John Hall missed Jumper.,16,16
5:30,2350,Cameron Satterwhite Defensive Rebound.,16,16
5:30,339,Foul on Duane Gibson.,16,16
5:16,2350,Donte Ingram missed Jumper.,16,16
5:16,339,Dru Smith Defensive Rebound.,16,16
4:49,339,Ryan Taylor Turnover.,16,16
4:49,2350,Lucas Williamson Steal.,16,16
4:49,339,Foul on Duane Gibson.,16,16
4:49,2350,Lucas Williamson missed Free Throw.,16,16
4:49,339,Blake Simmons Defensive Rebound.,16,16
4:18,339,John Hall missed Jumper.,16,16
4:18,339,Evansville Offensive Rebound.,16,16
4:17,339,Dru Smith made Three Point Jumper. Assisted by K.J. Riley.,19,16
3:41,2350,Donte Ingram missed Three Point Jumper.,19,16
3:41,339,K.J. Riley Defensive Rebound.,19,16
3:41,2350,Foul on Cameron Krutwig.,19,16
3:41,2350,Official TV Timeout,19,16
3:14,339,John Hall missed Jumper.,19,16
3:14,2350,Lucas Williamson Defensive Rebound.,19,16
2:56,2350,Lucas Williamson missed Three Point Jumper.,19,16
